domain,sample_id,split,branch,p0,p1,p2,p3,p4,p5,root,gradient,residual,root_count,status
pv,pv_0000000,dev,short_circuit,1.55684708587598219509118280257098376750946044921875,0.429658446905230428526448519206626885544020945886717568,0.0000000004005770667862219251381746420337583615652359147533603324,1.2166049797859148640100102056749165058135986328125,0.7665703760519575471477082828641869127750396728515625,1477.061789746245519010085361067046252410484759142065131,1.555748789889838455734347116992880213597253124487505477,-0.0006766698157815605497079964386706888027376462542341341134,1.091343286424845326232103850267293080757821190084493484e-46,1,ROOT_OK
pv,pv_0000001,dev,interior,8.7353436647603626141744825872592628002166748046875,28.15864081619862305107388603259497350975969640290208992,0.00000000002027812768106403553931306400181966521307752437087435136,1.4406792740028631083504251364502124488353729248046875,0.07146456712191896765151710724239819683134555816650390625,266.783929714324287678095223711015296158142903297243471,8.61791163123742963576251788281134426526930559097166042,-0.01038682490037690591740218554170493814388405318901315727,1.280874377546903103891221572225938963748364431246502698e-45,1,ROOT_OK
pv,pv_0000002,dev,interior,5.69508513689193396345444853068329393863677978515625,36.02586132283065795827163349224563492387041165741693183,0.000000000001585400269051816662552435765854530009669263072262923407,1.85550242116811237025331138283945620059967041015625,0.7113296200949064118645992493839003145694732666015625,303.534568972035561328257210433743298567912751439683623,5.559754635438036205327377167334735288079993721065449288,-0.005222466599472255560051189160049026424883042803591621877,3.941151930913548011972989453002889119225736711527700608e-46,1,ROOT_OK
pv,pv_0000003,dev,interior,11.405281261719611762828208156861364841461181640625,2.09772708386871579591635826647355986973906269903793028,0.000000000001969388654888859884208965921179437003582889650151811995,1.2029006192128204322244755530846305191516876220703125,0.69233119485255467662199180267634801566600799560546875,943.4954663793769171455266933705835458938727725041099101,11.39469653842204321228399023904159438761427748808122328,-0.001059117928509653135817871261070921774831325571361275565,8.676008070136074443023872615291082297184434288571396477e-46,1,ROOT_OK
pv,pv_0000004,dev,interior,8.6100504590775841506911092437803745269775390625,1.978300214655463737901224207655636950315256287286355298,0.00000003020770246685438839690927025892222760663090530196581275,1.8993941431444987255616752008791081607341766357421875,0.1915379036052645422838480726568377576768398284912109375,342.4756075930892818816335638228031739744600059960031008,8.599464353271176549206679829398239414374933012678907949,-0.002918391003443746015037645080973790181990381166202100162,4.734856139222526431050883162288193177958697577043695869e-46,1,ROOT_OK
pv,pv_0000005,dev,interior,8.32312176728340347153789480216801166534423828125,6.782720124604208811051513138007847987142739516751298044,0.000000000003462840946583290014251333170097514576969372619354773653,1.352146961791227841587215152685530483722686767578125,0.6256395429073877689774008103995583951473236083984375,1616.704714244525468550185859618922386528588496287894821,8.315708294963028994884302783175200123936387298536658484,-0.0006183209684984255560885448919692258034327552814903790107,1.169345251724175963969069266524641927909163895833479226e-45,1,ROOT_OK
pv,pv_0000006,cal,short_circuit,2.530289996950507269701802215422503650188446044921875,0.8117120971162140679212445109674429133883338350221314581,0.000000000003601031637908405329292602391139136779355330512179799669,1.5940709700842654594765690490021370351314544677734375,0.6401057616899217261874355244799517095088958740234375,144.9021997606718905670462363964168583391665071306610955,2.513584439785909818887711170101006697996611227568895609,-0.006870854476977247057507012066234220743702800184929258375,1.040026203991075169826205550097984628684569409986476549e-46,1,ROOT_OK
pv,pv_0000007,cal,interior,4.145722192466269717670002137310802936553955078125,5.190523844081174798655095380278550148608874554013832007,0.00000001028738813749086583712757939510687874731948920771520849,1.6020729153426618296407468733377754688262939453125,0.29429331883869414010490572763956151902675628662109375,293.9658421435201153538083299454210195905882467094184381,4.123936217817700729384041128278317898024977461312110744,-0.003398702622868823308257636021588299138912769355350794359,4.92643991364193501496623681625361139903217088940962576e-47,1,ROOT_OK
pv,pv_0000008,test,interior,2.94112762151318474224126475746743381023406982421875,2.091150200817306653236847386032688669784089122407910753,0.0000000001651380022911581237544075229186660223595025765535126887,1.409496332302200727326635387726128101348876953125,0.404388008189806080761030671055777929723262786865234375,344.8152891062538458684536110296436716591722737334856164,2.931624954996175072435459300134102509534531500952462714,-0.00289670745566969474436814247747865956303361204803553722,2.66848828655604813310671160880403950780909256509688062e-46,1,ROOT_OK
pv,pv_0000009,test,interior,3.8208645182543126139762534876354038715362548828125,19.55099355004876796711808914892837815381830081137355018,0.0000000001729426021334049761525863804591472620160335142623533797,1.26277420950726781967432543751783668994903564453125,0.41168645980144769058739484535180963575839996337890625,840.7527727141101428393808939882397900494428831106546094,3.792599112032239035914937655764086498953431142164705531,-0.003681618818537384766457584278597465211768558337794019403,1.040026203991075169826205550097984628684569409986476549e-46,1,ROOT_OK
pv,pv_0000010,dev,interior,4.8061977653631178242221722030080854892730712890625,27.77094214189386814534648661375303783566033897881602686,0.00000000001282696096018749961889161934570913266400427242985720589,1.638366215990993968176780981593765318393707275390625,0.3666415531097981794772522334824316203594207763671875,424.7017322476677999938361648354025092324236165467939626,4.735869188879792358554706499446184249072378367650779965,-0.002870900101492553716472406523627906947118449286628193188,5.035916356167311348632153189948136096788441353618728555e-46,1,ROOT_OK
pv,pv_0000011,dev,interior,5.1439080285702285522120291716419160366058349609375,18.09398890399710374472670668453627592659198334605020519,0.000000004209964720393428833946903731869468051755679189975192308,1.978023598552294259889094973914325237274169921875,0.7675839517513380894087049455265514552593231201171875,293.505707135148301115561338401855129866454003998999375,5.068721715187047696265354895191412312159103541599200623,-0.003540329253635433460997519607485639116498517777891441472,2.408481735558279340650160221279543350637950212600261483e-46,1,ROOT_OK
pv,pv_0000012,dev,interior,3.498427234750837389043454095371998846530914306640625,13.99989803308622530325328901927110467617643274088559155,0.00000005146464880212463043770188889368119060995253396479772645,1.6576347604046282047107752077863551676273345947265625,0.67782366061355714403902084086439572274684906005859375,690.7560274002422039881643717912269942241797134527708762,3.473759479265555275038627224756107487450554651284461493,-0.002043047438333618249088002763235047512296441625860716554,1.040026203991075169826205550097984628684569409986476549e-46,1,ROOT_OK
pv,pv_0000013,dev,interior,5.17863392090882168616872149868868291378021240234375,38.06332031853274556450068997101460960660333029469284319,0.0000000002444761242246622294088597373343089482782265855380001509,1.8480247111733423270862886056420393288135528564453125,0.254865389490323723808984368588426150381565093994140625,2527.177921900966365922073918421050282550509464319616623,4.748425683665031802937022097069461240569597970334699143,-0.212600427723516595324399570467867543299078853311739369,2.504273622767983632607837048262252461174686868783226428e-46,1,ROOT_OK
pv,pv_0000014,dev,interior,2.235748173259538784662936450331471860408782958984375,22.16366811324479394929317824832700043143122109999950577,0.000000000005071820191930927875715475999018316858738426357400166173,1.24279681313712497825463287881575524806976318359375,0.7184186450159446568619614481576718389987945556640625,1396.176061354707307705357589108786244475104639023556482,2.217716217420478586399529786936885485783324867750645704,-0.001532268079065200831925913991023269126930917294576954302,2.572696399346343841149034781821330397272355908913915675e-46,1,ROOT_OK
pv,pv_0000015,dev,short_circuit,10.4302443115954428520808505709283053874969482421875,2.781177477526929767706638922931540778234613095684481699,0.000000000008441995366630415604435380245907469339855275514771421582,2.3570277512865533964259157073684036731719970703125,0.463633281630127014327769074952811934053897857666015625,1004.527050832583186108993504361212269888137719186732782,10.42266515071142845742588744493949769557703182502344638,-0.0009950341895976234408314482131912116346360348481553455893,3.154290000262405613749215517073492854102542750024774271e-46,1,ROOT_OK
pv,pv_0000016,cal,short_circuit,3.875604107122603725343878977582789957523345947265625,0.4491661673787514972251530832659194366857194401005980383,0.0000000007757945740025411652988647565551888031230662397945226258,1.4169245466001803013256221674964763224124908447265625,0.1674722117461922010761554702185094356536865234375,954.2577177054454426384595475016597504086199273451313203,3.874453442788559467667861598617952765770696614546433173,-0.001047752243314831596279402927161579504196094638323965422,6.585692245667170072090281855061251349400645112578839992e-47,1,ROOT_OK
pv,pv_0000017,cal,interior,1.2089234308002918538704761886037886142730712890625,2.329322066253608907055615426040864733640173685962491156,0.000000001146329486608668628164150834894350998895564197372274794,2.09763397673734619530705458601005375385284423828125,0.51628187066089170631499882802017964422702789306640625,156.9001193781402824724261414451587706939042589711619204,1.190161295183296080511817357524366812938547564397410994,-0.006352580416074256495419898179848462477200304644452836358,8.758115402030106693273309895561975820501637136728223573e-47,1,ROOT_OK
