domain,sample_id,split,branch,p0,p1,p2,p3,p4,p5,root,gradient,residual,root_count,status
kepler,kepler_0000000,dev,difficult,0.9999999999709009588915199770642817038107265304009447269,0.005541839072881588597319077516345110106989778724012059563,0,0,0,0,0.322121368069037565043963721377779415698893299532747831,19.44238131407307945705586954172814719074248250704156869,4.173789371279972721013061747103754101957811447972044047e-47,1,ROOT_OK
kepler,kepler_0000001,dev,high_e,0.9112346415357563955694786272943019866943359375,1.663179896176235555401572173904369260425008211147599902,0,0,0,0,2.326417887540614540110502140839672602761603042914652098,0.6154334191743888120807252718672986163051737102120903163,7.006492321624085354618647916449580656401309709382578859e-46,1,ROOT_OK
kepler,kepler_0000002,dev,ordinary,0.50438161730799391246904406216344796121120452880859375,2.37778387383783563103638693369851954531509105533183596,0,0,0,0,2.626326305031936840363059504993364472666022792109792006,0.6949784835488715087512122132968661286973374383334669404,7.006492321624085354618647916449580656401309709382578859e-46,1,ROOT_OK
kepler,kepler_0000003,dev,ordinary,0.63210704109227311420227124472148716449737548828125,2.622777654286171583649268756601651360296647041324557836,0,0,0,0,2.821608114993469513704566916178499675799699693078822219,0.6249916150758467049130512960785585146014102771119949826,3.503246160812042677309323958224790328200654854691289429e-46,1,ROOT_OK
kepler,kepler_0000004,dev,difficult,0.9999999999716659138322946311042068832549313212214287281,0.0000003605348512508835579941113949855978989307397599094841954,0,0,0,0,0.01293303832290362196557201316280475236493292173447339769,11957.34536192244819183605245438845520050309266377848202,1.361021904717260251683126304132293662977926036290992767e-49,1,ROOT_OK
kepler,kepler_0000005,dev,high_e,0.90516046293451457582790453670895658433437347412109375,3.042570677463560086066932092886144529525218450649357227,0,0,0,0,3.089605867617740296391936985940406890390602076163763365,0.5252273019653048901882998852831116902006431672817349667,0.0,1,ROOT_OK
kepler,kepler_0000006,cal,ordinary,0.35460548477356612639965760536142624914646148681640625,2.636131126980971403410149787165324566691020272556249332,0,0,0,0,2.76615708421536861077068488586302691144384335112696738,0.7519325593575438244768047242244221968001727256070786377,0.0,1,ROOT_OK
kepler,kepler_0000007,cal,ordinary,0.67054264896732396206147086559212766587734222412109375,1.829392051712435150608412648435977978270353203273154536,0,0,0,0,2.320263920380093196272064663921624564301904324555003506,0.6864329231481553323660225062225726312677318170306668804,3.503246160812042677309323958224790328200654854691289429e-46,1,ROOT_OK
kepler,kepler_0000008,test,difficult,0.9999999500082822992881074051798748059809074966975644404,0.0005594730477817978747407939495318574693413487656104977182,0,0,0,0,0.1497857883712109450687208444159322434340229563081757075,89.30977373202416591880503024315398720898877616147811817,2.56585412168850782029491500846542260366258900490084675e-49,1,ROOT_OK
kepler,kepler_0000009,test,high_e,0.95259267574790185140187759316177107393741607666015625,2.857172612231132804968695274388447366924277181257288073,0,0,0,0,2.995677554003833493208395917893780793465770337680201195,0.5148085377671548459171538424497078143286663942261010832,3.503246160812042677309323958224790328200654854691289429e-46,1,ROOT_OK
kepler,kepler_0000010,dev,ordinary,0.6307281099034527382940495954244397580623626708984375,0.7812416799316849100040427816697266493600681799279491602,0,0,0,0,1.403124440752789127911050100267417208059714924758456657,1.117643783595692559341528723754208317274851516453418653,0.0,1,ROOT_OK
kepler,kepler_0000011,dev,ordinary,0.8373836417977222890129951338167302310466766357421875,0.05429273750616293111576696795145656842095535016212978816,0,0,0,0,0.3087342463879570929842313400063752151624433557492454951,4.945384465046987201407537825148405118884395792054244761,2.736911063134408341647909342363117443906761605227569867e-47,1,ROOT_OK
kepler,kepler_0000012,dev,difficult,0.999999924258806565949995474002414057101084810840700137,0.000844502021733671693601624243514985763958239667933623675,0,0,0,0,0.1718418123696899669271995353430852892525752797954165975,67.89520151024401847901476136655494912435133276179899874,1.796097885181955474206440505925795822563812303430592725e-48,1,ROOT_OK
kepler,kepler_0000013,dev,high_e,0.936296441663753586936991268885321915149688720703125,3.039243993657528787669243185161122257675322136151906051,0,0,0,0,3.088722795465891364786950642268458102408404964103412796,0.5167990256412288867640836183964648647777210298559408229,3.503246160812042677309323958224790328200654854691289429e-46,1,ROOT_OK
