domain,sample_id,split,branch,p0,p1,p2,p3,p4,p5,root,gradient,residual,root_count,status
cstr,cstrfold_0000000,dev,single,0.01881235095289423692719824012773325530702826337358982153,87.96059416886868,20.83289681228348,0,0,0,0.9999974267099249129988444073131372154153267225826452971,0.0001367917088022969443871824395320798768065148998610327768,1.054219794323052322434857405127001900770996138236850755e-81,1,ROOT_OK
cstr,cstrfold_0000001,dev,single,0.01742603401696660246407608115587313862199188157058542447,19.173603344487137,23.461000033361547,0,0,0,0.9984896489955777753209369052275583444182620041683732438,0.08716596706056328482464692224914884047846238938055758104,0.0,1,ROOT_OK
cstr,cstrfold_0000002,dev,single,0.005265081617236123288902750307696668532544111241046676469,27.863365926991484,73.61187420923837,0,0,0,0.9999996834871440035119595933620684069475017398520836166,0.00006011555657264140660413809460261812312197326302228482284,1.054219794323052322434857405127001900770996138236850755e-81,1,ROOT_OK
cstr,cstrfold_0000003,dev,low_triple,0.00000209842660025876763197507569831437611839454807004119963,89.12384998727312,20.42078577117012,0,0,0,0.000002098512122814289828457906512404887181442176297367087684,1.000081513592878063801906095300319517031435692499223961,3.508382219571803459519079590731798012667148708335222621e-83,3,ROOT_OK
cstr,cstrfold_0000004,dev,single,0.0004469587977321030788986152107028753316322205053315601673,18.662196824582665,22.182652190265685,0,0,0,0.0004512491386404051283770887898278655866117905096479605731,1.019331252657937365929222110602403006797109774432243108,1.132462669682966361990569478163771573093843507871617022e-83,1,ROOT_OK
cstr,cstrfold_0000005,dev,single,0.00000003084359804521798035380943919701628789050164766679482424,27.37804212007559,73.28315248313054,0,0,0,0.0000000308436668103958374908783788817737677423009514911777775,1.000004458966807579336873390642004561800377482825662749,6.170270209275935962399767087839248970015560543005356155e-83,1,ROOT_OK
cstr,cstrfold_0000006,cal,single,0.01972467600180403320974215479522677112248267652564358667,88.05646700933963,19.922425484911887,0,0,0,0.9999955416843786300700112765753090347762612681478432202,0.0002260396624596893430979604419734808665835243115442098652,0.0,1,ROOT_OK
cstr,cstrfold_0000007,cal,single,0.01826215940707138923957858106240772580735388450764825158,19.929704062035793,22.396442801907614,0,0,0,0.9985510590297328892619564688239362134254651371520011444,0.07980039235062497228082916994922100465749532795168602805,0.0,1,ROOT_OK
cstr,cstrfold_0000008,test,single,0.005058659500567579446086945651614667963889632793567877329,28.315835105294923,76.52268791439404,0,0,0,0.9999997910888758591421149887513652377318930164928870237,0.00004129776358807338622882604406676222153156406872756922588,0.0,1,ROOT_OK
cstr,cstrfold_0000009,test,single,0.000001735911658894699369957887900869102464847413148876662421,87.70807391591487,20.795252147802778,0,0,0,0.000001735971312741895511765331475967111350984478540700245897,1.000068730882931603818986823803292631641918438482095252,2.808233956816816088700336174011937817796274579356357125e-83,1,ROOT_OK
