domain,sample_id,split,branch,p0,p1,p2,p3,p4,p5,root,gradient,residual,root_count,status
kepler,kepler_0000000,dev,difficult,0.9999999999863214728140027047394485318746907747371264998,0.00000002326206927014990761547546401404097708511665602067899195,0,0,0,0,0.005187199502856809259613037225718788870104151445545794923,74330.08420910001177561508838357071110536344179227235247,7.307211606617798920291560877524892858893478670831225553e-59,1,ROOT_OK
kepler,kepler_0000001,dev,high_e,0.945838091381097090248886161134578287601470947265625,1.791819399541575024356251572509899486206145389952868513,0,0,0,0,2.418024107582759013227270954062998939375081373396101457,0.5851866870195254333697494788647857303844334047883011869,4.078315292499077829193933818285342222313227661293104092e-56,1,ROOT_OK
kepler,kepler_0000002,dev,ordinary,0.6136076594439361375776798013248480856418609619140625,0.6320503802240079529183355582592208567407501809210702246,0,0,0,0,1.205078505075277921220281472019576017669692219033816858,1.281128556858072905755005833759024900398852064850755548,1.019578823124769457298483454571335555578306915323276023e-56,1,ROOT_OK
kepler,kepler_0000003,dev,ordinary,0.2043824848524356252443823223075014539062976837158203125,1.416368567130039854520623889419158135321272683816214506,0,0,0,0,1.620498658693076313592703581633528802491223608208530647,0.9899479651692207560369739350402043299913338651990324178,2.039157646249538914596966909142671111156613830646552046e-56,1,ROOT_OK
kepler,kepler_0000004,dev,difficult,0.9999999999814719230710900716119848560887905806981951839,0.0002313688772719853587567544592729982551898993787878664561,0,0,0,0,0.1115772128843878018817545579442698385719971880071067211,160.8161219286526714597205279814775450855146461312601598,9.359414977903157127544672336885306857847739261756635368e-58,1,ROOT_OK
kepler,kepler_0000005,dev,high_e,0.98458276462444782595184733509086072444915771484375,0.6931163638940321117545663759684896022920102717427955016,0,0,0,0,1.672601301370523291257925771138400507805834396368420683,0.9090393675408364473000044370719609779876069487977546287,0.0,1,ROOT_OK
kepler,kepler_0000006,cal,ordinary,0.65386398106194387747081009365501813590526580810546875,0.4469810336075506315645832307034894183056676667757063902,0,0,0,0,0.995644745725063430315920667859818806320479492463222821,1.552016979867500432037879505892065751554827695280656213,0.0,1,ROOT_OK
kepler,kepler_0000007,cal,ordinary,0.686271522860889771067149922600947320461273193359375,1.42565169235514264211624246971097547058698945972873147,0,0,0,0,2.03828745694277255625557524978546107493513634528402689,0.7637862002105113023569827468350300098999347241470349827,6.117472938748616743790900727428013333469841491939656139e-56,1,ROOT_OK
kepler,kepler_0000008,test,difficult,0.9999999971467657072787475633624625226276359259698441333,0.0000001834429735708567001222436778508092256285696499072051721,0,0,0,0,0.01032432421052310628869094715267677144022970647543662407,18762.35446693002197571538894236308506841802423541967657,1.027137841995096412865880009876661600241798887254469516e-58,1,ROOT_OK
kepler,kepler_0000009,test,high_e,0.9437996273918705103511683773831464350223541259765625,2.725137624104759667064258317348455451585424064968787373,0,0,0,0,2.926541767611314695114196083373223053500839931327060165,0.52027520015379309267595490683192812138540192024141596,0.0,1,ROOT_OK
kepler,kepler_0000010,dev,ordinary,0.2430369406850668989594765889705740846693515777587890625,0.5568234557961089840153416154597739662989567416590102138,0,0,0,0,0.7164238426795792055566053613683706182568991146072892977,1.22442256457934322753787961657685356601831901901699442,0.0,1,ROOT_OK
kepler,kepler_0000011,dev,ordinary,0.62327109518384371522614628702285699546337127685546875,3.004086237748319794355248497776554477489700604135464029,0,0,0,0,3.056844256902416149190992620992180623964807767423777525,0.6168901396021676929638123743042079744217595228202113541,0.0,1,ROOT_OK
