domain,sample_id,split,branch,p0,p1,p2,p3,p4,p5,root,gradient,residual,root_count,status
pv,pv_0000000,dev,interior,3.06309405680754753831251946394331753253936767578125,25.50574374368804726425193313776753409522585669765356923,0.000000004859726097162043425386440981068755244524646117488191844,2.14715259140754977096321454155258834362030029296875,0.54030683290766468029886482327128760516643524169921875,236.9904174703534609811099143931224534719461275443261641,2.947280059017197254919352588865555096608152085534664666,-0.004891742606183767756575708074885310415858717572362856363,8.921314702341732751361730227499186111310185509078665202e-57,1,ROOT_OK
pv,pv_0000001,dev,interior,4.45859516813813616664674555067904293537139892578125,36.82128965513076524702549019305925373075019196905289228,0.000000000002253415468702865423001982419113522426792091894275084345,1.599485719969919728100649081170558929443359375,0.08682547805112870997756857605054392479360103607177734375,634.5006318178989492650087259697261282213736350797527564,4.37154232635717492855318711309157840469397285435259362,-0.0193135113629484094088202960392622430784650548839573969,7.51939382054517474757631547746359972239001350050916067e-56,1,ROOT_OK
pv,pv_0000002,dev,interior,10.1042000713210331497293736902065575122833251953125,14.39604949284671097594927260190320245888771949923315146,0.00000000195380841914966645530406420339534037884277856833493111,1.992998756967514051297030164278112351894378662109375,0.269703733316499827399326250088051892817020416259765625,162.5955924516077123430824597425468735225701170101343789,9.99906487424305949376603175085925233589203510111793469,-0.006145227127222615929044280353756447109945987544247212106,3.950867939608481647031623386463925277865939296877694589e-56,1,ROOT_OK
pv,pv_0000003,dev,short_circuit,11.2718282389702526558039608062244951725006103515625,0.02866025405506812660964143107422322325735141037029688855,0.000000006626989387017652857885312674219129488892424754606211371,1.348858011906012510650043623172678053379058837890625,0.1266981673170999023181337861387873999774456024169921875,580.4603723380530781594070028809555373916568359118171032,11.26931907576923552889971085596334920071882192627427525,-0.001722408997342483986224321331603130655141009739852248103,1.444536090419351102195937300675872679719734055420907084e-55,1,ROOT_OK
pv,pv_0000004,dev,interior,7.382314168135135190595974563620984554290771484375,8.458922104106150031313044576789147813642403660747555236,0.00000001259685671801769187064607407064277190848440315745733,1.317005850881348916203705812222324311733245849609375,0.141658044176237563060993807084742002189159393310546875,190.6505336623813028537158219750937007198119506795147814,7.33248016874116397876639685381462131696756737627662371,-0.005254245292937291029760025434082069903661821703252822886,1.147026176015365639460793886392752500025595279738685526e-56,1,ROOT_OK
pv,pv_0000005,dev,interior,8.3716330346436134135501561104319989681243896484375,16.29444133817963664914370716135750795605294566567842025,0.000000002707792745624846099232299852138179155337467286747735192,1.333054784401149550632226237212307751178741455078125,0.1661266309981541400286886300818878225982189178466796875,142.2467662531318938561116592655835880146445415006845625,8.245912556517705982916155446517536776477318429601710704,-0.008173977941758094468535125685330197080217807695494329714,1.605836646421511895245111440949853500035833391634159736e-55,1,ROOT_OK
pv,pv_0000006,cal,interior,9.8145849007306207312240076134912669658660888671875,19.31213441575709005510740951459039149382998023748567712,0.000000000001163573192951403754231813402736211475325522742245876037,1.221984551391858797586564833181910216808319091796875,0.667299196901786739744011356378905475139617919921875,122.9406218906288354598238573922195317819937741927547518,9.603761881477961311483665943780305587919931935360578021,-0.0093927051426881514434958936875316022107898782851854276,8.921314702341732751361730227499186111310185509078665202e-56,1,ROOT_OK
pv,pv_0000007,cal,interior,11.4862697089446310627636194112710654735565185546875,13.05550985753093799522891260354546444100191131462028541,0.000000002771576471710684070074388128834370193871303928541765306,1.113487123075270091021593543700873851776123046875,0.5852824989259148846798552767722867429256439208984375,1716.875790884172761977555311517738328220955710620526911,11.3417946758266546894798342231201378186796073880525796,-0.1121520690570105089423611658144186402767736286958269897,1.221901495838590896481151265087834954888377193832738609e-55,1,ROOT_OK
pv,pv_0000008,test,short_circuit,5.66333258321502253096468848525546491146087646484375,1.143428123688736366868024227103069036043294696939852967,0.000000006009410596843417672422125351970955520310491357621826887,2.27741462159119212316227276460267603397369384765625,0.77095546870322062549263364417129196226596832275390625,2283.092138235343412085200234347954441442105771876193258,5.660920115631038924189905430771054265220136695794140658,-0.0004378842245125193510858080696074965880468777782956710385,1.453696368908362702788853362963037022601882906613264642e-56,1,ROOT_OK
pv,pv_0000009,test,short_circuit,5.399980238434952894976959214545786380767822265625,0.4005426319457670348396012064848333135240520528465991887,0.00000000002947244507945077378959078058225260688049008596093943272,1.2990679886048523972164048245758749544620513916015625,0.6753638214161463704243715255870483815670013427734375,143.5994804333597282967398299024952356002194935294505201,5.371926186239839284687683563020976776961645829708739847,-0.006931215744678309052213580049511577327182299372869370213,5.416512497850337741898193352410220139009755487654903873e-57,1,ROOT_OK
pv,pv_0000010,dev,interior,5.1442544789579631725473518599756062030792236328125,5.018496318874526840946904733012287551088704840376850237,0.0000000006018071934783628677759435908673312140468054851711101873,1.51475935017869911547450101352296769618988037109375,0.392893932728756001271364084459492005407810211181640625,1818.696751738244055178578332016869788561899369917667023,5.140384545627546799319940431118046827547506320155021854,-0.0005497669016686947002833692900063295551362677749828144952,5.890457341412242294314285270746114401173109092824707962e-56,1,ROOT_OK
