dataset,records,kernel_median_ms,e2e_median_ms,throughput_roots_s,fast_fraction,fallback_fraction,solver_failures,reference_column_is_oracle
baseline_51x1,51,0.538179,0.548282,94506.205588,1.0,0.0,0,False
baseline_51x1024,52224,2.227504,2.32784,23377820.896214,0.9999234068627451,7.659313725490196e-05,0,False
baseline_51x16,816,1.373514,1.387808,592076.444772,0.9963235294117647,0.003676470588235294,0,False
baseline_51x16384,835584,93.205917,94.633278,8947193.575372,0.8798193838082108,0.12018061619178921,0,False
baseline_51x2,102,0.948765,0.959565,107331.842303,0.9901960784313726,0.00980392156862745,0,False
baseline_51x256,13056,1.372698,1.404096,9486643.373812,0.9997702205882353,0.00022977941176470588,0,False
baseline_51x32,1632,1.373738,1.387488,1185432.636153,0.9981617647058824,0.001838235294117647,0,False
baseline_51x4,204,1.230323,1.242144,165358.781014,0.9852941176470589,0.014705882352941176,0,False
baseline_51x4096,208896,20.486176,20.864416,10187029.04059,0.993929993872549,0.0060700061274509805,0,False
baseline_51x64,3264,1.374336,1.387984,2369883.353138,0.9990808823529411,0.0009191176470588235,0,False
baseline_51x65536,3342336,187.231461,192.89267,17863906.901623,0.9294762704886642,0.07052372951133579,0,False
baseline_51x8,408,1.372022,1.381856,296700.417672,0.9926470588235294,0.007352941176470588,0,False
baseline_524280,524280,57.632576,58.703648,9095000.680619,0.8482375829709315,0.15176241702906842,0,False
high_wind_125_524280,524280,141.818207,143.415161,3703938.389893,0.22841420614938582,0.7715857938506142,0,False
low_wind_075_524280,524280,149.353882,150.787399,3500139.517774,0.20782024872205693,0.792179751277943,0,False
mixed_51x1,51,9.72233,9.739949,5244.69199,0.6862745098039216,0.3137254901960784,0,False
mixed_51x1024,52224,22.333376,22.346399,2340730.703115,0.40615425857843135,0.5938457414215687,0,False
mixed_51x16,816,16.776281,16.806675,48696.305745,0.3897058823529412,0.6102941176470589,0,False
mixed_51x16384,835584,190.414917,190.610809,4399451.332172,0.39358101639093135,0.6064189836090687,0,False
mixed_51x2,102,10.320976,10.351072,9881.389057,0.3431372549019608,0.6568627450980392,0,False
mixed_51x256,13056,20.832979,20.932528,626352.860696,0.4050245098039216,0.5949754901960784,0,False
mixed_51x32,1632,17.693222,17.764065,92353.222645,0.38786764705882354,0.6121323529411765,0,False
mixed_51x4,204,11.067341,11.101908,18426.924339,0.3382352941176471,0.6617647058823529,0,False
mixed_51x4096,208896,65.951904,66.061821,3182685.028473,0.3920850566789216,0.6079149433210784,0,False
mixed_51x64,3264,17.812443,17.647552,182990.140336,0.39828431372549017,0.6017156862745098,0,False
mixed_51x65536,3342336,690.223328,695.93689,4844343.167483,0.39383682550168503,0.6061631744983149,0,False
mixed_51x8,408,12.551315,12.593178,32492.02682,0.41911764705882354,0.5808823529411765,0,False
turbulent_gust_524280,524280,120.708,120.244064,4365366.13599,0.485912108033875,0.5140878919661249,0,False
