method,timing_kind,median_ms,brent_over_method,ci95_low,ci95_high
bisection,kernel,565.9311825,0.8091961906612177,0.8081222539084914,0.8106123686022368
bisection,e2e,572.9878235000001,0.8077925465611449,0.806688750156768,0.8101409964138053
brent,kernel,458.1292575,1.0,1.0,1.0
brent,e2e,462.841965,1.0,1.0,1.0
illinois,kernel,577.690979,0.7923877477877717,0.7906287512820573,0.7947221673192728
illinois,e2e,583.4135745,0.7932108342872599,0.7921253791950226,0.794613846850708
fixed44,kernel,700.6193845,0.65347065374292,0.6523955952630418,0.6546436225513821
fixed44,e2e,708.032654,0.6535624129710523,0.652593907176282,0.6542498562343938
adaptive_compacted,kernel,127.121006,3.6014546180784333,3.591064498208884,3.609214942944763
adaptive_compacted,e2e,131.4722215,3.5206839042943985,3.5136250904169293,3.5284532899365884
