method,timing_kind,median_ms,fp64_over_method,ci95_low,ci95_high
adaptive,e2e,508.26319885249995,0.9449332817051403,0.9424844575816314,0.9466658830446463
adaptive,kernel,500.899642944,0.9444079500345699,0.9434084292253062,0.9455629386984292
df32_adaptive,e2e,58.933057785049996,8.150664844033,8.131854586577619,8.160176583049637
df32_adaptive,kernel,51.92753601075,9.092449984975694,9.073404477067646,9.116286521273913
fp32,e2e,44.1134567261,10.869894748815387,10.847484473523561,10.914150114317856
fp32,kernel,37.13862419125,12.716551384230058,12.67937353061926,12.737336008822481
fp32_df32_refine,e2e,58.16193580625,8.264374366211786,8.248014594633277,8.270263319383373
fp32_df32_refine,kernel,51.213823318500005,9.237103657705212,9.200285449641127,9.252822807172269
fp64,e2e,480.269271851,1.0,1.0,1.0
fp64,kernel,472.60232543949996,1.0,1.0,1.0
