candidate,domain,n,strict_lto_median_ms,candidate_median_ms,strict_lto_over_candidate,ci95_low,ci95_high,bootstrap_design
fast_math_lto,bem,1,0.0189905166626,0.01899003982545,1.0000251098551864,0.9885624969003501,1.007407593409952,independent_sequential_runs
fast_math_lto,bem,8,0.018409729003899998,0.0184550285339,0.9975454099181267,0.9919261525816666,1.0026749772759567,independent_sequential_runs
fast_math_lto,bem,32,0.0190496444702,0.01903533935545,1.000751503006218,0.9957982142399082,1.009747764044729,independent_sequential_runs
fast_math_lto,bem,128,0.0204701423645,0.0204548835754,1.0007459729136934,0.991746489352386,1.0107991865528194,independent_sequential_runs
fast_math_lto,bem,512,0.02570486068725,0.02515506744385,1.0218561625655436,1.0157177255749468,1.0274976737108412,independent_sequential_runs
fast_math_lto,bem,2048,0.052849769592250004,0.050250053405799994,1.0517355905168042,1.0478544723003707,1.0556559794503675,independent_sequential_runs
fast_math_lto,bem,8192,0.1786403656005,0.1657700538635,1.0776395460883292,1.0677998707939433,1.0934254255418165,independent_sequential_runs
fast_math_lto,bem,32768,0.707100391388,0.654755592346,1.0799455547289756,1.0629334928655965,1.0995721289745635,independent_sequential_runs
fast_math_lto,bem,131072,2.779046535495,2.586250782015,1.0745464263638769,1.0697162440144765,1.0774757031696351,independent_sequential_runs
fast_math_lto,bem,524288,11.158965587600001,10.33338928225,1.0798940485836646,1.0773151777989747,1.0827210508533835,independent_sequential_runs
fast_math_lto,bem,2097152,46.1262922287,42.8347058296,1.0768439127887142,1.0743542593018331,1.0905392093110968,independent_sequential_runs
fast_math_lto,bem,8388608,179.02186536800002,141.6511831285,1.263821885664018,1.079248204742669,1.2653851191048329,independent_sequential_runs
fast_math_lto,bem,16777216,284.9155659675,281.776054382,1.0111418679361726,1.0103866335726583,1.0118528705354277,independent_sequential_runs
fast_math_lto,cstr,1,0.0189847946167,0.0189199447632,1.0034275921157092,0.994727062724038,1.0140243594304348,independent_sequential_runs
fast_math_lto,cstr,8,0.0186395645142,0.018630027771,1.0005119017167996,0.9954416970138967,1.005655236231683,independent_sequential_runs
fast_math_lto,cstr,32,0.0193295478821,0.0191349983215,1.01016721074814,0.9979192469650047,1.0226257964207024,independent_sequential_runs
fast_math_lto,cstr,128,0.0359501838684,0.03584480285645,1.002939924439591,0.9950084512994082,1.0101926761767352,independent_sequential_runs
fast_math_lto,cstr,512,0.032390117645300004,0.0897698402405,0.3608129139867521,0.3569598543233657,0.5153053629907759,independent_sequential_runs
fast_math_lto,cstr,2048,0.0792798995972,0.1203002929685,0.6590166793522192,0.4349338882087851,0.7332263157446461,independent_sequential_runs
fast_math_lto,cstr,8192,0.32546997070350003,0.29174995422350003,1.115578480791014,1.0911817343136854,1.1701794094589704,independent_sequential_runs
fast_math_lto,cstr,32768,1.33393001556,1.148931503295,1.1610178776841318,1.1423674601939224,1.1991844846254096,independent_sequential_runs
fast_math_lto,cstr,131072,6.31505346298,5.828866958615,1.0834101220386274,1.0729592789401843,1.0880420497193086,independent_sequential_runs
fast_math_lto,cstr,524288,25.27433729175,23.5329055786,1.073999859784998,1.071361499801472,1.0756379663017368,independent_sequential_runs
fast_math_lto,cstr,2097152,100.98932313899999,95.17035531995,1.0611426509808375,1.0560607314159944,1.0652938828922522,independent_sequential_runs
fast_math_lto,cstr,8388608,407.0255036355,381.9241075515,1.0657235183317546,1.0653558650857389,1.0659134407816115,independent_sequential_runs
fast_math_lto,cstr,16777216,814.6737031935,761.7237033844999,1.0695133938641164,1.0690437624669895,1.070528133359639,independent_sequential_runs
fast_math_lto,kepler,1,0.0189046859741,0.01912975311275,0.9882347076136601,0.9807873702997236,0.997136685589836,independent_sequential_runs
fast_math_lto,kepler,8,0.018635272979749998,0.0188503265381,0.9885915207932691,0.9773866827115438,1.0,independent_sequential_runs
fast_math_lto,kepler,32,0.0191550254822,0.0192451477051,0.9953171456888265,0.9865135235261373,1.0026422054953852,independent_sequential_runs
fast_math_lto,kepler,128,0.020054817199700002,0.02006006240845,0.9997385248040012,0.9940483247579929,1.0050042893947808,independent_sequential_runs
fast_math_lto,kepler,512,0.023715496063249998,0.023634433746299997,1.0034298396069121,0.9953284201201463,1.015313159178166,independent_sequential_runs
fast_math_lto,kepler,2048,0.0397953987122,0.03855991363525,1.0320406598582361,1.0254796717875334,1.0384315279707264,independent_sequential_runs
fast_math_lto,kepler,8192,0.1134696006775,0.106610774994,1.0643352014267415,1.0401521220532128,1.0815132746537919,independent_sequential_runs
fast_math_lto,kepler,32768,0.4569606781005,0.4357652664185,1.0486395160775488,1.0383737738999967,1.0584463432004938,independent_sequential_runs
fast_math_lto,kepler,131072,1.75585603714,1.6782908439600002,1.0462167767041983,1.0384552218626164,1.0608044593277661,independent_sequential_runs
fast_math_lto,kepler,524288,7.22726392746,6.818788051605,1.0599044687653627,1.051223771152997,1.0640141268613046,independent_sequential_runs
fast_math_lto,kepler,2097152,28.85239887235,28.35328817365,1.0176032739357492,1.0098854309276768,1.0701526289821983,independent_sequential_runs
fast_math_lto,kepler,8388608,116.75625515,111.52257776249999,1.046929307881008,1.0463094726466349,1.0476386630763235,independent_sequential_runs
fast_math_lto,kepler,16777216,232.9647660255,222.31021594999999,1.047926497799347,1.0472231607260478,1.04876465825754,independent_sequential_runs
fast_math_lto,peng_robinson,1,0.019169807434100003,0.0188751220703,1.0156123686354162,1.009834577365385,1.0271828874817124,independent_sequential_runs
fast_math_lto,peng_robinson,8,0.0192446708679,0.01900005340575,1.012874567082847,1.0060797909765689,1.0203573225949543,independent_sequential_runs
fast_math_lto,peng_robinson,32,0.0192198753357,0.0190052986145,1.0112903630483496,1.0013053519468342,1.022623979912576,independent_sequential_runs
fast_math_lto,peng_robinson,128,0.0193600654602,0.019210338592550003,1.00779407749263,0.999728368233394,1.0145860252478311,independent_sequential_runs
fast_math_lto,peng_robinson,512,0.019724845886250002,0.0194149017334,1.0159642401030955,1.0064345656052713,1.020935960592596,independent_sequential_runs
fast_math_lto,peng_robinson,2048,0.02161026000975,0.0214853286743,1.0058147276843588,0.9985792931995278,1.0092789913014952,independent_sequential_runs
fast_math_lto,peng_robinson,8192,0.0296754837036,0.0292353630066,1.0150543948060655,1.0063243805669737,1.0224260625458659,independent_sequential_runs
fast_math_lto,peng_robinson,32768,0.0660800933838,0.06515502929684999,1.01419789227222,0.9893184645204786,1.0661703887508476,independent_sequential_runs
fast_math_lto,peng_robinson,131072,0.2088103294375,0.20706605911249998,1.0084237384556218,1.003947253674787,1.0121943902114983,independent_sequential_runs
fast_math_lto,peng_robinson,524288,0.7573256492614999,0.733314990997,1.0327426256919356,1.0267961815439695,1.0390296688997438,independent_sequential_runs
fast_math_lto,peng_robinson,2097152,2.6393814086900003,2.45262098312,1.0761472836020594,1.0725543606350336,1.0805167005146756,independent_sequential_runs
fast_math_lto,peng_robinson,8388608,8.685344696045,7.487333774565,1.1600050108023403,1.1281773918405655,1.171338598693117,independent_sequential_runs
fast_math_lto,peng_robinson,16777216,15.330022811900001,13.6918811798,1.1196432842637283,1.1121429133289709,1.1247031654128197,independent_sequential_runs
fast_math_lto,pv,1,0.0190052986145,0.0191402435303,0.9929496761320526,0.9830890922162576,1.0023854961842942,independent_sequential_runs
fast_math_lto,pv,8,0.0190849304199,0.019290447235099997,0.9893461871207399,0.9739532140722961,1.0012931141656733,independent_sequential_runs
fast_math_lto,pv,32,0.0191102027893,0.0192794799805,0.9912198258785396,0.9858274691193305,1.0002731155035376,independent_sequential_runs
fast_math_lto,pv,128,0.0199098587036,0.01992511749265,0.9992341932710997,0.9937517886100843,1.0065143459293635,independent_sequential_runs
fast_math_lto,pv,512,0.022974967956549998,0.03476524353025,0.6608602622489607,0.6525848974721021,0.6702424789834901,independent_sequential_runs
fast_math_lto,pv,2048,0.0351548194885,0.0732498168945,0.47993047599194233,0.47728039444696985,0.599090894436784,independent_sequential_runs
fast_math_lto,pv,8192,0.08942079544065,0.08070039749145,1.1080589218922237,0.8503783567212834,1.1791755803191923,independent_sequential_runs
fast_math_lto,pv,32768,0.36815023422250004,0.26826477050749997,1.372339101873265,1.3414859979545801,1.4127273476103208,independent_sequential_runs
fast_math_lto,pv,131072,1.417850494385,1.07223558426,1.3223311324474698,1.270827011495121,1.3566050505827902,independent_sequential_runs
fast_math_lto,pv,524288,5.698518276215,4.29201221466,1.3277031823793213,1.3127236478838573,1.3441939708243567,independent_sequential_runs
fast_math_lto,pv,2097152,22.766610145599998,17.0401234627,1.3360589901496311,1.3316321361700838,1.3424165591453738,independent_sequential_runs
fast_math_lto,pv,8388608,93.58188438415,72.99029445645,1.2821140821672676,1.281071810379787,1.282753376459171,independent_sequential_runs
fast_math_lto,pv,16777216,186.24691295600002,146.6400351525,1.2700959377315368,1.2673021043864263,1.2721395537847853,independent_sequential_runs
strict_no_lto,bem,1,0.0189905166626,0.018895149230950002,1.0050471912385741,0.995242983403582,1.0155093231600794,independent_sequential_runs
strict_no_lto,bem,8,0.018409729003899998,0.01855516433715,0.9921620024157468,0.9855597509972754,0.9975764451101982,independent_sequential_runs
strict_no_lto,bem,32,0.0190496444702,0.01930475234985,0.9867852290966073,0.9829295969227474,0.9942691277137312,independent_sequential_runs
strict_no_lto,bem,128,0.0204701423645,0.02072525024415,0.9876909626352035,0.9821461439359728,0.9963746363108835,independent_sequential_runs
strict_no_lto,bem,512,0.02570486068725,0.0260601043701,0.9863682939329441,0.9816208710923255,0.9949418497303049,independent_sequential_runs
strict_no_lto,bem,2048,0.052849769592250004,0.04703474044795,1.1236326402339794,1.1192170099244716,1.1286384595071937,independent_sequential_runs
strict_no_lto,bem,8192,0.1786403656005,0.143354892731,1.2461406945887217,1.2049999516882093,1.2708738222561249,independent_sequential_runs
strict_no_lto,bem,32768,0.707100391388,0.573644638062,1.2326453425536525,1.2134411054594496,1.25968855634092,independent_sequential_runs
strict_no_lto,bem,131072,2.779046535495,2.21090602875,1.2569718022191176,1.2507425046952818,1.2604885999727067,independent_sequential_runs
strict_no_lto,bem,524288,11.158965587600001,8.899098396305,1.2539433873698174,1.245179296358372,1.2611275067285108,independent_sequential_runs
strict_no_lto,bem,2097152,46.1262922287,36.26234149935,1.27201637625984,1.2691559016379426,1.2954632103868786,independent_sequential_runs
strict_no_lto,bem,8388608,179.02186536800002,143.1532878875,1.2505606263733746,1.2490740951849535,1.251499833127285,independent_sequential_runs
strict_no_lto,bem,16777216,284.9155659675,285.067975521,0.999465357154828,0.9989262920411037,1.0004667420360376,independent_sequential_runs
strict_no_lto,cstr,1,0.0189847946167,0.0191650390625,0.9905951433121426,0.984411013901609,1.0020481566604416,independent_sequential_runs
strict_no_lto,cstr,8,0.0186395645142,0.0188150405884,0.9906736276557284,0.9844324651152265,0.9957760814228974,independent_sequential_runs
strict_no_lto,cstr,32,0.0193295478821,0.019565105438249998,0.9879603226829803,0.9793606417899827,1.0002681618727567,independent_sequential_runs
strict_no_lto,cstr,128,0.0359501838684,0.03579998016355,1.0041956365384506,0.9980631981108914,1.0128920325644515,independent_sequential_runs
strict_no_lto,cstr,512,0.032390117645300004,0.053985118865950005,0.599982334497172,0.5289267890129957,0.980089955632138,independent_sequential_runs
strict_no_lto,cstr,2048,0.0792798995972,0.08827018737795,0.8981503489705315,0.8829008003882831,1.0079795105988791,independent_sequential_runs
strict_no_lto,cstr,8192,0.32546997070350003,0.323830127716,1.0050638987763922,0.9864589557133552,1.0283151648137838,independent_sequential_runs
strict_no_lto,cstr,32768,1.33393001556,1.306586265565,1.0209276269892336,1.0039835882718804,1.0551256673063234,independent_sequential_runs
strict_no_lto,cstr,131072,6.31505346298,6.2311925888049995,1.0134582382071877,0.9938165146842388,1.0198691065712473,independent_sequential_runs
strict_no_lto,cstr,524288,25.27433729175,25.187687396999998,1.0034401687373777,1.001530578581311,1.0049060038027442,independent_sequential_runs
strict_no_lto,cstr,2097152,100.98932313899999,100.824373245,1.001636012094012,0.9909109454869898,1.0048292425995395,independent_sequential_runs
strict_no_lto,cstr,8388608,407.0255036355,406.3826341625,1.0015819314580823,1.0014252023859607,1.0017950646175302,independent_sequential_runs
strict_no_lto,cstr,16777216,814.6737031935,813.7342829705001,1.0011544557512935,1.000344558895701,1.0021101573521076,independent_sequential_runs
strict_no_lto,kepler,1,0.0189046859741,0.019115447998049998,0.9889742566341371,0.978436324026846,0.9947821745107983,independent_sequential_runs
strict_no_lto,kepler,8,0.018635272979749998,0.0189151763916,0.9852021780788518,0.9787063077518353,0.9941313366388427,independent_sequential_runs
strict_no_lto,kepler,32,0.0191550254822,0.019419670105,0.9863723419929848,0.9777028842156493,0.9928055787433782,independent_sequential_runs
strict_no_lto,kepler,128,0.020054817199700002,0.0205292701721,0.9768889508286176,0.9710685413841142,0.9837860602224496,independent_sequential_runs
strict_no_lto,kepler,512,0.023715496063249998,0.02435064315795,0.973916619344297,0.9679830913155447,0.9842828689182171,independent_sequential_runs
strict_no_lto,kepler,2048,0.0397953987122,0.03986501693725,0.9982536511859613,0.990127426463086,1.0055394355028788,independent_sequential_runs
strict_no_lto,kepler,8192,0.1134696006775,0.115839958191,0.9795376522012232,0.8919610547239997,1.0094073733854512,independent_sequential_runs
strict_no_lto,kepler,32768,0.4569606781005,0.45734453201299996,0.999160689839648,0.9746402517041525,1.0133936217229254,independent_sequential_runs
strict_no_lto,kepler,131072,1.75585603714,1.7695112228399998,0.9922830748266837,0.9845083999458856,1.0069179716563366,independent_sequential_runs
strict_no_lto,kepler,524288,7.22726392746,7.23233795166,0.9992984254560677,0.9914711926139383,1.0044218981804538,independent_sequential_runs
strict_no_lto,kepler,2097152,28.85239887235,29.187679290749998,0.9885129470191811,0.9696444354788484,1.0258737693290916,independent_sequential_runs
strict_no_lto,kepler,8388608,116.75625515,116.982500553,0.9980659893408802,0.9964490665577725,0.9992784297266687,independent_sequential_runs
strict_no_lto,kepler,16777216,232.9647660255,232.541346073,1.0018208372818445,1.0009796902435502,1.0024821899962992,independent_sequential_runs
strict_no_lto,peng_robinson,1,0.019169807434100003,0.01918935775755,0.9989811892770458,0.991698579370296,1.014230141799414,independent_sequential_runs
strict_no_lto,peng_robinson,8,0.0192446708679,0.01923513412475,1.0004957981102782,0.9897033586660957,1.0077711845460957,independent_sequential_runs
strict_no_lto,peng_robinson,32,0.0192198753357,0.0193901062012,0.991220735784858,0.9810822701300855,1.003073972062428,independent_sequential_runs
strict_no_lto,peng_robinson,128,0.0193600654602,0.01941967010495,0.9969307076573454,0.9872278311644376,1.0033972575770616,independent_sequential_runs
strict_no_lto,peng_robinson,512,0.019724845886250002,0.01979541778565,0.9964349376121198,0.988656027688077,1.0014976568912013,independent_sequential_runs
strict_no_lto,peng_robinson,2048,0.02161026000975,0.02191972732545,0.9858817899007032,0.9781469481829906,0.9944778016399083,independent_sequential_runs
strict_no_lto,peng_robinson,8192,0.0296754837036,0.029745101928700002,0.9976595062519241,0.9847845665260415,1.004886517069184,independent_sequential_runs
strict_no_lto,peng_robinson,32768,0.0660800933838,0.0645146369934,1.024265135221332,0.9938496351848254,1.0789333293818044,independent_sequential_runs
strict_no_lto,peng_robinson,131072,0.2088103294375,0.2120060920715,0.9849260811197716,0.9754731608226644,0.9905291457904276,independent_sequential_runs
strict_no_lto,peng_robinson,524288,0.7573256492614999,0.767230987549,0.9870894965815397,0.9821092126484352,0.9933357474647185,independent_sequential_runs
strict_no_lto,peng_robinson,2097152,2.6393814086900003,2.662836551665,0.9911916700406063,0.9889259757614998,0.9944229824084884,independent_sequential_runs
strict_no_lto,peng_robinson,8388608,8.685344696045,8.81015443802,0.9858334217801692,0.8900884122323615,0.9966423468214942,independent_sequential_runs
strict_no_lto,peng_robinson,16777216,15.330022811900001,15.4639873505,0.9913369989535288,0.9835088864580396,0.9968301678689596,independent_sequential_runs
strict_no_lto,pv,1,0.0190052986145,0.0193200111389,0.9837105412550027,0.9732807601880679,0.9904359430591917,independent_sequential_runs
strict_no_lto,pv,8,0.0190849304199,0.019235134124799998,0.9921911797481912,0.9742278182173979,1.002564613313718,independent_sequential_runs
strict_no_lto,pv,32,0.0191102027893,0.019740104675299998,0.9680902459049182,0.9601960171991988,0.9745848864798288,independent_sequential_runs
strict_no_lto,pv,128,0.0199098587036,0.0202856063843,0.9814771284830407,0.974703076780448,0.9883882516425321,independent_sequential_runs
strict_no_lto,pv,512,0.022974967956549998,0.023324966430649997,0.9849946847666161,0.9801564664673597,0.9909836065577751,independent_sequential_runs
strict_no_lto,pv,2048,0.0351548194885,0.0351800918579,0.99928162866936,0.994616893216018,1.0069453846359804,independent_sequential_runs
strict_no_lto,pv,8192,0.08942079544065,0.09577035903935,0.9337001170049797,0.884198457370495,1.0156849038851776,independent_sequential_runs
