domain,n,method,timing_kind,median_ms,p05_ms,p95_ms,fp64_over_method_median,ci95_low,ci95_high
bem,1,adaptive_frozen_v3,e2e,0.221033602953,0.21983936429,0.223968312144,0.9453707744433615,0.9437339086336747,0.946740916012063
bem,1,adaptive_frozen_v3,kernel,0.211453460157,0.211424842477,0.211814269423,0.9463775437231556,0.9461741155640474,0.9465558121701546
bem,1,adaptive_no_gradient_gate_v3,e2e,0.220806248486,0.219803854823,0.223557755351,0.9469985861888814,0.9452736639477883,0.9484790258435623
bem,1,adaptive_no_gradient_gate_v3,kernel,0.2114580348135,0.211426272988,0.211675286293,0.9464366575371863,0.9459289070375776,0.946666230221967
bem,1,fp32,e2e,0.02395823877305,0.0227609612048,0.024087999016,8.730214794606614,8.70429047267487,9.10898100873796
bem,1,fp32,kernel,0.01638241671025,0.0163805745542,0.0166060160846,12.21710018614802,12.214664797654176,12.219179453618661
bem,1,fp64,e2e,0.208983041346,0.208311676979,0.211182400584,1.0,1.0,1.0
bem,1,fp64,kernel,0.20015943795449997,0.200072512031,0.200213730335,1.0,1.0,1.0
bem,8,adaptive_frozen_v3,e2e,0.223213285208,0.223121285439,0.226472973824,0.9361448267919745,0.9357424336179005,0.9370193376147358
bem,8,adaptive_frozen_v3,kernel,0.2172014042735,0.217140287161,0.217412680387,0.9238636692070819,0.9235798831764878,0.9259969374319643
bem,8,adaptive_no_gradient_gate_v3,e2e,0.2232297584415,0.223130881786,0.226471364498,0.936184924258637,0.9356374015968192,0.9375252793889925
bem,8,adaptive_no_gradient_gate_v3,kernel,0.21718551218499998,0.21705031395,0.217486411333,0.9243477957589643,0.9237111146554537,0.925908229807026
bem,8,fp32,e2e,0.0230451207608,0.0228387191892,0.024458238855,9.072897366991217,8.900396777838218,9.106978873418937
bem,8,fp32,kernel,0.016381919384,0.0163801927119,0.0166073292494,12.249568569160777,12.242686598699862,12.277065124574186
bem,8,fp64,e2e,0.2090120092035,0.20878303051,0.212629750371,1.0,1.0,1.0
bem,8,fp64,kernel,0.200706720352,0.200518488884,0.201177507639,1.0,1.0,1.0
bem,32,adaptive_frozen_v3,e2e,0.23325839638700002,0.221910402179,0.236205115914,1.0003766599020136,0.9999622712419002,1.0096703677506302
bem,32,adaptive_frozen_v3,kernel,0.218668922782,0.218538939953,0.21890707314,1.0095149942614576,1.0091736498489972,1.0099257055469435
bem,32,adaptive_no_gradient_gate_v3,e2e,0.2318308725955,0.221803843975,0.236196160316,1.0124545242593928,1.0001907023018204,1.045353071572412
bem,32,adaptive_no_gradient_gate_v3,kernel,0.218602769077,0.218525469303,0.218841448426,1.0096450013681073,1.0093628229612874,1.010077433671782
bem,32,fp32,e2e,0.0236803209409,0.0235769599676,0.0237414408475,9.85229937346709,9.842395183325856,9.866246391104479
bem,32,fp32,kernel,0.01639713626355,0.0163949131966,0.0166249275208,13.458727385859131,13.456020934003625,13.464914559830142
bem,32,fp64,e2e,0.2332968041305,0.225267842412,0.235639363527,1.0,1.0,1.0
bem,32,fp64,kernel,0.220742665231,0.220610916615,0.220933273435,1.0,1.0,1.0
bem,128,adaptive_frozen_v3,e2e,0.2578107118605,0.247057288885,0.25795134902,0.9554922588607586,0.9525564051940473,0.9706314260774598
bem,128,adaptive_frozen_v3,kernel,0.242307074368,0.242215842009,0.242531880736,0.9573695011224357,0.9569218498527228,0.9575743876469212
bem,128,adaptive_no_gradient_gate_v3,e2e,0.2515014335515,0.24712510407,0.259894728661,0.9652187068873455,0.9525185019459173,0.9888023127446095
bem,128,adaptive_no_gradient_gate_v3,kernel,0.2423807382585,0.242217600346,0.242540746927,0.9573503184269176,0.9570196062218432,0.9574884978047302
bem,128,fp32,e2e,0.0236423993483,0.023529600352,0.0237497594208,10.394792308158497,10.377844125920214,10.411188450463026
bem,128,fp32,kernel,0.0163961602375,0.0163931529969,0.0166003834456,14.145016765732167,14.144320269762876,14.154669366822198
bem,128,fp64,e2e,0.2455763220785,0.24171552062,0.247409284115,1.0,1.0,1.0
bem,128,fp64,kernel,0.231937348843,0.231894567609,0.23226159811,1.0,1.0,1.0
bem,512,adaptive_frozen_v3,e2e,0.4300087839365,0.420079052448,0.43193629384,0.9763903388742636,0.9716747745885377,0.9810509908201812
bem,512,adaptive_frozen_v3,kernel,0.4149515777825,0.414811611176,0.415116131306,0.9772742565011951,0.9771883013509741,0.9773695676521577
bem,512,adaptive_no_gradient_gate_v3,e2e,0.4299897551535,0.420282900333,0.432874560356,0.9770676790377881,0.971941629986749,0.9793056640438873
bem,512,adaptive_no_gradient_gate_v3,kernel,0.414989307523,0.414893507957,0.415367096663,0.9770963606584213,0.9769939175692115,0.977278547964622
bem,512,fp32,e2e,0.03456944040955,0.0271161608398,0.0346652790904,12.091774594000086,12.08313427684816,12.158498252055306
bem,512,fp32,kernel,0.020496272482,0.0204945281148,0.020725119859,19.784223413465853,19.782893779272158,19.785417079176817
bem,512,fp64,e2e,0.4178135991095,0.417671054602,0.420866876841,1.0,1.0,1.0
bem,512,fp64,kernel,0.40551432967199996,0.40544000268,0.405798465014,1.0,1.0,1.0
bem,2048,adaptive_frozen_v3,e2e,0.433249592781,0.432166397572,0.43675199151,0.9691905324226338,0.9672987187448513,0.9705513637491434
bem,2048,adaptive_frozen_v3,kernel,0.419602870941,0.419407993555,0.421876788139,0.9649077874177685,0.9646124157850977,0.9650489400232958
bem,2048,adaptive_no_gradient_gate_v3,e2e,0.4337136149405,0.43212479353,0.4498911798,0.9690410588727021,0.9670014587103701,0.970551851169096
bem,2048,adaptive_no_gradient_gate_v3,kernel,0.4196859151125,0.4195548594,0.421889603138,0.9646779763581241,0.964274719672956,0.9649957823075569
bem,2048,fp32,e2e,0.036956800147899996,0.0366944000125,0.0380927994847,11.356904577909317,11.151452133102119,11.408905181230699
bem,2048,fp32,kernel,0.02051312010735,0.020493760705,0.0205279998481,19.744969962400795,19.732359368433208,19.841434248164525
bem,2048,fp64,e2e,0.419755205512,0.419513612986,0.420425593853,1.0,1.0,1.0
bem,2048,fp64,kernel,0.40486128628249995,0.404622733593,0.407202214003,1.0,1.0,1.0
