domain,n,method,median_ms,throughput_mroots_s,max_root_error,p99_root_error,max_residual,correction_fraction,checksum
bem,1,gpu_adaptive,0.015359999612,0.0651041683113,5.59225063201e-08,5.59225063201e-08,1.63387665675e-07,0,0.12307228148
bem,1,cpu_omp128,0.0331299379468,0.0301841796868,0,0,0,0,0
bem,8,gpu_adaptive,0.2089599967,0.0382848398082,5.59225063201e-08,3.75815609743e-08,1.63387665675e-07,0.25,8.03362983345
bem,8,cpu_omp128,0.0332100316882,0.240891067949,0,0,0,0,0
bem,32,gpu_adaptive,0.210112005472,0.152299721894,7.02435528077e-08,5.59225063201e-08,1.92525806297e-07,0.25,39.7467186248
bem,32,cpu_omp128,0.0357693061233,0.89462177124,0,0,0,0,0
bem,128,gpu_adaptive,0.235584005713,0.543330603503,7.02435528077e-08,5.59225063201e-08,1.07235375457,0.328125,303.741111663
bem,128,cpu_omp128,0.0368598848581,3.47260987094,0,0,0,0,0
bem,512,gpu_adaptive,0.406751990318,1.25875229178,9.06394931333e-08,5.59225063201e-08,1.29345107615,0.3984375,1436.113577
bem,512,cpu_omp128,0.0493805855513,10.3684473216,0,0,0,0,0
bem,2048,gpu_adaptive,0.411839991808,4.97280507172,9.83336295723e-08,6.97025477336e-08,1.34698817003,0.42138671875,5635.52925058
bem,2048,cpu_omp128,0.0990508124232,20.6762564576,0,0,0,0,0
bem,8192,gpu_adaptive,0.414528012276,19.7622350177,9.98588803869e-08,7.27846587445e-08,1.40995814017,0.426025390625,23613.148935
bem,8192,cpu_omp128,0.304820947349,26.8747934525,0,0,0,0,0
bem,32768,gpu_adaptive,0.419551998377,78.1023571018,9.98588803869e-08,7.39700034003e-08,1.40995814017,0.4272,29182.139971
bem,32768,cpu_omp128,1.1437246576,28.6502522984,0,0,0,0,0
bem,131072,gpu_adaptive,1.61116802692,81.3521605504,9.98588803869e-08,7.39700034003e-08,1.40995814017,0.4272,29182.139971
bem,131072,cpu_omp128,2.27415841073,57.6353869553,0,0,0,0,0
bem,524288,gpu_adaptive,5.22230386734,100.394004891,9.98588803869e-08,7.39700034003e-08,1.40995814017,0.4272,29182.139971
bem,524288,cpu_omp128,9.11625381559,57.511342993,0,0,0,0,0
bem,2097152,gpu_adaptive,20.1935367584,103.852634885,9.98588803869e-08,7.39700034003e-08,1.40995814017,0.4272,29182.139971
bem,2097152,cpu_omp128,37.2171448544,56.3490834186,0,0,0,0,0
bem,8388608,gpu_adaptive,79.8656997681,105.033926008,9.98588803869e-08,7.39700034003e-08,1.40995814017,0.4272,29182.139971
bem,8388608,cpu_omp128,104.079497047,80.5980835614,0,0,0,0,0
bem,16777216,gpu_adaptive,159.691162109,105.060391435,9.98588803869e-08,7.39700034003e-08,1.40995814017,0.4272,29182.139971
bem,16777216,cpu_omp128,204.651949927,81.9792628703,0,0,0,0,0
kepler,1,gpu_adaptive,0.0980160012841,0.0102024157984,0,0,3.62530101425e-18,1,0.0595829657091
kepler,1,cpu_omp128,0.0308603048325,0.0324040869145,0,0,0,0,0
kepler,8,gpu_adaptive,0.105343997478,0.07594167861,7.13513967909e-08,0,1.22759142851e-07,0.875,71.9263892779
kepler,8,cpu_omp128,0.0311098992825,0.257152873668,0,0,0,0,0
kepler,32,gpu_adaptive,0.116544000804,0.27457440777,8.51767190113e-08,7.13513967909e-08,1.39856183523e-07,0.9375,447.458382353
kepler,32,cpu_omp128,0.0312104821205,1.02529656147,0,0,0,0,0
kepler,128,gpu_adaptive,0.127232000232,1.00603621547,9.02800429969e-08,8.68365990225e-08,1.39856183523e-07,0.78125,1724.55615438
kepler,128,cpu_omp128,0.0318298116326,4.0213872918,0,0,0,0,0
kepler,512,gpu_adaptive,0.207616001368,2.46609122913,9.93858555454e-08,9.0109988804e-08,1.70136826405e-07,0.802734375,6968.58033881
kepler,512,cpu_omp128,0.0355197116733,14.4145314216,0,0,0,0,0
kepler,2048,gpu_adaptive,0.2089599967,9.80091899091,9.99793234868e-08,9.50697787161e-08,1.76014645081e-07,0.82080078125,28210.7605176
kepler,2048,cpu_omp128,0.0498304143548,41.0993973564,0,0,0,0,0
kepler,8192,gpu_adaptive,0.213824003935,38.3118819648,9.99793234868e-08,9.34593584745e-08,1.88248315158e-07,0.829345703125,112785.479075
kepler,8192,cpu_omp128,0.190310180187,43.0455164928,0,0,0,0,0
kepler,32768,gpu_adaptive,0.213216006756,153.68452162,9.99793234868e-08,9.33492492194e-08,1.88248315158e-07,0.8279,137018.997901
kepler,32768,cpu_omp128,0.6800936535,48.1815994479,0,0,0,0,0
kepler,131072,gpu_adaptive,0.811263978481,161.565166797,9.99793234868e-08,9.33492492194e-08,1.88248315158e-07,0.8279,137018.997901
kepler,131072,cpu_omp128,2.50744912773,52.2730445656,0,0,0,0,0
kepler,524288,gpu_adaptive,2.59283208847,202.206692185,9.99793234868e-08,9.33492492194e-08,1.88248315158e-07,0.8279,137018.997901
kepler,524288,cpu_omp128,5.8076120913,90.2760018675,0,0,0,0,0
kepler,2097152,gpu_adaptive,10.0028800964,209.654817391,9.99793234868e-08,9.33492492194e-08,1.88248315158e-07,0.8279,137018.997901
kepler,2097152,cpu_omp128,23.6182743683,88.7936166416,0,0,0,0,0
kepler,8388608,gpu_adaptive,39.4304962158,212.744165178,9.99793234868e-08,9.33492492194e-08,1.88248315158e-07,0.8279,137018.997901
kepler,8388608,cpu_omp128,93.4876482934,89.7295862409,0,0,0,0,0
