domain,n,method,kernel_median_ms,e2e_median_ms,cpu128_median_ms,kernel_mroots_s,e2e_mroots_s,correction_fraction,checksum
bem,1,fp32,0.0151154883206,0.0233187191188,0.0309599563479,0.0661573069153,0.0428840021145,0,0.123072326183
bem,1,fp64,0.198415622115,0.202878400683,0.0309599563479,0.00503992573437,0.00492906093814,1,0.123072337402
bem,1,adaptive_frozen_v1,0.0185967665166,0.0254383999854,0.0309599563479,0.0537727888937,0.039310648491,0,0.12307228148
bem,1,adaptive_no_gradient_gate,0.018597504124,0.0248931199312,0.0309599563479,0.0537706561768,0.0401717423434,0,0.12307228148
bem,8,fp64,0.199181854725,0.203946873546,0.0314796343446,0.0401643011661,0.0392259016327,1,8.03363004489
bem,8,adaptive_frozen_v1,0.215408444405,0.224218562245,0.0314796343446,0.0371387483073,0.0356794723857,0.25,8.03362983345
bem,8,adaptive_no_gradient_gate,0.215366750956,0.224272638559,0.0314796343446,0.037145938101,0.0356708693998,0.25,8.03362983345
bem,8,fp32,0.015303296037,0.0231555197388,0.0314796343446,0.522763199552,0.345489977778,0,8.12497346103
bem,32,fp32,0.0165618546307,0.0262195207179,0.0351816415787,1.93215075929,1.22046471956,0,40.0480054207
bem,32,fp64,0.219328671694,0.230751991272,0.0351816415787,0.145899757441,0.138677026463,1,39.7467202015
bem,32,adaptive_frozen_v1,0.215928509831,0.224256649613,0.0351816415787,0.14819719742,0.142693650579,0.25,39.7467186248
bem,32,adaptive_no_gradient_gate,0.215918853879,0.224352315068,0.0351816415787,0.14820382484,0.142632804971,0.25,39.7467186248
bem,128,fp32,0.0165596157312,0.0233046393842,0.0383304432034,7.7296479627,5.49246859778,0,304.321917076
bem,128,fp64,0.22977180779,0.236410230398,0.0383304432034,0.557074434985,0.541431729855,1,303.741113672
bem,128,adaptive_frozen_v1,0.241954267025,0.250005125999,0.0383304432034,0.529025594687,0.511989502168,0.328125,303.741111663
bem,128,adaptive_no_gradient_gate,0.24194508791,0.2498716712,0.0383304432034,0.529045665303,0.51226295236,0.328125,303.741111663
bem,512,fp32,0.0208111684769,0.0344124808908,0.0609001144767,24.602174576,14.8783228279,0,1438.9635895
bem,512,fp64,0.406157582998,0.414564490318,0.0609001144767,1.26059446243,1.23503100713,1,1436.1135911
