domain,n,method,timing_kind,repetition,value_ms
bem,1,cpu_fp64_omp128,solve,0,0.031310133636
bem,1,cpu_fp64_omp128,solve,1,0.0304598361254
bem,1,cpu_fp64_omp128,solve,2,0.0311499461532
bem,1,cpu_fp64_omp128,solve,3,0.0309711322188
bem,1,cpu_fp64_omp128,solve,4,0.0305697321892
bem,1,cpu_fp64_omp128,solve,5,0.030379742384
bem,1,cpu_fp64_omp128,solve,6,0.0306498259306
bem,1,cpu_fp64_omp128,solve,7,0.0310903415084
bem,1,cpu_fp64_omp128,solve,8,0.0310400500894
bem,1,cpu_fp64_omp128,solve,9,0.030530616641
bem,1,cpu_fp64_omp128,solve,10,0.0307494774461
bem,1,cpu_fp64_omp128,solve,11,0.0309012830257
bem,1,cpu_fp64_omp128,solve,12,0.030729919672
bem,1,cpu_fp64_omp128,solve,13,0.0306498259306
bem,1,cpu_fp64_omp128,solve,14,0.0735893845558
bem,1,cpu_fp64_omp128,solve,15,0.0317702069879
bem,1,cpu_fp64_omp128,solve,16,0.0309599563479
bem,1,cpu_fp64_omp128,solve,17,0.0307001173496
bem,1,cpu_fp64_omp128,solve,18,0.0311406329274
bem,1,cpu_fp64_omp128,solve,19,0.0309301540256
bem,1,cpu_fp64_omp128,solve,20,0.0307401642203
bem,1,cpu_fp64_omp128,solve,21,0.0307904556394
bem,1,cpu_fp64_omp128,solve,22,0.030979514122
bem,1,cpu_fp64_omp128,solve,23,0.0311704352498
bem,1,cpu_fp64_omp128,solve,24,0.0310791656375
bem,1,cpu_fp64_omp128,solve,25,0.0310400500894
bem,1,cpu_fp64_omp128,solve,26,0.030861236155
bem,1,cpu_fp64_omp128,solve,27,0.0311704352498
bem,1,cpu_fp64_omp128,solve,28,0.0311499461532
bem,1,cpu_fp64_omp128,solve,29,0.0308593735099
bem,1,fp32,kernel,0,0.016090368852
bem,1,fp32,e2e,0,0.0228454396129
bem,1,fp32,kernel,1,0.0153891835362
bem,1,fp32,e2e,1,0.0242003202438
bem,1,fp32,kernel,2,0.0158853437752
bem,1,fp32,e2e,2,0.0229046400636
bem,1,fp32,kernel,3,0.0145238079131
bem,1,fp32,e2e,3,0.0240518394858
bem,1,fp32,kernel,4,0.0145185608417
bem,1,fp32,e2e,4,0.0229052808136
bem,1,fp32,kernel,5,0.0158151686192
bem,1,fp32,e2e,5,0.0240003205836
bem,1,fp32,kernel,6,0.0160153266042
bem,1,fp32,e2e,6,0.0228729601949
bem,1,fp32,kernel,7,0.0148854088038
bem,1,fp32,e2e,7,0.0240044817328
bem,1,fp32,kernel,8,0.0145219201222
bem,1,fp32,e2e,8,0.0227651186287
bem,1,fp32,kernel,9,0.0145212160423
bem,1,fp32,e2e,9,0.0243407990783
bem,1,fp32,kernel,10,0.0145208630711
bem,1,fp32,e2e,10,0.0230275206268
bem,1,fp32,kernel,11,0.0155071364716
bem,1,fp32,e2e,11,0.0233187191188
bem,1,fp32,kernel,12,0.0158284157515
bem,1,fp32,e2e,12,0.0230182409286
bem,1,fp32,kernel,13,0.0160591360182
bem,1,fp32,e2e,13,0.0231302399188
bem,1,fp32,kernel,14,0.0159857291728
bem,1,fp32,e2e,14,0.0231363195926
bem,1,fp32,kernel,15,0.0158518068492
bem,1,fp32,e2e,15,0.024398079142
bem,1,fp32,kernel,16,0.0160955525935
bem,1,fp32,e2e,16,0.0227907206863
