domain,n,method,kernel_median_ms,e2e_median_ms,kernel_mroots_s,e2e_mroots_s,root_p99,root_max,wrong_root,iterations_median,iterations_p99,checksum
bem,1,brent_dekker,0.122061245143,0.125392004848,0.0081926085452,0.00797499012171,8.92619311799e-14,8.92619311799e-14,0,43,43,1.5707
bem,1,bracketed_secant,0.113817982376,0.121549122036,0.00878595788757,0.00822712647573,0,0,0,40,40,1.5707
bem,1,safeguarded_newton,0.147015288472,0.151240319014,0.00680201365717,0.00661199345864,0,0,0,44,44,1.5707
bem,1,safeguarded_halley,0.285680621862,0.290250867605,0.00350041243078,0.00344529547233,0,0,0,44,44,1.5707
bem,8,bracketed_secant,0.113792352378,0.120932795107,0.070303494328,0.066152444363,0,0,0,40,40,56.5452
bem,8,safeguarded_newton,0.146870881319,0.151197761297,0.0544696125478,0.0529108363203,0,0,0,44,44,56.5452
bem,8,safeguarded_halley,0.286103159189,0.292135059834,0.0279619421983,0.027384593977,0,5.99520433298e-15,0,44,44,56.5452
bem,8,brent_dekker,0.161295831203,0.165188163519,0.0495983060462,0.0484296200743,8.92619311799e-14,8.92619311799e-14,0,43,43,56.5452
bem,32,brent_dekker,0.164852380753,0.173728317022,0.194113059538,0.184195648404,8.92619311799e-14,8.92619311799e-14,0,43,43,428.8011
bem,32,bracketed_secant,0.113691739738,0.124666556716,0.281462840429,0.256684718364,0,0,0,40,40,428.8011
bem,32,safeguarded_newton,0.147012546659,0.15815359354,0.217668496515,0.202334953533,0,0,0,44,44,428.8011
bem,32,safeguarded_halley,0.298826336861,0.309420794249,0.107085608103,0.103419035161,2.68673971959e-14,2.93098878501e-14,0,44,46,428.8011
bem,128,brent_dekker,0.17783229053,0.186768949032,0.71977929103,0.685338760343,8.92619311799e-14,8.92619311799e-14,0,43,43,1752.9012
bem,128,bracketed_secant,0.122069634497,0.134945914149,1.04858182403,0.948528162612,0,0,0,40,40,1752.9012
bem,128,safeguarded_newton,0.157207205892,0.164496958256,0.814212041198,0.7781298898,0,0,0,44,44,1752.9012
bem,128,safeguarded_halley,0.32442432642,0.334892451763,0.394545012739,0.382212257476,3.79696274422e-14,3.81916720471e-14,0,44,47,1752.9012
bem,512,brent_dekker,0.324070453644,0.335282564163,1.57990336436,1.52707016328,8.92619311799e-14,1.0502709813e-13,0,43,43,7214.2251
bem,512,bracketed_secant,0.225516885519,0.235217913985,2.27033997397,2.17670495978,0,0,0,40,40,7214.2251
bem,512,safeguarded_newton,0.288138896227,0.298844784498,1.77692080696,1.71326396363,0,0,0,44,44,7214.2251
bem,512,safeguarded_halley,0.597193360329,0.607961297035,0.85734375834,0.842158871785,3.79696274422e-14,3.90798504668e-14,0,44,47,7214.2251
bem,2048,brent_dekker,0.32458782196,0.336329609156,6.30954047392,6.08926465065,8.92619311799e-14,1.07469588784e-13,0,43,44,28894.5972
bem,2048,bracketed_secant,0.225819841027,0.238166406751,9.06917652002,8.5990296782,0,0,0,40,40,28894.5972
bem,2048,safeguarded_newton,0.289312958717,0.301932811737,7.0788394999,6.78296601226,0,0,0,44,44,28894.5972
bem,2048,safeguarded_halley,0.609281897545,0.618480026722,3.36133406926,3.31134379691,3.81916720471e-14,3.90798504668e-14,0,44,47,28894.5972
