domain,n,method,timing_kind,repetition,value_ms
bem,1,brent_dekker,kernel,0,0.122063845396
bem,1,brent_dekker,e2e,0,0.130407676101
bem,1,brent_dekker,kernel,1,0.122061245143
bem,1,brent_dekker,e2e,1,0.125392004848
bem,1,brent_dekker,kernel,2,0.122203744948
bem,1,brent_dekker,e2e,2,0.123107843101
bem,1,brent_dekker,kernel,3,0.121887743473
bem,1,brent_dekker,e2e,3,0.13184542954
bem,1,brent_dekker,kernel,4,0.122044607997
bem,1,brent_dekker,e2e,4,0.12489695847
bem,1,brent_dekker,kernel,5,0.122216060758
bem,1,brent_dekker,e2e,5,0.125167354941
bem,1,brent_dekker,kernel,6,0.122114725411
bem,1,brent_dekker,e2e,6,0.129548162222
bem,1,brent_dekker,kernel,7,0.122034810483
bem,1,brent_dekker,e2e,7,0.124958403409
bem,1,brent_dekker,kernel,8,0.122038938105
bem,1,brent_dekker,e2e,8,0.129868805408
bem,1,brent_dekker,kernel,9,0.122234560549
bem,1,brent_dekker,e2e,9,0.124535039067
bem,1,brent_dekker,kernel,10,0.121865853667
bem,1,brent_dekker,e2e,10,0.124965436757
bem,1,brent_dekker,kernel,11,0.122225314379
bem,1,brent_dekker,e2e,11,0.130169600248
bem,1,brent_dekker,kernel,12,0.122064545751
bem,1,brent_dekker,e2e,12,0.1250038445
bem,1,brent_dekker,kernel,13,0.122069634497
bem,1,brent_dekker,e2e,13,0.123095363379
bem,1,brent_dekker,kernel,14,0.122210912406
bem,1,brent_dekker,e2e,14,0.1300355196
bem,1,brent_dekker,kernel,15,0.121899969876
bem,1,brent_dekker,e2e,15,0.123156160116
bem,1,brent_dekker,kernel,16,0.122050464153
bem,1,brent_dekker,e2e,16,0.128526717424
bem,1,brent_dekker,kernel,17,0.122062459588
bem,1,brent_dekker,e2e,17,0.124914556742
bem,1,brent_dekker,kernel,18,0.122223749757
bem,1,brent_dekker,e2e,18,0.124906882644
bem,1,brent_dekker,kernel,19,0.121889024973
bem,1,brent_dekker,e2e,19,0.128192320466
bem,1,brent_dekker,kernel,20,0.122042626143
bem,1,brent_dekker,e2e,20,0.125060155988
bem,1,brent_dekker,kernel,21,0.122027941048
bem,1,brent_dekker,e2e,21,0.124992638826
bem,1,brent_dekker,kernel,22,0.122062459588
bem,1,brent_dekker,e2e,22,0.128349766135
bem,1,brent_dekker,kernel,23,0.122230365872
bem,1,brent_dekker,e2e,23,0.123170882463
bem,1,brent_dekker,kernel,24,0.121884442866
bem,1,brent_dekker,e2e,24,0.125417917967
bem,1,brent_dekker,kernel,25,0.122228987515
bem,1,brent_dekker,e2e,25,0.133983045816
bem,1,brent_dekker,kernel,26,0.122055135667
bem,1,brent_dekker,e2e,26,0.127130240202
bem,1,brent_dekker,kernel,27,0.121867962182
bem,1,brent_dekker,e2e,27,0.130536645651
bem,1,brent_dekker,kernel,28,0.122055068612
bem,1,brent_dekker,e2e,28,0.131788790226
bem,1,brent_dekker,kernel,29,0.12205529958
bem,1,brent_dekker,e2e,29,0.12505440414
bem,1,bracketed_secant,kernel,0,0.113832570612
bem,1,bracketed_secant,e2e,0,0.122311681509
bem,1,bracketed_secant,kernel,1,0.113849923015
bem,1,bracketed_secant,e2e,1,0.118381440639
bem,1,bracketed_secant,kernel,2,0.11368380487
bem,1,bracketed_secant,e2e,2,0.122510716319
bem,1,bracketed_secant,kernel,3,0.114020064473
bem,1,bracketed_secant,e2e,3,0.121440000832
bem,1,bracketed_secant,kernel,4,0.113669283688
bem,1,bracketed_secant,e2e,4,0.116955205798
bem,1,bracketed_secant,kernel,5,0.113674849272
bem,1,bracketed_secant,e2e,5,0.117188155651
bem,1,bracketed_secant,kernel,6,0.113844163716
bem,1,bracketed_secant,e2e,6,0.122555524111
bem,1,bracketed_secant,kernel,7,0.113857157528
bem,1,bracketed_secant,e2e,7,0.115344963968
bem,1,bracketed_secant,kernel,8,0.113675102592
bem,1,bracketed_secant,e2e,8,0.122769922018
bem,1,bracketed_secant,kernel,9,0.114016070962
bem,1,bracketed_secant,e2e,9,0.120876796544
bem,1,bracketed_secant,kernel,10,0.113669984043
bem,1,bracketed_secant,e2e,10,0.12217951566
bem,1,bracketed_secant,kernel,11,0.113682754338
bem,1,bracketed_secant,e2e,11,0.119679041207
