domain,n,method,timing_kind,repetition,value_ms
bem,1,df32,kernel,0,0.0296441596001
bem,1,df32,e2e,0,0.0362528003752
bem,1,df32,kernel,1,0.0296432003379
bem,1,df32,e2e,1,0.0364064015448
bem,1,df32,kernel,2,0.0296483207494
bem,1,df32,e2e,2,0.0362912006676
bem,1,df32,kernel,3,0.0296371206641
bem,1,df32,e2e,3,0.0360031984746
bem,1,df32,kernel,4,0.029624318704
bem,1,df32,e2e,4,0.048972800374
bem,1,df32,kernel,5,0.0296361595392
bem,1,df32,e2e,5,0.0996159985662
bem,1,df32,kernel,6,0.029634559527
bem,1,df32,e2e,6,0.099955201149
bem,1,df32,kernel,7,0.0294560007751
bem,1,df32,e2e,7,0.100377596915
bem,1,df32,kernel,8,0.0275987200439
bem,1,df32,e2e,8,0.0364064015448
bem,1,df32,kernel,9,0.0276022404432
bem,1,df32,e2e,9,0.0357824005187
bem,1,df32,kernel,10,0.0276284795254
bem,1,df32,e2e,10,0.0363040007651
bem,1,df32,kernel,11,0.0276681594551
bem,1,df32,e2e,11,0.0363136008382
bem,1,df32,kernel,12,0.0276003200561
bem,1,df32,e2e,12,0.0809184014797
bem,1,df32,kernel,13,0.027626240626
bem,1,df32,e2e,13,0.100588798523
bem,1,df32,kernel,14,0.0276137590408
bem,1,df32,e2e,14,0.099763199687
bem,1,df32,kernel,15,0.0276268795133
bem,1,df32,e2e,15,0.0683455988765
bem,1,df32,kernel,16,0.0292287990451
bem,1,df32,e2e,16,0.0355392023921
bem,1,df32,kernel,17,0.0276294406503
bem,1,df32,e2e,17,0.0362432003021
bem,1,df32,kernel,18,0.0275977607816
bem,1,df32,e2e,18,0.0363743975759
bem,1,df32,kernel,19,0.0276723187417
bem,1,df32,e2e,19,0.0611039996147
bem,1,df32,kernel,20,0.0275817606598
bem,1,df32,e2e,20,0.10000000149
bem,1,df32,kernel,21,0.0276060793549
bem,1,df32,e2e,21,0.10045440495
bem,1,df32,kernel,22,0.027657918632
bem,1,df32,e2e,22,0.0870112031698
bem,1,df32,kernel,23,0.0276281591505
bem,1,df32,e2e,23,0.0371071994305
bem,1,df32,kernel,24,0.0276556797326
bem,1,df32,e2e,24,0.0364192016423
bem,1,df32,kernel,25,0.0275923199952
bem,1,df32,e2e,25,0.03632960096
bem,1,df32,kernel,26,0.0276377610862
bem,1,df32,e2e,26,0.0363040007651
bem,1,df32,kernel,27,0.0276604797691
