domain,n,timing_kind,df32_speedup_vs_fp64,ci95_low,ci95_high,df32_faster
bem,1,e2e,1.0006610378909828,0.9993796312788763,1.003942348871386,False
bem,1,kernel,0.9987382871708701,0.9975711080745744,0.9995017892555536,False
bem,8,e2e,0.23992816659012386,0.18070311135460101,0.45754639237286077,False
bem,8,kernel,0.20511789159648902,0.20505740730415686,0.2051828325678348,False
bem,32,e2e,0.3404010760657348,0.25622509263591264,0.5092465935246703,False
bem,32,kernel,0.2642388101685836,0.2640612345107745,0.26434387287322964,False
bem,128,e2e,1.128732346231798,1.12775741862206,1.1421094081692664,True
bem,128,kernel,1.1806314921324985,1.178777061801625,1.1857088035298562,True
bem,512,e2e,1.5350687483996663,1.5131862551914446,1.6199353209476512,True
bem,512,kernel,1.7229730900403897,1.7205989531071069,1.7268246984759985,True
bem,2048,e2e,1.6503560418764534,1.6442792851712786,1.6588607392136787,True
bem,2048,kernel,1.9570418696652876,1.9557192536942287,1.9588620178961178,True
bem,8192,e2e,1.6116282845497834,1.5917658560879844,1.624089733087348,True
bem,8192,kernel,1.9549324610870609,1.9540067079860175,1.9553933031834583,True
bem,32768,e2e,1.4348199842904275,1.4245523187125517,1.4506138945200393,True
bem,32768,kernel,1.887410327729224,1.8844771482892408,1.9010784220566799,True
bem,131072,e2e,1.6691541892253485,1.653025325744605,1.688464412428961,True
bem,131072,kernel,2.45395591026832,2.4527219819642117,2.461512229410441,True
bem,524288,e2e,1.654217635431299,1.6355799713679287,1.67063046443596,True
bem,524288,kernel,2.7108530906844592,2.6975032776004424,2.7245476494782928,True
bem,2097152,e2e,1.6670866578918524,1.650467227444278,1.6747644736973848,True
bem,2097152,kernel,2.6364870805822216,2.629947465148106,2.647666528084119,True
bem,8388608,e2e,1.685159950468266,1.6723173356239038,1.6931304177237827,True
bem,8388608,kernel,2.5741889601447827,2.565159279833798,2.576788581557389,True
bem,16777216,e2e,1.6805874544398467,1.6770099289922338,1.6871841343689205,True
bem,16777216,kernel,2.557619780256004,2.5534494894105175,2.561548267947849,True
cstr,1,e2e,0.57072153825585,0.5692623048223648,0.5713613625752068,False
cstr,1,kernel,0.5320177726322574,0.5311320310695529,0.5323495623516894,False
cstr,8,e2e,0.529593780603322,0.5292104786463913,0.5297832925556452,False
cstr,8,kernel,0.49996530402336903,0.49934305344798796,0.5003554391841505,False
cstr,32,e2e,0.5179793253798134,0.515600352745192,0.5183558802372263,False
cstr,32,kernel,0.4884313456946537,0.4879890282156846,0.4887979097192813,False
cstr,128,e2e,0.581149052863146,0.5808515250670009,0.5814720035207753,False
cstr,128,kernel,0.5544772125353203,0.5538974638756613,0.5547661873946421,False
cstr,512,e2e,0.8861018840949613,0.8849374807326893,0.8873540028721535,False
cstr,512,kernel,0.8795677308566638,0.8793488881260458,0.8797509512072166,False
cstr,2048,e2e,0.8802988830374647,0.8801129301042384,0.8809380007844947,False
cstr,2048,kernel,0.8738929586650086,0.8736475811463399,0.8741527241240679,False
cstr,8192,e2e,0.8795392357563606,0.8749286914785098,0.8867195604022129,False
cstr,8192,kernel,0.8704644685756133,0.8699116308729657,0.871356423308885,False
