domain,sample_id,split,branch,parameter_index,relative_step,absolute_step,fd_gradient,reference_gradient,absolute_error,relative_error,minus_root_count,plus_root_count,branch_stable
bem,bem_0000006,cal,smooth,0,1e-2,0.12135425437695249,-0.00162640364215154317359875,-0.001626183096241352771060094,2.2054591019040254e-7,0.00013562181940038432,1,1,1
bem,bem_0000006,cal,smooth,0,3e-3,0.036406276313085746,-0.001626202943001892895458227,-0.001626183096241352771060094,1.9846760540124398e-8,1.2204505498794588e-5,1,1,1
bem,bem_0000006,cal,smooth,0,1e-3,0.012135425437695249,-0.001626185301413807623537785,-0.001626183096241352771060094,2.2051724548524777e-9,1.3560419241531663e-6,1,1,1
bem,bem_0000006,cal,smooth,0,3e-4,0.0036406276313085746,-0.001626183294706636602631066,-0.001626183096241352771060094,1.9846528383157097e-10,1.2204362736907665e-7,1,1,1
bem,bem_0000006,cal,smooth,0,1e-4,0.0012135425437695249,-0.001626183118293048658525455,-0.001626183096241352771060094,2.2051695887465361e-11,1.3560401616788495e-8,1,1,1
bem,bem_0000006,cal,smooth,0,3e-5,0.00036406276313085746,-0.001626183098226005377221494,-0.001626183096241352771060094,1.9846526061613999e-12,1.2204361309305138e-9,1,1,1
bem,bem_0000006,cal,smooth,0,1e-5,0.00012135425437695249,-0.001626183096461869727068645,-0.001626183096241352771060094,2.2051695600855132e-13,1.3560401440541288e-10,1,1,1
bem,bem_0000007,cal,smooth,0,1e-2,0.094283477916322482,-0.004654779757859145960799071,-0.00465418430824722270970673,5.9544961192325109e-7,0.00012793855431726529,1,1,1
bem,bem_0000007,cal,smooth,0,3e-3,0.028285043374896745,-0.004654237892827661133926137,-0.00465418430824722270970673,5.3584580438424219e-8,1.1513205513471447e-5,1,1,1
bem,bem_0000007,cal,smooth,0,1e-3,0.0094283477916322482,-0.004654190262032018976264158,-0.00465418430824722270970673,5.9537847962665574e-9,1.2792327080207031e-6,1,1,1
bem,bem_0000007,cal,smooth,0,3e-4,0.0028285043374896745,-0.004654184844087265982756019,-0.00465418430824722270970673,5.3584004327304929e-10,1.1513081729993799e-7,1,1,1
bem,bem_0000007,cal,smooth,0,1e-4,0.00094283477916322482,-0.004654184367784999548199136,-0.00465418430824722270970673,5.9537776838492406e-11,1.2792311798437239e-8,1,1,1
bem,bem_0000007,cal,smooth,0,3e-5,0.00028285043374896745,-0.004654184313605622566332025,-0.00465418430824722270970673,5.358399856625295e-12,1.1513080492171746e-9,1,1,1
bem,bem_0000007,cal,smooth,0,1e-5,9.4283477916322482e-5,-0.004654184308842600470979245,-0.00465418430824722270970673,5.9537776127251487e-13,1.2792311645619715e-10,1,1,1
bem,bem_0000016,cal,smooth,0,1e-2,0.06597956477863625,-0.01516462289138623516129515,-0.01516260077212043082562098,2.0221192658043357e-6,0.00013336229689054526,1,1,1
bem,bem_0000016,cal,smooth,0,3e-3,0.019793869433590875,-0.01516278274606610310350822,-0.01516260077212043082562098,1.8197394567227789e-7,1.2001499505736148e-5,1,1,1
bem,bem_0000016,cal,smooth,0,1e-3,0.006597956477863625,-0.01516262099128375386413215,-0.01516260077212043082562098,2.0219163323038511e-8,1.3334891307179711e-6,1,1,1
bem,bem_0000016,cal,smooth,0,3e-4,0.0019793869433590875,-0.01516260259184345122929278,-0.01516260077212043082562098,1.8197230204036718e-9,1.2001391105341294e-7,1,1,1
bem,bem_0000016,cal,smooth,0,1e-4,0.0006597956477863625,-0.01516260097431186113989103,-0.01516260077212043082562098,2.0219143031427005e-10,1.3334877924507562e-8,1,1,1
bem,bem_0000016,cal,smooth,0,3e-5,0.00019793869433590875,-0.01516260079031765938603846,-0.01516260077212043082562098,1.819722856041748e-11,1.2001390021345704e-9,1,1,1
bem,bem_0000016,cal,smooth,0,1e-5,6.597956477863625e-5,-0.01516260077414234510847209,-0.01516260077212043082562098,2.0219142828511064e-12,1.3334877790680955e-10,1,1,1
bem,bem_0000017,cal,smooth,0,1e-2,0.025589810442917904,-0.08044217294576820388011986,-0.08043173288566021911863778,1.0440060107984761e-5,0.00012980026332176748,1,1,1
bem,bem_0000017,cal,smooth,0,3e-3,0.0076769431328753712,-0.08043267244892481125172315,-0.08043173288566021911863778,9.3956326459213309e-7,1.1681499712654372e-5,1,1,1
bem,bem_0000017,cal,smooth,0,1e-3,0.0025589810442917904,-0.08043183728116683320330885,-0.08043173288566021911863778,1.0439550661408467e-7,1.2979392942147693e-6,1,1,1
bem,bem_0000017,cal,smooth,0,3e-4,0.00076769431328753712,-0.0804317422812515998744694,-0.08043173288566021911863778,9.3955913807558316e-9,1.1681448408070946e-7,1,1,1
bem,bem_0000017,cal,smooth,0,1e-4,0.00025589810442917904,-0.0804317339296147758130046,-0.08043173288566021911863778,1.0439545566943668e-9,1.2979386608248601e-8,1,1,1
bem,bem_0000017,cal,smooth,0,3e-5,7.6769431328753712e-5,-0.08043173297961612879967962,-0.08043173288566021911863778,9.3955909681041836e-11,1.1681447895025121e-9,1,1,1
bem,bem_0000017,cal,smooth,0,1e-5,2.5589810442917904e-5,-0.0804317328960997646346368,-0.08043173288566021911863778,1.043954551599902e-11,1.297938654490961e-10,1,1,1
bem,bem_0000026,cal,smooth,0,1e-2,0.11949342286428175,-0.005012508224249984779387595,-0.005011842621412533540463101,6.6560283745123892e-7,0.00013280601322306605,1,1,1
bem,bem_0000026,cal,smooth,0,3e-3,0.035848026859284525,-0.005011902520020372951321897,-0.005011842621412533540463101,5.9898607839410859e-8,1.1951414352777319e-5,1,1,1
bem,bem_0000026,cal,smooth,0,1e-3,0.011949342286428175,-0.005011849276758244554082655,-0.005011842621412533540463101,6.6553457110136196e-9,1.3279239221477953e-6,1,1,1
bem,bem_0000026,cal,smooth,0,3e-4,0.0035848026859284525,-0.005011843220393082835566791,-0.005011842621412533540463101,5.9898054929510369e-10,1.1951304032094438e-7,1,1,1
bem,bem_0000026,cal,smooth,0,1e-4,0.0011949342286428175,-0.005011842687965922390633604,-0.005011842621412533540463101,6.6553388850170503e-11,1.3279225601743486e-8,1,1,1
bem,bem_0000026,cal,smooth,0,3e-5,0.00035848026859284525,-0.005011842627402338480508891,-0.005011842621412533540463101,5.9898049400457901e-12,1.1951302928896894e-9,1,1,1
bem,bem_0000026,cal,smooth,0,1e-5,0.00011949342286428175,-0.005011842622078067422138816,-0.005011842621412533540463101,6.6553388167571485e-13,1.3279225465546269e-10,1,1,1
bem,bem_0000027,cal,smooth,0,1e-2,0.070095760537471055,-0.01051997069341365953743123,-0.01051852969673840425855022,1.4409966752552789e-6,0.00013699601720020855,1,1,1
bem,bem_0000027,cal,smooth,0,3e-3,0.021028728161241316,-0.01051865937259628484909627,-0.01051852969673840425855022,1.2967585788059055e-7,1.2328325499789249e-5,1,1,1
bem,bem_0000027,cal,smooth,0,1e-3,0.0070095760537471055,-0.01051854410503185379452213,-0.01051852969673840425855022,1.4408293449535972e-8,1.369801090546306e-6,1,1,1
bem,bem_0000027,cal,smooth,0,3e-4,0.0021028728161241316,-0.01051853099348343057981155,-0.01051852969673840425855022,1.2967450263212613e-9,1.2328196655882022e-7,1,1,1
bem,bem_0000027,cal,smooth,0,1e-4,0.00070095760537471055,-0.01051852984082117144066273,-0.01051852969673840425855022,1.4408276718211251e-10,1.3697994998938857e-8,1,1,1
bem,bem_0000027,cal,smooth,0,3e-5,0.00021028728161241316,-0.0105185297097058531665268,-0.01051852969673840425855022,1.2967448907976581e-11,1.2328195367454768e-9,1,1,1
bem,bem_0000027,cal,smooth,0,1e-5,7.0095760537471055e-5,-0.01051852969817923191364004,-0.01051852969673840425855022,1.4408276550898174e-12,1.3697994839873777e-10,1,1,1
bem,bem_0000036,cal,smooth,0,1e-2,0.091273473549845789,-0.004920527119040307832411747,-0.004919911418010670507118203,6.1570102963732529e-7,0.00012514473886326177,1,1,1
bem,bem_0000036,cal,smooth,0,3e-3,0.027382042064953737,-0.00491996682511213029616558,-0.004919911418010670507118203,5.5407101459789047e-8,1.126180875065277e-5,1,1,1
bem,bem_0000036,cal,smooth,0,1e-3,0.0091273473549845789,-0.004919917574296761530305325,-0.004919911418010670507118203,6.1562860910231871e-9,1.2513001897730174e-6,1,1,1
bem,bem_0000036,cal,smooth,0,3e-4,0.0027382042064953737,-0.004919911972075819651582948,-0.004919911418010670507118203,5.5406514914446474e-10,1.1261689531973258e-7,1,1,1
bem,bem_0000036,cal,smooth,0,1e-4,0.00091273473549845789,-0.004919911479573459005006704,-0.004919911418010670507118203,6.1562788497888501e-11,1.2512987179509211e-8,1,1,1
bem,bem_0000036,cal,smooth,0,3e-5,0.00027382042064953737,-0.004919911423551321412023479,-0.004919911418010670507118203,5.540650904905276e-12,1.1261688339798599e-9,1,1,1
bem,bem_0000036,cal,smooth,0,1e-5,9.1273473549845789e-5,-0.004919911418626298384855862,-0.004919911418010670507118203,6.1562787773765886e-13,1.2512987032327167e-10,1,1,1
bem,bem_0000037,cal,smooth,0,1e-2,0.13150648304665765,-0.001916166409873124734113802,-0.001915938251757146137410745,2.281581159785967e-7,0.0001190842741248828,1,1,1
bem,bem_0000037,cal,smooth,0,3e-3,0.039451944913997295,-0.001915958783809066054691815,-0.001915938251757146137410745,2.0532051919917281e-8,1.0716447620943377e-5,1,1,1
bem,bem_0000037,cal,smooth,0,1e-3,0.013150648304665765,-0.001915940533074970970599661,-0.001915938251757146137410745,2.2813178248331889e-9,1.1907052968648367e-6,1,1,1
bem,bem_0000037,cal,smooth,0,3e-4,0.0039451944913997295,-0.001915938457075532547438919,-0.001915938251757146137410745,2.0531838641002817e-10,1.0716336302682327e-7,1,1,1
bem,bem_0000037,cal,smooth,0,1e-4,0.0013150648304665765,-0.001915938274570298055255512,-0.001915938251757146137410745,2.2813151917844767e-11,1.1907039225780037e-8,1,1,1
bem,bem_0000037,cal,smooth,0,3e-5,0.00039451944913997295,-0.001915938253810329788234305,-0.001915938251757146137410745,2.05318365082356e-12,1.0716335189511161e-9,1,1,1
bem,bem_0000037,cal,smooth,0,1e-5,0.00013150648304665765,-0.001915938251985277653956147,-0.001915938251757146137410745,2.2813151654540197e-13,1.1907039088351511e-10,1,1,1
bem,bem_0000046,cal,smooth,0,1e-2,0.12438729795605344,-0.004564668025432699896201502,-0.004564043806836381734509529,6.2421859631816169e-7,0.00013676875655381709,1,1,1
bem,bem_0000046,cal,smooth,0,3e-3,0.037316189386816031,-0.004564099981251199591086896,-0.004564043806836381734509529,5.6174414817856577e-8,1.230803585489564e-5,1,1,1
bem,bem_0000046,cal,smooth,0,1e-3,0.012438729795605344,-0.004564050048386664355559925,-0.004564043806836381734509529,6.2415502826210504e-9,1.3675482854200409e-6,1,1,1
bem,bem_0000046,cal,smooth,0,3e-4,0.0037316189386816031,-0.004564044368575381337753707,-0.004564043806836381734509529,5.6173899960324418e-10,1.2307923047579595e-7,1,1,1
bem,bem_0000046,cal,smooth,0,1e-4,0.0012438729795605344,-0.004564043869251820998536226,-0.004564043806836381734509529,6.2415439264026697e-11,1.367546892747523e-8,1,1,1
bem,bem_0000046,cal,smooth,0,3e-5,0.00037316189386816031,-0.004564043812453771215688719,-0.004564043806836381734509529,5.6173894811791901e-12,1.2307921919515814e-9,1,1,1
bem,bem_0000046,cal,smooth,0,1e-5,0.00012438729795605344,-0.004564043807460536120793583,-0.004564043806836381734509529,6.2415438628405446e-13,1.3675468788208106e-10,1,1,1
bem,bem_0000047,cal,smooth,0,1e-2,0.10848795989346163,-0.003282807726622036917177989,-0.003282405761468153824535088,4.0196515388309264e-7,0.00012246053141927881,1,1,1
bem,bem_0000047,cal,smooth,0,3e-3,0.03254638796803849,-0.003282441934445036103115467,-0.003282405761468153824535088,3.617297688227858e-8,1.1020263645314569e-5,1,1,1
bem,bem_0000047,cal,smooth,0,1e-3,0.010848795989346163,-0.003282409780649843764872777,-0.003282405761468153824535088,4.0191816899403377e-9,1.224462172569012e-6,1,1,1
bem,bem_0000047,cal,smooth,0,3e-4,0.003254638796803849,-0.003282406123194117270287674,-0.003282405761468153824535088,3.6172596344575259e-10,1.1020147712754436e-7,1,1,1
bem,bem_0000047,cal,smooth,0,1e-4,0.0010848795989346163,-0.003282405801659923744408072,-0.003282405761468153824535088,4.0191769919872984e-11,1.2244607413160284e-8,1,1,1
bem,bem_0000047,cal,smooth,0,3e-5,0.0003254638796803849,-0.003282405765085413078458817,-0.003282405761468153824535088,3.6172592539237286e-12,1.1020146553440735e-9,1,1,1
bem,bem_0000047,cal,smooth,0,1e-5,0.00010848795989346163,-0.00328240576187007151903587,-0.003282405761468153824535088,4.0191769450078216e-13,1.2244607270035149e-10,1,1,1
bem,bem_0000056,cal,smooth,0,1e-2,0.12811828455288547,-0.003667557207909147282098225,-0.003667023717054115974088769,5.3349085503130801e-7,0.00014548333913146465,1,1,1
bem,bem_0000056,cal,smooth,0,3e-3,0.03843548536586564,-0.003667071726192266539589715,-0.003667023717054115974088769,4.8009138150565501e-8,1.3092126436840552e-5,1,1,1
bem,bem_0000056,cal,smooth,0,1e-3,0.012811828455288547,-0.003667029051353585055195651,-0.003667023717054115974088769,5.3342994690811069e-9,1.4546672944254607e-6,1,1,1
bem,bem_0000056,cal,smooth,0,3e-4,0.003843548536586564,-0.003667024197140564364218302,-0.003667023717054115974088769,4.8008644839012953e-10,1.3091991910426051e-7,1,1,1
bem,bem_0000056,cal,smooth,0,1e-4,0.0012811828455288547,-0.003667023770397049762719197,-0.003667023717054115974088769,5.3342933788630428e-11,1.4546656336186227e-8,1,1,1
bem,bem_0000056,cal,smooth,0,3e-5,0.0003843548536586564,-0.003667023721854979964682843,-0.003667023717054115974088769,4.8008639905940746e-12,1.3091990565173718e-9,1,1,1
