domain,sample_id,branch,valid_steps,best_relative_error,convergence_observed
bem,bem_0000006,smooth,7,1.3560401440541288e-10,1
bem,bem_0000007,smooth,7,1.2792311645619714e-10,1
bem,bem_0000016,smooth,7,1.3334877790680954e-10,1
bem,bem_0000017,smooth,7,1.297938654490961e-10,1
bem,bem_0000026,smooth,7,1.3279225465546268e-10,1
bem,bem_0000027,smooth,7,1.3697994839873776e-10,1
bem,bem_0000036,smooth,7,1.2512987032327167e-10,1
bem,bem_0000037,smooth,7,1.1907039088351512e-10,1
bem,bem_0000046,smooth,7,1.3675468788208107e-10,1
bem,bem_0000047,smooth,7,1.224460727003515e-10,1
bem,bem_0000056,smooth,7,1.4546656170105706e-10,1
bem,bem_0000057,smooth,7,1.0164406755371356e-10,1
bem,bem_0000066,smooth,7,1.4766465578902292e-10,1
bem,bem_0000067,smooth,7,1.5430489085378405e-10,1
bem,bem_0000076,smooth,7,1.290399507505053e-10,1
bem,bem_0000077,smooth,7,1.2659410203597618e-10,1
bem,bem_0000086,smooth,7,1.2701113818446343e-10,1
bem,bem_0000087,smooth,7,1.0615935399490679e-10,1
bem,bem_0000096,smooth,7,7.086279210910216e-11,1
bem,bem_0000097,smooth,7,1.3469659952153535e-10,1
bem,bem_0000106,smooth,7,1.2994758855550573e-10,1
bem,bem_0000107,smooth,7,1.155872737629124e-10,1
bem,bem_0000116,smooth,7,2.6372073147560355e-11,1
bem,bem_0000117,smooth,7,1.3193904679330932e-10,1
bem,bem_0000126,smooth,7,1.45831975159266e-10,1
bem,bem_0000127,smooth,7,1.0667947644213607e-10,1
bem,bem_0000136,smooth,7,1.4928001299082114e-10,1
bem,bem_0000137,smooth,7,1.4581339692119254e-10,1
bem,bem_0000146,smooth,7,1.0725800385064283e-10,1
bem,bem_0000147,smooth,7,1.2114735590202727e-10,1
bem,bem_0000156,smooth,7,1.2597994710843215e-10,1
bem,bem_0000157,smooth,7,1.7110208656691274e-10,1
bem,bem_0000166,smooth,7,1.2057315076951653e-10,1
bem,bem_0000167,smooth,7,1.1959669121501908e-10,1
bem,bem_0000176,smooth,7,1.5482385944316088e-10,1
bem,bem_0000177,smooth,7,5.061752750385924e-11,1
bem,bem_0000186,smooth,7,1.2254653056752552e-10,1
bem,bem_0000187,smooth,7,1.3181321195033372e-10,1
bem,bem_0000196,smooth,7,1.1059166965702847e-10,1
bem,bem_0000197,smooth,7,8.632091316269161e-11,1
bem,bem_0000206,smooth,7,9.028081327352177e-11,1
bem,bem_0000207,smooth,7,1.2377070597326956e-10,1
bem,bem_0000216,smooth,7,1.7842700732517401e-10,1
bem,bem_0000217,smooth,7,1.2900248453502526e-10,1
bem,bem_0000226,smooth,7,1.2102134997452253e-10,1
bem,bem_0000227,smooth,7,1.2947774659020684e-10,1
bem,bem_0000236,smooth,7,1.2963218383818847e-10,1
bem,bem_0000237,smooth,7,1.1956793494437863e-10,1
bem,bem_0000246,smooth,7,2.0323311847610573e-10,1
bem,bem_0000247,smooth,7,1.238143819503882e-10,1
bem,bem_0000256,smooth,7,1.209055646080944e-10,1
bem,bem_0000257,smooth,7,1.9887343198035404e-10,1
bem,bem_0000266,smooth,7,2.1907216753617913e-11,1
bem,bem_0000267,smooth,7,1.3733008474199944e-10,1
bem,bem_0000276,smooth,7,1.1590853918008863e-10,1
bem,bem_0000277,smooth,7,1.304786507003361e-10,1
bem,bem_0000286,smooth,7,7.058007432990599e-11,1
bem,bem_0000287,smooth,7,1.2883687935515272e-10,1
bem,bem_0000296,smooth,7,1.2252032685924273e-10,1
bem,bem_0000297,smooth,7,1.2054125592518827e-10,1
bem,bem_0000306,smooth,7,1.3186433360707047e-10,1
