domain,relative_step,n,valid,branch_change_or_failure,relative_error_median,relative_error_p95,relative_error_p99,relative_error_max
bem,1e-2,600,600,0,0.0001304490627187581,0.00019197870333870969,0.0002821407787213455,0.0003639062660143726
bem,3e-3,600,600,0,1.173915862605834e-05,1.727635057940497e-05,2.5386961247533635e-05,3.274583842412801e-05
bem,1e-3,600,600,0,1.3043386811867047e-06,1.919577584593197e-06,2.8207177197371774e-06,3.638370564063165e-06
bem,3e-4,600,600,0,1.1739035561951419e-07,1.72761809352515e-07,2.53864024023927e-07,3.274527782072862e-07
bem,1e-4,600,600,0,1.3043371618899322e-08,1.9195754902311002e-08,2.8207108205332893e-08,3.6383636430275174e-08
bem,3e-5,600,600,0,1.1739034331322249e-09,1.727617923881914e-09,2.53863968140485e-09,3.2745272214689192e-09
bem,1e-5,600,600,0,1.3043371466969808e-10,1.9195754692874918e-10,2.8207107515413975e-10,3.6383635738171536e-10
kepler,1e-2,600,598,2,1.7183879024515965e-05,1.9686013748887995e-05,2.1078317059021758e-05,2.3300099338907306e-05
kepler,3e-3,600,600,0,1.5474536181984659e-06,1.7777973432435852e-06,1.9012937560014259e-06,2.158511023797647e-06
kepler,1e-3,600,600,0,1.7193868748223792e-07,1.975322906828287e-07,2.1125415729502778e-07,2.3983357834448894e-07
kepler,3e-4,600,600,0,1.5474475695829426e-08,1.7777898509421813e-08,1.9012866944437825e-08,2.1585012019790205e-08
kepler,1e-4,600,600,0,1.71938612808294e-09,1.9753219818573376e-09,2.1125407011562277e-09,2.398334570880643e-09
kepler,3e-5,600,600,0,1.5474475090970774e-10,1.7777897760195764e-10,1.9012866238284936e-10,2.1585011037613715e-10
kepler,1e-5,600,600,0,1.7193861206155497e-11,1.9753219726076342e-11,2.1125406924382913e-11,2.398334558755008e-11
pv,1e-2,600,598,2,1.524821366616553e-07,0.004738142535466813,0.006834787599425048,0.008839868920209664
pv,3e-3,600,600,0,1.4570288064458049e-08,0.00042590260744521417,0.0006138935330625192,0.0007940394285302987
pv,1e-3,600,600,0,1.618907961076481e-09,4.731569837131972e-05,6.819846471753872e-05,8.82114737046276e-05
pv,3e-4,600,600,0,1.45701584075952e-10,4.258343102042156e-06,6.137739722865385e-06,7.938877744609691e-06
pv,1e-4,600,600,0,1.6189063603839992e-11,4.731485522308425e-07,6.819698876380687e-07,8.820960142224987e-07
pv,3e-5,600,600,0,1.4570157111035165e-12,4.2583362725668645e-08,6.137727767737113e-08,7.938862579113329e-08
pv,1e-5,600,600,0,1.618906344377086e-13,4.731484679163603e-09,6.819697400439977e-09,8.820958269941386e-09
cstr,1e-2,600,600,0,3.212359735341027e-06,0.00012949036270030773,0.000363935941568594,0.010067103203653121
cstr,3e-3,600,600,0,2.891215543816097e-07,1.1652719595377585e-05,3.2725570615374866e-05,0.0008867484941598514
cstr,1e-3,600,600,0,3.2124706807812394e-08,1.2947328209192486e-06,3.6358948744832535e-06,9.834468879356605e-05
cstr,3e-4,600,600,0,2.891224530540436e-09,1.1652581259887748e-07,3.2722767623091255e-07,8.849154241140686e-06
cstr,1e-4,600,600,0,3.212471790254939e-10,1.2947311130926182e-08,3.635860273201605e-08,9.83221121237309e-07
cstr,3e-5,600,600,0,2.89122462040782e-11,1.1652579876549919e-09,3.272273959638121e-09,8.848971419562139e-08
cstr,1e-5,600,600,0,3.2124718013496782e-12,1.2947310960143754e-10,3.6358599271931956e-10,9.832188642344329e-09
peng_robinson,1e-2,600,596,4,0.0001029631900413088,0.0008782809114680814,0.004940910809028732,0.16036314121164225
peng_robinson,3e-3,600,599,1,9.26838187335038e-06,7.908947263808648e-05,0.0004683738802752239,0.016486097065507133
peng_robinson,1e-3,600,600,0,1.0295269459424273e-06,8.784688609107958e-06,5.179119425338316e-05,0.001740516335054265
peng_robinson,3e-4,600,600,0,9.26573383177801e-08,7.906023261173986e-07,4.660829566807414e-06,0.00015578090550909352
peng_robinson,1e-4,600,600,0,1.0295258965057863e-08,8.784451098010533e-08,5.178662607892036e-07,1.730060301812585e-05
peng_robinson,3e-5,600,600,0,9.265732981735134e-10,7.906004023416114e-09,4.6607925683991045e-08,1.5569684774087368e-06
peng_robinson,1e-5,600,600,0,1.0295258860114307e-10,8.784448722985655e-10,5.178658040228598e-09,1.7299565951871874e-07
