channel,unit,finite,nonfinite,min,median,max
AB1N001Vx,m/s,48001,0,-15.135538529217657,-9.163172185187236,14.675573538993161
AB1N002Vx,m/s,48001,0,-15.344137045376812,-9.009462073661487,14.318199876917827
AB1N003Vx,m/s,48001,0,-16.743355114768974,-9.20222024370078,14.870246893389872
AB1N004Vx,m/s,48001,0,-16.303334361941793,-9.233972342049109,15.18924992716133
AB1N005Vx,m/s,48001,0,-16.16542887759789,-9.218981629521156,14.910611588727773
AB1N006Vx,m/s,48001,0,-16.139995253124592,-9.34434845690849,15.633205543655249
AB1N007Vx,m/s,48001,0,-17.194751745894795,-9.393469798068354,16.242595483932458
AB1N008Vx,m/s,48001,0,-17.282733806837665,-9.32857325482304,15.684739821271624
AB1N009Vx,m/s,48001,0,-17.47952484891143,-9.33195091366326,15.510379212434813
AB1N010Vx,m/s,48001,0,-18.549511473595395,-9.402982353186179,15.618828796264765
AB1N011Vx,m/s,48001,0,-18.830323365961846,-9.365020376718805,15.563971809363322
AB1N012Vx,m/s,48001,0,-18.758928916131744,-9.36477213659726,16.034153112833973
AB1N013Vx,m/s,48001,0,-19.10042492473814,-9.338761169782952,16.31208923152065
AB1N014Vx,m/s,48001,0,-18.099278007363402,-9.361557743008913,16.049878335006976
AB1N015Vx,m/s,48001,0,-18.47352563152504,-9.300664944348451,16.787620435394558
AB1N016Vx,m/s,48001,0,-18.307679620386445,-9.2499859828504,16.703131905924756
AB1N017Vx,m/s,48001,0,-18.04850195255828,-9.168467615081738,16.774311241259618
AB1N018Vx,m/s,48001,0,-18.57206298062268,-9.147611063328885,17.108069211595215
AB1N019Vx,m/s,48001,0,-18.548955051695764,-9.144916321305649,16.27890790344009
AB2N001Vx,m/s,48001,0,-15.79250856562316,-9.084065968370485,14.927643489796166
AB2N002Vx,m/s,48001,0,-15.458845345851932,-9.012661684391798,14.952917340226506
AB2N003Vx,m/s,48001,0,-15.469432505851612,-9.302681872726923,14.96963159365119
AB2N004Vx,m/s,48001,0,-15.780398745925597,-9.3658650310795,14.905383893226078
AB2N005Vx,m/s,48001,0,-15.73031018405692,-9.364162044555375,14.899681835743937
AB2N006Vx,m/s,48001,0,-16.13729491478062,-9.36568643246869,15.312407706457387
AB2N007Vx,m/s,48001,0,-17.10452342682056,-9.355752448243878,15.919365452292244
AB2N008Vx,m/s,48001,0,-17.742691753079814,-9.381894995623643,15.654869844469165
AB2N009Vx,m/s,48001,0,-17.769454778566075,-9.349970969643321,15.268570532341245
AB2N010Vx,m/s,48001,0,-18.59564925443754,-9.37094652730585,15.804858166121916
