domain,n,mode,repetition,time_ms,throughput_mroots_s,checksum,nonfinite
bem,1,serial,0,0.00123977661133,0.806596923077,0.12307233740234183,0
bem,1,serial,1,0.00124931335449,0.800439694656,0.12307233740234183,0
bem,1,serial,2,0.00125026702881,0.799829138063,0.12307233740234183,0
bem,1,serial,3,0.00123977661133,0.806596923077,0.12307233740234183,0
bem,1,serial,4,0.00124073028564,0.805976940815,0.12307233740234183,0
bem,1,serial,5,0.00123977661133,0.806596923077,0.12307233740234183,0
bem,1,serial,6,0.00123977661133,0.806596923077,0.12307233740234183,0
bem,1,serial,7,0.00123023986816,0.812849612403,0.12307233740234183,0
bem,1,serial,8,0.00123023986816,0.812849612403,0.12307233740234183,0
bem,1,serial,9,0.00123023986816,0.812849612403,0.12307233740234183,0
bem,1,serial,10,0.00122928619385,0.813480217223,0.12307233740234183,0
bem,1,serial,11,0.00123023986816,0.812849612403,0.12307233740234183,0
bem,1,serial,12,0.00125026702881,0.799829138063,0.12307233740234183,0
bem,1,serial,13,0.00122928619385,0.813480217223,0.12307233740234183,0
bem,1,serial,14,0.00139999389648,0.714288828338,0.12307233740234183,0
bem,1,serial,15,0.00128078460693,0.780771407297,0.12307233740234183,0
bem,1,serial,16,0.00125026702881,0.799829138063,0.12307233740234183,0
bem,1,serial,17,0.00123023986816,0.812849612403,0.12307233740234183,0
bem,1,serial,18,0.00123023986816,0.812849612403,0.12307233740234183,0
bem,1,serial,19,0.00123977661133,0.806596923077,0.12307233740234183,0
bem,1,serial,20,0.00123023986816,0.812849612403,0.12307233740234183,0
bem,1,serial,21,0.00123023986816,0.812849612403,0.12307233740234183,0
bem,1,serial,22,0.00123023986816,0.812849612403,0.12307233740234183,0
bem,1,serial,23,0.00123977661133,0.806596923077,0.12307233740234183,0
bem,1,serial,24,0.00123023986816,0.812849612403,0.12307233740234183,0
bem,1,serial,25,0.00124931335449,0.800439694656,0.12307233740234183,0
bem,1,serial,26,0.00122928619385,0.813480217223,0.12307233740234183,0
bem,1,serial,27,0.00123023986816,0.812849612403,0.12307233740234183,0
bem,1,serial,28,0.00123023986816,0.812849612403,0.12307233740234183,0
bem,1,serial,29,0.00124073028564,0.805976940815,0.12307233740234183,0
bem,8,serial,0,0.0102500915527,0.780480833643,8.033630044887845,0
bem,8,serial,1,0.0103397369385,0.773714074894,8.033630044887845,0
bem,8,serial,2,0.0103607177734,0.772147275405,8.033630044887845,0
bem,8,serial,3,0.0103797912598,0.770728408673,8.033630044887845,0
bem,8,serial,4,0.0103597640991,0.772218355887,8.033630044887845,0
bem,8,serial,5,0.0103797912598,0.770728408673,8.033630044887845,0
bem,8,serial,6,0.0103397369385,0.773714074894,8.033630044887845,0
bem,8,serial,7,0.0103797912598,0.770728408673,8.033630044887845,0
bem,8,serial,8,0.0103397369385,0.773714074894,8.033630044887845,0
bem,8,serial,9,0.0103693008423,0.771508139428,8.033630044887845,0
bem,8,serial,10,0.0103302001953,0.774428360414,8.033630044887845,0
bem,8,serial,11,0.0103397369385,0.773714074894,8.033630044887845,0
bem,8,serial,12,0.0103397369385,0.773714074894,8.033630044887845,0
bem,8,serial,13,0.0103797912598,0.770728408673,8.033630044887845,0
bem,8,serial,14,0.0103302001953,0.774428360414,8.033630044887845,0
bem,8,serial,15,0.0103406906128,0.773642718805,8.033630044887845,0
bem,8,serial,16,0.0103302001953,0.774428360414,8.033630044887845,0
bem,8,serial,17,0.0103797912598,0.770728408673,8.033630044887845,0
bem,8,serial,18,0.010350227356,0.772929881139,8.033630044887845,0
bem,8,serial,19,0.0103302001953,0.774428360414,8.033630044887845,0
bem,8,serial,20,0.0103702545166,0.771437189627,8.033630044887845,0
bem,8,serial,21,0.0103302001953,0.774428360414,8.033630044887845,0
bem,8,serial,22,0.0103302001953,0.774428360414,8.033630044887845,0
bem,8,serial,23,0.0103702545166,0.771437189627,8.033630044887845,0
bem,8,serial,24,0.0103397369385,0.773714074894,8.033630044887845,0
bem,8,serial,25,0.0103397369385,0.773714074894,8.033630044887845,0
bem,8,serial,26,0.0103597640991,0.772218355887,8.033630044887845,0
bem,8,serial,27,0.010350227356,0.772929881139,8.033630044887845,0
bem,8,serial,28,0.0103807449341,0.770657602205,8.033630044887845,0
bem,8,serial,29,0.010350227356,0.772929881139,8.033630044887845,0
bem,32,serial,0,0.0404396057129,0.791303461938,39.746720201545187,0
bem,32,serial,1,0.0411100387573,0.778398682349,39.746720201545187,0
bem,32,serial,2,0.0409202575684,0.782008762935,39.746720201545187,0
bem,32,serial,3,0.0408811569214,0.782756712623,39.746720201545187,0
bem,32,serial,4,0.0408792495728,0.782793234574,39.746720201545187,0
bem,32,serial,5,0.0463008880615,0.691131452111,39.746720201545187,0
bem,32,serial,6,0.0408802032471,0.782774973172,39.746720201545187,0
bem,32,serial,7,0.040919303894,0.782026988603,39.746720201545187,0
bem,32,serial,8,0.0409202575684,0.782008762935,39.746720201545187,0
bem,32,serial,9,0.0409097671509,0.782209292025,39.746720201545187,0
bem,32,serial,10,0.0409002304077,0.782391680463,39.746720201545187,0
bem,32,serial,11,0.0409107208252,0.782191057858,39.746720201545187,0
bem,32,serial,12,0.0409002304077,0.782391680463,39.746720201545187,0
bem,32,serial,13,0.040919303894,0.782026988603,39.746720201545187,0
bem,32,serial,14,0.0409097671509,0.782209292025,39.746720201545187,0
bem,32,serial,15,0.0409202575684,0.782008762935,39.746720201545187,0
bem,32,serial,16,0.0409097671509,0.782209292025,39.746720201545187,0
bem,32,serial,17,0.0409002304077,0.782391680463,39.746720201545187,0
bem,32,serial,18,0.0409202575684,0.782008762935,39.746720201545187,0
bem,32,serial,19,0.0408992767334,0.782409923985,39.746720201545187,0
bem,32,serial,20,0.0409097671509,0.782209292025,39.746720201545187,0
bem,32,serial,21,0.0409097671509,0.782209292025,39.746720201545187,0
bem,32,serial,22,0.0409097671509,0.782209292025,39.746720201545187,0
bem,32,serial,23,0.0409107208252,0.782191057858,39.746720201545187,0
bem,32,serial,24,0.0409097671509,0.782209292025,39.746720201545187,0
bem,32,serial,25,0.0409002304077,0.782391680463,39.746720201545187,0
bem,32,serial,26,0.0409107208252,0.782191057858,39.746720201545187,0
bem,32,serial,27,0.0409002304077,0.782391680463,39.746720201545187,0
bem,32,serial,28,0.0409002304077,0.782391680463,39.746720201545187,0
bem,32,serial,29,0.052960395813,0.604225091387,39.746720201545187,0
bem,128,serial,0,0.162919998169,0.785661683271,303.74111367175885,0
bem,128,serial,1,0.171050071716,0.748318891162,303.74111367175885,0
bem,128,serial,2,0.165490150452,0.773459928888,303.74111367175885,0
bem,128,serial,3,0.166919708252,0.766835751994,303.74111367175885,0
bem,128,serial,4,0.166700363159,0.767844757949,303.74111367175885,0
bem,128,serial,5,0.16565990448,0.772667353647,303.74111367175885,0
bem,128,serial,6,0.165250778198,0.774580316024,303.74111367175885,0
bem,128,serial,7,0.170709609985,0.749811331717,303.74111367175885,0
bem,128,serial,8,0.165350914001,0.774111233512,303.74111367175885,0
bem,128,serial,9,0.165440559387,0.773691774702,303.74111367175885,0
bem,128,serial,10,0.165320396423,0.77425413179,303.74111367175885,0
bem,128,serial,11,0.165180206299,0.774911249163,303.74111367175885,0
bem,128,serial,12,0.165170669556,0.774955991547,303.74111367175885,0
bem,128,serial,13,0.171790122986,0.745095223027,303.74111367175885,0
bem,128,serial,14,0.165399551392,0.773883598372,303.74111367175885,0
bem,128,serial,15,0.16543006897,0.773740836821,303.74111367175885,0
bem,128,serial,16,0.165470123291,0.7735535422,303.74111367175885,0
bem,128,serial,17,0.165349960327,0.774115698285,303.74111367175885,0
bem,128,serial,18,0.165510177612,0.773366338231,303.74111367175885,0
bem,128,serial,19,0.170189857483,0.752101223264,303.74111367175885,0
bem,128,serial,20,0.165380477905,0.773972851096,303.74111367175885,0
bem,128,serial,21,0.165340423584,0.774160348845,303.74111367175885,0
bem,128,serial,22,0.165259361267,0.774540086677,303.74111367175885,0
bem,128,serial,23,0.165260314941,0.774535617008,303.74111367175885,0
bem,128,serial,24,0.165289878845,0.774397082836,303.74111367175885,0
bem,128,serial,25,0.170129776001,0.752366828481,303.74111367175885,0
bem,128,serial,26,0.165509223938,0.773370794415,303.74111367175885,0
bem,128,serial,27,0.165209770203,0.774772580599,303.74111367175885,0
bem,128,serial,28,0.165499687195,0.773415359084,303.74111367175885,0
bem,128,serial,29,0.16533946991,0.774164814185,303.74111367175885,0
bem,512,serial,0,0.668610572815,0.765767130849,1436.1135911046765,0
bem,512,serial,1,0.667019844055,0.767593355075,1436.1135911046765,0
bem,512,serial,2,0.673009872437,0.760761499897,1436.1135911046765,0
bem,512,serial,3,0.670340538025,0.763790895757,1436.1135911046765,0
bem,512,serial,4,0.666560173035,0.768122700264,1436.1135911046765,0
bem,512,serial,5,0.673689842224,0.759993646794,1436.1135911046765,0
bem,512,serial,6,0.671911239624,0.762005410546,1436.1135911046765,0
bem,512,serial,7,0.665919303894,0.768861928174,1436.1135911046765,0
bem,512,serial,8,0.672200202942,0.761677842046,1436.1135911046765,0
bem,512,serial,9,0.671451568604,0.762527074089,1436.1135911046765,0
bem,512,serial,10,0.666290283203,0.768433838685,1436.1135911046765,0
bem,512,serial,11,0.685139656067,0.747292899289,1436.1135911046765,0
bem,512,serial,12,0.677260398865,0.755986915606,1436.1135911046765,0
bem,512,serial,13,0.667030334473,0.767581283098,1436.1135911046765,0
bem,512,serial,14,0.672220230103,0.761655149715,1436.1135911046765,0
bem,512,serial,15,0.671800613403,0.7621308909,1436.1135911046765,0
bem,512,serial,16,0.675310134888,0.75817017034,1436.1135911046765,0
bem,512,serial,17,0.686180114746,0.746159774959,1436.1135911046765,0
bem,512,serial,18,0.68044090271,0.752453296033,1436.1135911046765,0
bem,512,serial,19,0.670320510864,0.763813715531,1436.1135911046765,0
bem,512,serial,20,0.727199554443,0.704070838426,1436.1135911046765,0
bem,512,serial,21,0.676791191101,0.756511028412,1436.1135911046765,0
bem,512,serial,22,0.67615032196,0.757228065078,1436.1135911046765,0
bem,512,serial,23,0.667900085449,0.766581725552,1436.1135911046765,0
bem,512,serial,24,0.672070503235,0.76182483465,1436.1135911046765,0
bem,512,serial,25,0.675420761108,0.758045990709,1436.1135911046765,0
bem,512,serial,26,0.666669845581,0.767996337908,1436.1135911046765,0
bem,512,serial,27,0.672270774841,0.761597884604,1436.1135911046765,0
bem,512,serial,28,0.675810813904,0.757608474837,1436.1135911046765,0
bem,512,serial,29,0.666319847107,0.768399744091,1436.1135911046765,0
bem,2048,serial,0,2.69710159302,0.759333651095,5635.5293330603863,0
bem,2048,serial,1,2.73641204834,0.748425297003,5635.5293330603863,0
bem,2048,serial,2,2.73714065552,0.748226071565,5635.5293330603863,0
bem,2048,serial,3,2.73400115967,0.749085271145,5635.5293330603863,0
bem,2048,serial,4,2.73587226868,0.748572959143,5635.5293330603863,0
bem,2048,serial,5,2.73491096497,0.74883607775,5635.5293330603863,0
bem,2048,serial,6,2.73845100403,0.747868045471,5635.5293330603863,0
bem,2048,serial,7,2.7281703949,0.750686248861,5635.5293330603863,0
bem,2048,serial,8,2.740691185,0.747256754504,5635.5293330603863,0
bem,2048,serial,9,2.73743152618,0.74814656747,5635.5293330603863,0
bem,2048,serial,10,2.72669029236,0.751093736513,5635.5293330603863,0
bem,2048,serial,11,2.86192131042,0.715603183267,5635.5293330603863,0
bem,2048,serial,12,2.7440404892,0.746344672414,5635.5293330603863,0
bem,2048,serial,13,2.78218078613,0.736113199476,5635.5293330603863,0
bem,2048,serial,14,2.73902225494,0.747712069993,5635.5293330603863,0
bem,2048,serial,15,2.73632144928,0.748450077216,5635.5293330603863,0
bem,2048,serial,16,2.74182128906,0.746948755621,5635.5293330603863,0
bem,2048,serial,17,2.7329826355,0.749364439202,5635.5293330603863,0
bem,2048,serial,18,2.73839092255,0.747884454019,5635.5293330603863,0
bem,2048,serial,19,2.7353811264,0.748707366674,5635.5293330603863,0
