sample_id,split,region,root_abs,power_abs,dI_dV_rel,dI_dIL_rel,dI_dI0_rel,dI_da_rel,dI_dRs_rel,dI_dRsh_rel,residual,exp_argument,status
pvext_0000006,cal,mpp_near,1.7763568394002505e-15,2.8421709430404007e-14,1.5285843461156699e-15,4.3070308187226005e-16,1.6557674070356867e-15,1.826480513887568e-15,1.589673444155285e-15,3.0482220145522467e-16,4.4235448637408581e-16,21.932721144023564,0
pvext_0000007,cal,interior,8.8817841970012523e-16,1.7763568394002505e-15,1.3684621557080933e-16,2.2210496742743199e-16,1.920495283579433e-16,1.8219793329340872e-16,0,0,5.0740661672321608e-16,2.3274715403011728,0
pvext_0000016,cal,short_circuit,0,4.3368086899420177e-19,1.3743088846031914e-16,0,2.1918850522906809e-16,1.5740771417077589e-16,1.329193115032949e-16,2.168156093395261e-16,4.5536491244391186e-17,2.8456844708941325,0
pvext_0000017,cal,open_circuit,6.1834760402279532e-16,3.3225158735383786e-14,4.1734836858708096e-16,0,4.3387436337837763e-16,2.7728850473775422e-16,6.6199674263991908e-12,3.3230858722482636e-16,4.8572257327350599e-17,24.092533669753522,0
pvext_0000026,cal,mpp_near,0,0,5.5886281184761554e-16,1.4760800790547203e-16,3.6976038370946408e-16,5.4924697861583088e-16,3.7039004974076737e-16,1.8959180729524557e-16,1.5439038936193583e-16,24.440468588836026,0
pvext_0000027,cal,interior,8.8817841970012523e-16,2.8421709430404007e-14,0,1.1105404524620651e-16,4.4493106820191445e-16,6.6445862785187072e-16,1.1798656307585268e-16,0,6.83481049534862e-16,11.494222156709522,0
pvext_0000036,cal,short_circuit,1.7763568394002505e-15,2.1684043449710089e-19,1.9975806716665476e-16,1.1147889666243513e-16,1.6938410007262067e-16,4.0463611687426361e-16,0,1.8058996691022281e-16,9.7144514654701197e-16,1.8350010971514394,0
pvext_0000037,cal,open_circuit,5.9090907283932369e-15,2.5221220511378872e-13,6.0696528035091604e-16,6.3697968999669537e-16,7.0625631760710052e-16,7.10036745436606e-16,8.5835085629108389e-10,3.703129332342001e-16,4.0939474033052647e-15,21.895147764957265,0
pvext_0000046,cal,mpp_near,1.7763568394002505e-15,2.8421709430404007e-14,1.268939901765104e-15,2.6268685830227046e-16,1.3371147456553839e-15,1.3516954839422826e-15,1.5505751648349184e-15,1.4904181247846863e-16,2.1441182163073336e-15,16.512303070933822,0
pvext_0000047,cal,interior,0,1.4210854715202004e-14,2.1435433044394913e-16,1.1168887548260832e-16,2.2684374756925109e-15,2.3574185352970695e-15,3.9464532369804002e-16,1.4550014678095614e-16,4.163336342344337e-16,13.154401212671923,0
