metric,median,p90,p95,p99,p99.9,max
root_absolute,8.881784197e-16,3.88578058619e-15,7.51135265098e-15,1.43218770177e-14,1.71726443287e-14,1.75098913437e-14
power_absolute,3.5527136788e-15,1.55011420366e-13,3.21311553753e-13,5.4943072661e-13,9.66067503771e-13,1.14419975231e-12
dI_dV,2.49655092765e-16,1.73679644614e-15,2.43270665113e-15,3.20602836393e-15,4.30483623484e-15,4.40070772083e-15
dI_dIL,1.11785544591e-16,7.19549324365e-16,1.18245777362e-15,2.57097525971e-15,3.87675194714e-15,3.99670149527e-15
dI_dI0,4.56132857617e-16,1.8740667037e-15,2.51047660547e-15,3.34259749897e-15,4.30824398836e-15,4.43061729628e-15
dI_da,4.96296678045e-16,1.95390938752e-15,2.66236020916e-15,3.44589666789e-15,4.73997584416e-15,4.75023069099e-15
dI_dRs,4.38767117306e-16,1.16485695472e-11,2.35304748472e-10,3.80157866187e-09,6.76794162735e-09,9.14169610031e-09
dI_dRsh,1.75356238034e-16,6.6969596212e-16,1.17599592346e-15,2.31826296327e-15,3.81897671208e-15,4.05054508796e-15
nonfinite,0
exp_overflow,0
exp_underflow,0
