timestamp, index, name, temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%]
2026/08/24 16:38:56.086, 0, NVIDIA GeForce RTX 5090, 44, 16.02 W, 600.00 W, 240 MHz, 405 MHz, 0 %
2026/08/24 16:38:56.092, 1, NVIDIA GeForce RTX 5090, 37, 14.51 W, 600.00 W, 210 MHz, 405 MHz, 0 %
2026/08/24 16:38:56.301, 0, NVIDIA GeForce RTX 5090, 44, 16.02 W, 600.00 W, 240 MHz, 405 MHz, 0 %
2026/08/24 16:38:56.302, 1, NVIDIA GeForce RTX 5090, 37, 14.74 W, 600.00 W, 210 MHz, 405 MHz, 0 %
2026/08/24 16:38:56.503, 0, NVIDIA GeForce RTX 5090, 44, 16.02 W, 600.00 W, 240 MHz, 405 MHz, 0 %
2026/08/24 16:38:56.504, 1, NVIDIA GeForce RTX 5090, 37, 14.74 W, 600.00 W, 210 MHz, 405 MHz, 0 %
2026/08/24 16:38:56.707, 0, NVIDIA GeForce RTX 5090, 44, 16.26 W, 600.00 W, 240 MHz, 405 MHz, 0 %
2026/08/24 16:38:56.708, 1, NVIDIA GeForce RTX 5090, 37, 16.66 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:38:56.912, 0, NVIDIA GeForce RTX 5090, 44, 16.26 W, 600.00 W, 240 MHz, 405 MHz, 0 %
2026/08/24 16:38:56.912, 1, NVIDIA GeForce RTX 5090, 37, 16.66 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:38:57.116, 0, NVIDIA GeForce RTX 5090, 50, 85.13 W, 600.00 W, 2707 MHz, 13801 MHz, 100 %
2026/08/24 16:38:57.117, 1, NVIDIA GeForce RTX 5090, 37, 16.66 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:38:57.320, 0, NVIDIA GeForce RTX 5090, 50, 85.13 W, 600.00 W, 2707 MHz, 13801 MHz, 100 %
2026/08/24 16:38:57.321, 1, NVIDIA GeForce RTX 5090, 37, 16.66 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:38:57.525, 0, NVIDIA GeForce RTX 5090, 50, 85.13 W, 600.00 W, 2707 MHz, 13801 MHz, 100 %
2026/08/24 16:38:57.525, 1, NVIDIA GeForce RTX 5090, 37, 16.66 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:38:57.729, 0, NVIDIA GeForce RTX 5090, 50, 178.31 W, 600.00 W, 2910 MHz, 13801 MHz, 100 %
2026/08/24 16:38:57.730, 1, NVIDIA GeForce RTX 5090, 37, 13.87 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:38:57.934, 0, NVIDIA GeForce RTX 5090, 50, 178.31 W, 600.00 W, 2910 MHz, 13801 MHz, 100 %
2026/08/24 16:38:57.934, 1, NVIDIA GeForce RTX 5090, 37, 13.87 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:38:58.138, 0, NVIDIA GeForce RTX 5090, 50, 221.37 W, 600.00 W, 2910 MHz, 13801 MHz, 100 %
2026/08/24 16:38:58.138, 1, NVIDIA GeForce RTX 5090, 37, 13.87 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:38:58.342, 0, NVIDIA GeForce RTX 5090, 50, 221.37 W, 600.00 W, 2910 MHz, 13801 MHz, 100 %
2026/08/24 16:38:58.343, 1, NVIDIA GeForce RTX 5090, 37, 13.87 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:38:58.547, 0, NVIDIA GeForce RTX 5090, 50, 221.37 W, 600.00 W, 2910 MHz, 13801 MHz, 100 %
2026/08/24 16:38:58.547, 1, NVIDIA GeForce RTX 5090, 37, 13.87 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:38:58.751, 0, NVIDIA GeForce RTX 5090, 50, 221.56 W, 600.00 W, 2910 MHz, 13801 MHz, 100 %
2026/08/24 16:38:58.752, 1, NVIDIA GeForce RTX 5090, 37, 13.52 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:38:58.956, 0, NVIDIA GeForce RTX 5090, 50, 221.56 W, 600.00 W, 2910 MHz, 13801 MHz, 100 %
2026/08/24 16:38:58.956, 1, NVIDIA GeForce RTX 5090, 37, 13.52 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:38:59.160, 0, NVIDIA GeForce RTX 5090, 50, 221.11 W, 600.00 W, 2910 MHz, 13801 MHz, 100 %
2026/08/24 16:38:59.161, 1, NVIDIA GeForce RTX 5090, 37, 13.52 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:38:59.364, 0, NVIDIA GeForce RTX 5090, 50, 221.11 W, 600.00 W, 2910 MHz, 13801 MHz, 100 %
