index,near_knot,multi_root,root_abs,gradient_left_rel,gradient_right_rel,residual,knot_distance_rad,status
0,1,0,7.7071682369478367e-12,2.5698942633680797e-09,1.2042065411111935e-08,1.055801038870866e-11,0,0
1,0,0,6.2172489379008766e-15,6.466062788675272e-09,4.8330135505092673e-09,6.0795319997616134e-15,0,0
2,0,0,0,8.1889778991429442e-09,5.3928476323142731e-10,3.6551640472104419e-18,0,0
3,0,0,6.4392935428259079e-14,2.8169987387808394e-09,1.5714847750886257e-08,7.7618058053456141e-14,0,0
4,0,0,3.446576357646336e-11,4.2412619712164801e-09,1.6188714733178701e-08,4.0655078788414141e-11,0,0
5,0,0,4.53903581387749e-12,2.1695505874108176e-08,9.0125473143330521e-09,4.0894079698222626e-12,0,0
6,0,0,0,4.9478079273981391e-09,4.9478079273981391e-09,1.1102230246251565e-16,0,0
7,0,0,1.1186607196123077e-11,8.4836265875156841e-09,2.7200185055624785e-11,1.0982886879384182e-11,0,0
8,0,0,0,1.835493386568062e-09,1.0210231557118144e-08,1.1102230246251565e-16,0,0
9,1,0,0,2.2711861522507726e-08,2.2759443674182584e-08,1.6551024127274957e-16,0,0
10,1,0,4.4408920985006262e-16,1.2144671144267737e-08,7.9537182803765801e-09,2.7273366710158099e-16,0,0
11,0,0,3.9968028886505635e-15,6.0012161674701709e-09,3.2959565237244862e-09,3.8492818155226619e-15,0,0
12,0,0,6.6163963197141129e-11,1.472781317654867e-08,5.2453164036668353e-09,6.4283419750177722e-11,0,0
13,1,0,4.4482639793841372e-11,8.8299890858725163e-09,3.0202470279685131e-09,4.1446898460037579e-11,0,0
14,0,0,6.3948846218409017e-12,1.6743212074868284e-08,1.0949155978725144e-08,5.9080465660907742e-12,0,0
15,0,0,1.4699352846037073e-13,5.5041877537851002e-09,6.0273324285527784e-09,1.9726301670822304e-13,0,0
16,0,0,3.9933834017347181e-11,1.6565936760393087e-08,2.3374831036450814e-08,4.5798720534188991e-11,0,0
17,0,0,1.5618617510426702e-12,1.9922318570513661e-09,3.5061788318132332e-09,1.5752434136130355e-12,0,0
18,0,0,0,6.8085594769628373e-09,6.8085594769628373e-09,0,0,0
19,0,0,1.2120793257963669e-10,5.1750341124101611e-09,5.6042621644781581e-09,1.2744452175424693e-10,0,0
20,1,0,4.4408920985006262e-16,6.8607226847270392e-09,1.5460673430956057e-09,2.1772699395210719e-16,0,0
21,1,0,4.2069370209674162e-10,1.7301729370555156e-10,5.7983347853508332e-09,4.0725325376532916e-10,0,0
22,1,0,5.3551829637399351e-11,7.6321861104082001e-09,1.1505222655866977e-08,5.2800236025255616e-11,0,0
23,0,0,0,9.6762324430429732e-09,5.0872590374364394e-09,6.1158573197613527e-17,0,0
24,1,0,2.8954527664382113e-10,1.2057860899125962e-09,1.2636224374135003e-09,2.8219254893684282e-10,0,0
25,0,0,2.4735768988648488e-13,4.9532446780542848e-10,2.3901528179322999e-10,2.7437114910700959e-13,0,0
26,0,0,2.6645352591003757e-15,9.8304910306531318e-09,1.8546873196801266e-08,2.8270941728632456e-15,0,0
27,1,0,2.3541169014151819e-12,9.8793503733098607e-09,3.698221649190702e-09,2.3905867856933159e-12,0,0
28,1,0,7.9181106116266164e-13,2.0362733602631585e-09,8.4481083912733889e-09,8.4533641236865535e-13,0,0
