domain,n,method,kernel_median_ms,e2e_median_ms,cpu128_median_ms,kernel_mroots_s,e2e_mroots_s,correction_fraction,checksum
bem,1,fp32,0.0163825601339,0.0239846389741,nan,0.0610405206405,0.0416933521943,0,0.123072326183
bem,1,fp64,0.20016053319,0.208991676569,nan,0.00499598988904,0.00478487955318,1,0.123072337402
bem,1,adaptive_frozen_v3,0.211453795433,0.22106975317,nan,0.0047291655274,0.00452345916011,1,0.123072337402
bem,1,adaptive_no_gradient_gate_v3,0.21145837009,0.220880970359,nan,0.00472906321739,0.00452732527558,1,0.123072337402
bem,8,fp64,0.200707644224,0.209030404687,nan,0.03985897015,0.0382719442752,1,8.03363004489
bem,8,adaptive_frozen_v3,0.217202395201,0.223221436143,nan,0.0368320063534,0.0358388519411,0.5,8.0336300397
bem,8,adaptive_no_gradient_gate_v3,0.217188298702,0.223240315914,nan,0.0368343969164,0.0358358209951,0.5,8.0336300397
bem,8,fp32,0.0163820143789,0.0230460818857,nan,0.488340433293,0.347130589906,0,8.12497346103
bem,32,fp32,0.016397152096,0.0236825607717,nan,1.95155840554,1.35120523108,0,40.0480054207
bem,32,fp64,0.220744907856,0.233297914267,nan,0.144963706347,0.137163678041,1,39.7467202015
bem,32,adaptive_frozen_v3,0.218669727445,0.233258545399,nan,0.146339415034,0.137186828227,0.375,39.7467198473
bem,32,adaptive_no_gradient_gate_v3,0.218603551388,0.233196794987,nan,0.146383715163,0.13722315524,0.375,39.7467198473
bem,128,fp32,0.0163962561637,0.0236438401043,nan,7.80666017424,5.41367220532,0,304.321917076
bem,128,fp64,0.23195925355,0.245576649904,nan,0.551821054954,0.521222192948,1,303.741113672
bem,128,adaptive_frozen_v3,0.242351397872,0.257812142372,nan,0.528158703123,0.496485537191,0.390625,303.741111612
bem,128,adaptive_no_gradient_gate_v3,0.242382049561,0.253086060286,nan,0.528091912054,0.505756815905,0.390625,303.741111612
bem,512,fp32,0.0204962883145,0.0345744006336,nan,24.9801326047,14.8086442749,0,1438.9635895
bem,512,fp64,0.405515700579,0.417814075947,nan,1.26258983134,1.22542544513,1,1436.1135911
bem,512,adaptive_frozen_v3,0.414954304695,0.430014371872,nan,1.23387080025,1.19065787911,0.43359375,1436.11358218
bem,512,adaptive_no_gradient_gate_v3,0.415002912283,0.429990381002,nan,1.23372628202,1.19072431064,0.43359375,1436.11358218
bem,2048,fp32,0.0205132793635,0.0369599983096,nan,99.8377667319,55.4112579455,0,5647.93168927
bem,2048,fp64,0.404896974564,0.419756799936,nan,5.05807681623,4.87901565933,1,5635.52933306
