domain,n,method,timing_kind,repetition,value_ms
bem,1,fp32,kernel,0,0.0163805745542
bem,1,fp32,e2e,0,0.0240678414702
bem,1,fp32,kernel,1,0.0163828488439
bem,1,fp32,e2e,1,0.0240163207054
bem,1,fp32,kernel,2,0.0166254080832
bem,1,fp32,e2e,2,0.024087999016
bem,1,fp32,kernel,3,0.0163828488439
bem,1,fp32,e2e,3,0.0228041596711
bem,1,fp32,kernel,4,0.0163813754916
bem,1,fp32,e2e,4,0.0239225607365
bem,1,fp32,kernel,5,0.0163815356791
bem,1,fp32,e2e,5,0.0241401605308
bem,1,fp32,kernel,6,0.0163805447519
bem,1,fp32,e2e,6,0.0228047985584
bem,1,fp32,kernel,7,0.0163832642138
bem,1,fp32,e2e,7,0.0240473598242
bem,1,fp32,kernel,8,0.0165410228074
bem,1,fp32,e2e,8,0.0229449607432
bem,1,fp32,kernel,9,0.0163829121739
bem,1,fp32,e2e,9,0.0240294411778
bem,1,fp32,kernel,10,0.0163829121739
bem,1,fp32,e2e,10,0.0235999990255
bem,1,fp32,kernel,11,0.0163826234639
bem,1,fp32,e2e,11,0.0228809602559
bem,1,fp32,kernel,12,0.0163813121617
bem,1,fp32,e2e,12,0.0229439996183
bem,1,fp32,kernel,13,0.0163825601339
bem,1,fp32,e2e,13,0.0227552000433
bem,1,fp32,kernel,14,0.016679616645
bem,1,fp32,e2e,14,0.0240579191595
bem,1,fp32,kernel,15,0.0163808334619
bem,1,fp32,e2e,15,0.0229052808136
bem,1,fp32,kernel,16,0.0163809284568
bem,1,fp32,e2e,16,0.023995520547
bem,1,fp32,kernel,17,0.0163827519864
bem,1,fp32,e2e,17,0.0240364782512
bem,1,fp32,kernel,18,0.0163827519864
bem,1,fp32,e2e,18,0.0266051199287
bem,1,fp32,kernel,19,0.0163812804967
bem,1,fp32,e2e,19,0.0239846389741
bem,1,fp32,kernel,20,0.0165417920798
bem,1,fp32,e2e,20,0.0227609612048
bem,1,fp32,kernel,21,0.0163826569915
bem,1,fp32,e2e,21,0.0240655988455
bem,1,fp32,kernel,22,0.016381919384
bem,1,fp32,e2e,22,0.0239859204739
bem,1,fp32,kernel,23,0.016382239759
bem,1,fp32,e2e,23,0.023931838572
bem,1,fp32,kernel,24,0.0163816642016
bem,1,fp32,e2e,24,0.0229219198227
bem,1,fp32,kernel,25,0.0163815692067
bem,1,fp32,e2e,25,0.0239990409464
bem,1,fp32,kernel,26,0.0166060160846
bem,1,fp32,e2e,26,0.0227788798511
bem,1,fp32,kernel,27,0.0163818243891
bem,1,fp32,e2e,27,0.0240416005254
bem,1,fp32,kernel,28,0.0163816958666
bem,1,fp32,e2e,28,0.0227779205889
