history,step,root_abs,branch,root_count,crossed,status
0,0,4.2351647362715017e-22,0,1,0,0
0,1,1.0842021724855044e-19,1,3,1,0
0,2,0,1,3,0,0
0,3,0,1,3,0,0
0,4,4.3368086899420177e-19,1,3,0,0
0,5,1.3010426069826053e-18,1,3,0,0
0,6,0,1,3,0,0
0,7,8.6736173798840355e-19,1,3,0,0
0,8,1.3010426069826053e-18,1,3,0,0
0,9,4.3368086899420177e-19,1,3,0,0
0,10,1.3010426069826053e-18,1,3,0,0
0,11,8.6736173798840355e-19,1,3,0,0
0,12,2.1684043449710089e-18,1,3,0,0
0,13,1.7347234759768071e-18,1,3,0,0
0,14,2.6020852139652106e-18,1,3,0,0
0,15,8.6736173798840355e-19,1,3,0,0
0,16,8.6736173798840355e-19,1,3,0,0
0,17,0,1,3,0,0
0,18,0,1,3,0,0
0,19,3.4694469519536142e-18,1,3,0,0
0,20,0,1,3,0,0
0,21,8.6736173798840355e-19,1,3,0,0
0,22,1.7347234759768071e-18,1,3,0,0
0,23,3.4694469519536142e-18,1,3,0,0
0,24,3.4694469519536142e-18,1,3,0,0
0,25,0,1,3,0,0
0,26,1.7347234759768071e-18,1,3,0,0
0,27,6.9388939039072284e-18,1,3,0,0
0,28,1.7347234759768071e-18,1,3,0,0
0,29,5.2041704279304213e-18,1,3,0,0
0,30,0,1,3,0,0
0,31,3.4694469519536142e-18,1,3,0,0
0,32,1.214306433183765e-17,1,3,0,0
0,33,3.4694469519536142e-18,1,3,0,0
0,34,6.9388939039072284e-18,1,3,0,0
0,35,0,1,3,0,0
0,36,1.7347234759768071e-18,1,3,0,0
0,37,0,1,3,0,0
0,38,6.9388939039072284e-18,1,3,0,0
0,39,0,1,3,0,0
0,40,5.2041704279304213e-18,1,3,0,0
0,41,6.9388939039072284e-18,1,3,0,0
0,42,1.0408340855860843e-17,1,3,0,0
0,43,1.7347234759768071e-17,1,3,0,0
0,44,1.0408340855860843e-17,1,3,0,0
0,45,3.4694469519536142e-18,1,3,0,0
0,46,3.4694469519536142e-18,1,3,0,0
0,47,0,1,3,0,0
0,48,1.3877787807814457e-17,1,3,0,0
0,49,2.0816681711721685e-17,1,3,0,0
0,50,1.7347234759768071e-17,1,3,0,0
0,51,6.9388939039072284e-18,1,3,0,0
0,52,3.4694469519536142e-18,1,3,0,0
0,53,2.4286128663675299e-17,1,3,0,0
0,54,3.4694469519536142e-18,1,3,0,0
0,55,6.9388939039072284e-18,1,3,0,0
0,56,1.3877787807814457e-17,1,3,0,0
0,57,2.4286128663675299e-17,1,3,0,0
0,58,3.4694469519536142e-18,1,3,0,0
0,59,1.7347234759768071e-17,1,3,0,0
0,60,6.9388939039072284e-18,1,3,0,0
0,61,0,1,3,0,0
0,62,4.8572257327350599e-17,1,3,0,0
0,63,4.163336342344337e-17,1,3,0,0
0,64,6.9388939039072284e-18,1,3,0,0
0,65,2.0816681711721685e-17,1,3,0,0
0,66,9.7144514654701197e-17,1,3,0,0
0,67,1.1102230246251565e-16,0,1,1,0
0,68,0,0,1,0,0
0,69,1.1102230246251565e-16,0,1,0,0
0,70,2.2204460492503131e-16,0,1,0,0
0,71,0,0,1,0,0
0,72,1.1102230246251565e-16,0,1,0,0
0,73,1.1102230246251565e-16,0,1,0,0
0,74,2.2204460492503131e-16,0,1,0,0
0,75,1.1102230246251565e-16,0,1,0,0
0,76,2.2204460492503131e-16,0,1,0,0
0,77,0,0,1,0,0
0,78,1.1102230246251565e-16,0,1,0,0
0,79,1.1102230246251565e-16,0,1,0,0
0,80,0,0,1,0,0
1,0,0,0,1,0,0
1,1,1.1102230246251565e-16,0,1,0,0
1,2,1.1102230246251565e-16,0,1,0,0
1,3,0,0,1,0,0
1,4,2.2204460492503131e-16,0,1,0,0
1,5,1.1102230246251565e-16,0,1,0,0
1,6,2.2204460492503131e-16,0,1,0,0
1,7,1.1102230246251565e-16,0,1,0,0
1,8,1.1102230246251565e-16,0,1,0,0
1,9,0,0,1,0,0
1,10,2.2204460492503131e-16,0,1,0,0
1,11,1.1102230246251565e-16,0,1,0,0
1,12,0,0,1,0,0
1,13,1.1102230246251565e-16,0,1,0,0
1,14,1.1102230246251565e-16,3,3,1,0
1,15,1.1102230246251565e-16,3,3,0,0
1,16,1.1102230246251565e-16,3,3,0,0
1,17,1.1102230246251565e-16,3,3,0,0
1,18,1.1102230246251565e-16,3,3,0,0
1,19,1.1102230246251565e-16,3,3,0,0
1,20,1.1102230246251565e-16,3,3,0,0
1,21,0,3,3,0,0
1,22,1.1102230246251565e-16,3,3,0,0
1,23,1.1102230246251565e-16,3,3,0,0
1,24,0,3,3,0,0
1,25,1.1102230246251565e-16,3,3,0,0
1,26,1.1102230246251565e-16,3,3,0,0
1,27,0,3,3,0,0
1,28,0,3,3,0,0
1,29,1.1102230246251565e-16,3,3,0,0
1,30,1.1102230246251565e-16,3,3,0,0
1,31,2.2204460492503131e-16,3,3,0,0
1,32,1.1102230246251565e-16,3,3,0,0
1,33,0,3,3,0,0
1,34,0,3,3,0,0
1,35,0,3,3,0,0
1,36,1.1102230246251565e-16,3,3,0,0
1,37,0,3,3,0,0
1,38,0,3,3,0,0
1,39,1.1102230246251565e-16,3,3,0,0
1,40,0,3,3,0,0
1,41,1.1102230246251565e-16,3,3,0,0
1,42,2.2204460492503131e-16,3,3,0,0
1,43,1.1102230246251565e-16,3,3,0,0
1,44,0,3,3,0,0
1,45,1.1102230246251565e-16,3,3,0,0
1,46,0,3,3,0,0
1,47,1.1102230246251565e-16,3,3,0,0
1,48,1.1102230246251565e-16,3,3,0,0
1,49,1.1102230246251565e-16,3,3,0,0
1,50,2.2204460492503131e-16,3,3,0,0
1,51,2.2204460492503131e-16,3,3,0,0
1,52,0,3,3,0,0
1,53,0,3,3,0,0
1,54,0,3,3,0,0
1,55,0,3,3,0,0
1,56,2.2204460492503131e-16,3,3,0,0
1,57,1.1102230246251565e-16,3,3,0,0
1,58,0,3,3,0,0
1,59,2.2204460492503131e-16,3,3,0,0
1,60,1.1102230246251565e-16,3,3,0,0
1,61,1.1102230246251565e-16,3,3,0,0
1,62,1.1102230246251565e-16,3,3,0,0
1,63,1.1102230246251565e-16,3,3,0,0
1,64,1.1102230246251565e-16,3,3,0,0
1,65,1.1102230246251565e-16,3,3,0,0
1,66,1.1102230246251565e-16,3,3,0,0
1,67,1.1102230246251565e-16,3,3,0,0
1,68,1.1102230246251565e-16,3,3,0,0
1,69,1.1102230246251565e-16,3,3,0,0
1,70,0,3,3,0,0
1,71,0,3,3,0,0
1,72,1.1102230246251565e-16,3,3,0,0
1,73,1.1102230246251565e-16,3,3,0,0
1,74,1.1102230246251565e-16,3,3,0,0
1,75,1.1102230246251565e-16,3,3,0,0
1,76,0,3,3,0,0
1,77,1.1102230246251565e-16,3,3,0,0
1,78,1.1102230246251565e-16,3,3,0,0
1,79,2.2204460492503131e-16,3,3,0,0
1,80,4.2351647362715017e-22,0,1,1,0
2,0,5.4210108624275222e-20,0,1,0,0
2,1,1.0842021724855044e-19,1,3,1,0
2,2,2.1684043449710089e-19,1,3,0,0
2,3,0,1,3,0,0
2,4,2.1684043449710089e-19,1,3,0,0
2,5,2.1684043449710089e-19,1,3,0,0
2,6,8.6736173798840355e-19,1,3,0,0
2,7,4.3368086899420177e-19,1,3,0,0
2,8,0,1,3,0,0
2,9,8.6736173798840355e-19,1,3,0,0
2,10,1.3010426069826053e-18,1,3,0,0
2,11,1.7347234759768071e-18,1,3,0,0
2,12,1.7347234759768071e-18,1,3,0,0
2,13,0,1,3,0,0
2,14,4.3368086899420177e-18,1,3,0,0
2,15,4.3368086899420177e-18,1,3,0,0
2,16,1.7347234759768071e-18,1,3,0,0
2,17,8.6736173798840355e-19,1,3,0,0
2,18,4.3368086899420177e-18,1,3,0,0
2,19,2.6020852139652106e-18,1,3,0,0
2,20,1.7347234759768071e-18,1,3,0,0
2,21,1.7347234759768071e-18,1,3,0,0
2,22,4.3368086899420177e-18,1,3,0,0
2,23,1.7347234759768071e-18,1,3,0,0
2,24,1.7347234759768071e-18,1,3,0,0
2,25,5.2041704279304213e-18,1,3,0,0
2,26,6.9388939039072284e-18,1,3,0,0
2,27,1.7347234759768071e-18,1,3,0,0
2,28,0,1,3,0,0
2,29,5.2041704279304213e-18,1,3,0,0
2,30,3.4694469519536142e-18,1,3,0,0
2,31,1.7347234759768071e-18,1,3,0,0
2,32,1.7347234759768071e-18,1,3,0,0
2,33,5.2041704279304213e-18,1,3,0,0
2,34,1.7347234759768071e-18,1,3,0,0
2,35,1.7347234759768071e-18,1,3,0,0
2,36,1.7347234759768071e-18,1,3,0,0
2,37,6.9388939039072284e-18,1,3,0,0
2,38,1.0408340855860843e-17,1,3,0,0
2,39,2.0816681711721685e-17,1,3,0,0
2,40,8.6736173798840355e-18,1,3,0,0
2,41,1.0408340855860843e-17,1,3,0,0
2,42,1.0408340855860843e-17,1,3,0,0
2,43,1.7347234759768071e-17,1,3,0,0
2,44,1.3877787807814457e-17,1,3,0,0
2,45,1.3877787807814457e-17,1,3,0,0
2,46,1.0408340855860843e-17,1,3,0,0
2,47,1.7347234759768071e-17,1,3,0,0
2,48,6.9388939039072284e-18,1,3,0,0
2,49,3.4694469519536142e-18,1,3,0,0
2,50,3.4694469519536142e-18,1,3,0,0
2,51,0,1,3,0,0
2,52,1.7347234759768071e-17,1,3,0,0
2,53,3.4694469519536142e-18,1,3,0,0
2,54,1.0408340855860843e-17,1,3,0,0
2,55,2.7755575615628914e-17,1,3,0,0
2,56,6.9388939039072284e-18,1,3,0,0
2,57,1.3877787807814457e-17,1,3,0,0
2,58,0,1,3,0,0
2,59,3.8163916471489756e-17,1,3,0,0
2,60,4.8572257327350599e-17,1,3,0,0
2,61,6.9388939039072284e-18,1,3,0,0
2,62,1.3877787807814457e-17,1,3,0,0
2,63,2.0816681711721685e-17,1,3,0,0
2,64,6.2450045135165055e-17,1,3,0,0
2,65,5.5511151231257827e-17,1,3,0,0
2,66,1.5959455978986625e-16,1,3,0,0
2,67,0,0,1,1,0
2,68,1.1102230246251565e-16,0,1,0,0
2,69,0,0,1,0,0
2,70,1.1102230246251565e-16,0,1,0,0
2,71,1.1102230246251565e-16,0,1,0,0
2,72,1.1102230246251565e-16,0,1,0,0
2,73,1.1102230246251565e-16,0,1,0,0
2,74,0,0,1,0,0
2,75,0,0,1,0,0
2,76,1.1102230246251565e-16,0,1,0,0
2,77,2.2204460492503131e-16,0,1,0,0
2,78,0,0,1,0,0
2,79,1.1102230246251565e-16,0,1,0,0
2,80,1.1102230246251565e-16,0,1,0,0
3,0,1.1102230246251565e-16,0,1,0,0
3,1,1.1102230246251565e-16,0,1,0,0
3,2,0,0,1,0,0
