index,branch,root_count,root_abs,gradient_rel,condition_rel,regularized_rel,residual,status
0,0,1,2.2204460492503131e-16,1.9839456855004802e-11,1.1101574453207468e-15,1.983945705342281e-11,1.1102230246251565e-16,0
1,0,1,0,4.6954690293331092e-14,4.408938434642164e-16,4.7128597031818746e-14,1.1102230246251565e-16,0
2,0,1,1.6263032587282567e-19,6.5338501585322462e-16,0,6.5338502252100979e-16,5.4210108624275222e-20,0
3,0,1,3.3087224502121107e-23,1.9983958577523024e-15,0,1.9983958777363173e-15,3.3087224502121107e-24,0
4,0,1,0,8.1755738058661871e-11,2.2204389549594272e-16,8.1755612619944725e-11,0,0
5,3,3,6.8944849829222221e-13,3.7460725222317947e-08,3.7452258176345337e-08,2.5815281451871841e-08,1.1102230246251565e-16,0
6,1,3,1.0408340855860843e-16,4.979808838273079e-14,4.7789740775514988e-14,4.9798485785538887e-14,6.9388939039072284e-18,0
7,2,3,1.6583956430338276e-15,4.7899482504100631e-12,4.8210793979374925e-12,4.7869500915353202e-12,2.0816681711721685e-17,0
8,2,3,1.5876189252139739e-14,1.8591178347177027e-11,1.8645399985616149e-11,1.856755536279679e-11,1.1102230246251565e-16,0
9,3,3,2.886579864025407e-15,8.4920770034706251e-13,8.3416028789511497e-13,8.4922358876676172e-13,1.1102230246251565e-16,0
10,1,3,1.0918349557798024e-14,7.5145034337170221e-10,7.5074333116413613e-10,7.3184429917849804e-10,0,0
11,0,1,3.3881317890172014e-21,1.5541945005840098e-15,0,1.3321667281090218e-15,4.2351647362715017e-22,0
12,0,1,1.1102230246251565e-16,1.4394705782040357e-11,6.6610367817097456e-16,1.4394705926000441e-11,1.1102230246251565e-16,0
13,0,1,0,8.6504784885135829e-15,0,8.6504785769027478e-15,0,0
14,0,1,1.6263032587282567e-19,4.3533149871856748e-16,0,4.3533150316393264e-16,5.4210108624275222e-20,0
15,0,1,3.3087224502121107e-23,6.6612863939084337e-16,0,6.6612864605218217e-16,0,0
16,0,1,1.1102230246251565e-16,3.2598254818968127e-11,2.2204402289390374e-16,3.2598255144952387e-11,1.1102230246251565e-16,0
17,3,3,3.1086244689504383e-15,1.2850571694126183e-10,1.2846980300582833e-10,1.0133911855681123e-10,1.1102230246251565e-16,0
18,1,3,1.7347234759768071e-16,8.9506485763724967e-14,8.639959378548306e-14,8.9698115182102649e-14,6.9388939039072284e-18,0
19,2,3,6.83481049534862e-15,5.7645234474358359e-11,5.7762630191820362e-11,5.7282094835874056e-11,1.3877787807814457e-17,0
20,2,3,6.4726002335646626e-14,1.7909881522615441e-10,1.793271812513575e-10,1.7787160317479278e-10,0,0
21,3,3,2.6645352591003757e-15,5.6613814951555195e-13,5.5477841334662287e-13,5.6627456599260633e-13,3.3306690738754696e-16,0
22,1,3,1.5612511283791264e-16,2.2889883632762163e-13,2.1845037940521554e-13,2.2901320216729295e-13,0,0
23,0,1,1.2705494208814505e-21,4.440333807217333e-16,2.2202990932733594e-16,4.4403338516265495e-16,0,0
24,0,1,0,3.8576565423530308e-11,1.55425196391882e-15,3.8576749941283633e-11,1.1102230246251565e-16,0
25,0,1,1.1102230246251565e-16,1.0451061708943083e-14,2.2014677711884913e-16,1.0451061815263384e-14,1.1102230246251565e-16,0
26,0,1,5.4210108624275222e-20,2.1905133309896548e-16,0,2.190513353208678e-16,0,0
27,0,1,6.6174449004242214e-23,2.886570867248613e-15,0,2.8865708961144129e-15,3.3087224502121107e-24,0
28,0,1,1.1102230246251565e-16,5.5269350683930721e-10,6.6613296232803532e-16,5.5269367726689489e-10,0,0
29,3,3,6.1617377866696188e-14,7.1200793091771965e-10,7.1129795426932573e-10,6.9873563640355903e-10,1.1102230246251565e-16,0
30,1,3,6.5433769513845164e-15,8.3237617728221017e-11,8.3124530560195944e-11,8.2292958849868144e-11,6.9388939039072284e-18,0
31,2,3,8.6458618042684066e-15,5.7556337345530759e-10,5.757279706836718e-10,4.1943610939813738e-10,0,0
32,2,3,8.8817841970012523e-16,8.2994100808591076e-14,8.5532717782387853e-14,8.3110495048612011e-14,2.2204460492503131e-16,0
33,3,3,1.5543122344752192e-15,1.3845968711101314e-13,1.3161297298930405e-13,1.3830865674831939e-13,3.3306690738754696e-16,0
34,1,3,3.0513785942432037e-15,7.6780411156700514e-10,7.6761003151438854e-10,5.2815499799902965e-10,0,0
35,0,1,8.4703294725430034e-22,4.4404558554993998e-16,0,4.4404558999085473e-16,4.2351647362715017e-22,0
