method,index,near_knot,multi_root,root_abs,residual,status,path
fp32,0,1,0,9.9861680924462348e-07,1.3680220544257628e-06,1,0
fp32,1,0,0,1.3876314008953727e-07,1.3578441252287704e-07,1,0
fp32,2,0,0,8.4740805350591586e-07,8.1871476593718878e-07,1,0
fp32,3,0,0,1.231510321275664e-06,1.4816070072154217e-06,1,0
fp32,4,0,0,1.2924387684520866e-06,1.5245439788180204e-06,1,0
fp32,5,0,0,7.6068769327974906e-07,6.853375973789521e-07,1,0
fp32,6,0,0,2.2554555556553169e-08,3.5852475654962745e-08,1,0
fp32,7,0,0,1.8040173523914405e-06,1.7711525193559532e-06,1,0
fp32,8,0,0,4.0487564145763599e-07,7.4632661439810732e-07,1,0
fp32,9,1,0,1.2912750553262242e-06,1.5232534202456987e-06,1,0
fp32,10,1,0,1.4359939846109171e-06,1.5510113581033331e-06,1,0
fp32,11,0,0,1.7069763789123726e-06,1.6747094414520493e-06,1,0
fp32,12,0,0,2.7270188374117765e-07,2.6495094984338758e-07,1,0
fp32,13,1,0,4.2485739504272146e-07,3.9586281786844239e-07,1,0
fp32,14,0,0,1.4983127067935698e-06,1.3842414238658483e-06,1,0
fp32,15,0,0,7.698327504357394e-07,1.0328903755572441e-06,1,0
fp32,16,0,0,6.614866592258295e-07,7.5863349007562508e-07,1,0
fp32,17,0,0,1.0596044042188169e-07,1.0685154899408841e-07,1,0
fp32,18,0,0,6.0669370860466643e-08,9.0702830135569457e-08,1,0
fp32,19,0,0,1.032103154052777e-07,1.0852071469282699e-07,1,0
fp32,20,1,0,9.7923661623866565e-07,9.9652979887888837e-07,1,0
fp32,21,1,0,2.9583155169987663e-07,2.8638027517514354e-07,1,0
fp32,22,1,0,1.3177852542511914e-07,1.300178987956687e-07,1,0
fp32,23,0,0,1.5244613904563664e-06,1.4325733487876976e-06,1,0
fp32,24,1,0,6.1697991471376668e-07,6.0131231823445615e-07,1,0
fp32,25,0,0,1.1090041276418106e-06,1.2299400472969151e-06,1,0
fp32,26,0,0,4.7925814783411624e-07,4.8454600763419919e-07,1,0
fp32,27,1,0,3.1866475547204232e-07,3.2361141194919365e-07,1,0
fp32,28,1,0,1.1982445657920948e-07,1.2789052612241992e-07,1,0
fp32,29,0,0,7.1849126603851232e-07,7.84778052711067e-07,1,0
fp32,30,0,0,5.2614306333964578e-07,3.6671720362938736e-07,1,0
fp32,31,0,0,1.8332653972663593e-07,2.3249674513221869e-07,1,0
fp32,32,0,0,1.3863407533065697e-07,1.3182997683288374e-07,1,0
fp32,33,1,0,1.7322593208746184e-06,1.9549960688620708e-06,1,0
fp32,34,0,0,6.3720275944589844e-07,5.8221213815079674e-07,1,0
fp32,35,1,0,8.1644757132792734e-07,1.0581681341432419e-06,1,0
fp32,36,1,0,7.1955293590164615e-07,9.1063309686652392e-07,1,0
fp32,37,1,0,1.9553591825705041e-06,1.8010423591163207e-06,1,0
fp32,38,0,0,2.4763225026092073e-07,2.1302535868959778e-07,1,0
fp32,39,0,0,1.9836675013706895e-07,3.1899512031863253e-07,1,0
fp32,40,1,0,6.1021094666102726e-07,6.1485007023461316e-07,1,0
fp32,41,0,0,5.3976945979528068e-07,5.2229483047115885e-07,1,0
fp32,42,1,0,2.4730089931424004e-07,3.0150034377888281e-07,1,0
fp32,43,0,0,7.4145408035519722e-08,8.0899371084868835e-08,1,0
fp32,44,0,0,1.1863974660464294e-06,1.0734620676175227e-06,1,0
fp32,45,0,0,7.1648307731209115e-08,1.1203480732024929e-07,1,0
fp32,46,0,0,8.4103797259871271e-07,7.1023784259183393e-07,1,0
fp32,47,0,0,5.200167958463453e-07,5.1516458787242459e-07,1,0
fp32,48,0,0,4.1561318386840185e-08,3.7198064298907161e-08,1,0
fp32,49,1,0,5.2090777780122721e-07,6.7956894442551158e-07,1,0
fp32,50,1,0,1.2186284203963282e-06,1.0907757262610838e-06,1,0
fp32,51,1,0,7.4049405007770019e-07,9.1071820340426319e-07,1,0
fp32,52,1,0,7.2509711657176013e-07,1.1120335328807859e-06,1,0
fp32,53,1,0,1.4553083094170916e-07,1.4669497182913785e-07,1,0
fp32,54,1,0,2.1524732041200423e-07,4.6857985742732366e-07,1,0
fp32,55,1,0,8.900874353123811e-07,1.9376593691115242e-06,1,0
fp32,56,0,0,6.0768088339102633e-08,1.2439521859991425e-07,1,0
fp32,57,0,0,1.130554274197948e-06,1.5050295082419396e-06,1,0
fp32,58,1,0,3.9562337583731733e-07,9.1159529161758999e-07,1,0
fp32,59,1,0,6.4315953984817043e-07,6.4542151416346889e-07,1,0
fp32,60,1,0,5.2481004875204462e-08,1.3779156804803859e-07,1,0
fp32,61,1,0,5.8289669535582789e-07,5.4480611123893761e-07,1,0
fp32,62,1,0,2.754310290953299e-08,6.0019166302763188e-08,1,0
fp32,63,1,0,5.6250621982556481e-07,1.0615314011863722e-06,1,0
fp32,64,0,0,2.0716398907438816e-07,2.6456362442540382e-07,1,0
fp32,65,0,0,3.9760553427470313e-07,6.7398733652943248e-07,1,0
fp32,66,0,0,4.2319976190086095e-07,5.3590545954974802e-07,1,0
fp32,67,0,0,3.4734024989546697e-08,3.6717976292335519e-08,1,0
fp32,68,1,0,6.8043081968838237e-07,8.5749823014501488e-07,1,0
fp32,69,1,0,6.6427407396929539e-07,1.7880158036453753e-06,1,0
fp32,70,0,0,5.3216124973332057e-07,1.8893340980812528e-06,1,0
fp32,71,0,0,1.188966610943254e-06,1.4549301209058698e-06,1,0
fp32,72,0,0,5.5726117853538426e-07,1.4731675047368361e-06,1,0
fp32,73,0,0,1.2863482758973532e-06,1.596047698511345e-06,1,0
fp32,74,1,0,3.9446135691179052e-08,3.4176511022696567e-07,1,0
fp32,75,0,0,9.4557374108461545e-07,2.0596824839365237e-06,1,0
fp32,76,1,0,6.1079835278476935e-07,1.3324189868702474e-06,1,0
fp32,77,0,0,2.3698110140912831e-07,1.0926448613015587e-06,1,0
fp32,78,0,0,6.9034031602299706e-07,1.9894847465670235e-06,1,0
fp32,79,1,0,7.2433883513411956e-07,1.7672238677795912e-06,1,0
fp32,80,0,0,1.6044581263585656e-07,4.9392396537367033e-07,1,0
fp32,81,1,0,4.0914485710530357e-07,7.9308195597647531e-07,1,0
fp32,82,0,0,1.5064719467439147e-06,1.9620284160367356e-06,1,0
fp32,83,1,0,2.2444486846850964e-07,1.9446935078291678e-06,1,0
fp32,84,1,0,1.8859395956027925e-07,5.4859089963369218e-07,1,0
fp32,85,0,0,4.9913394395417754e-07,1.41266759793491e-06,1,0
fp32,86,1,0,1.70410076272276e-07,4.3517897453219524e-07,1,0
fp32,87,1,0,4.2218327678256173e-07,1.022360807168356e-06,1,0
fp32,88,0,0,3.2309284359044455e-07,1.1241219261107261e-06,1,0
fp32,89,0,0,6.4477046990418785e-07,6.4482794119059827e-07,1,0
fp32,90,0,0,3.3962896184291935e-07,6.8914302464653697e-07,1,0
fp32,91,0,1,1.056364486062833e-05,1.0082256838793975e-06,1,0
fp32,92,1,0,8.9766257183043763e-07,1.5615790212296552e-06,1,0
fp32,93,0,1,1.3349595675116177e-05,1.611406282816683e-06,1,0
fp32,94,1,0,1.0273008932415451e-07,9.246506481662131e-08,1,0
fp32,95,0,1,7.5542248909599152e-06,1.0688251580914029e-06,1,0
fp32,96,1,0,9.2857891775821599e-07,1.3357632281657576e-06,1,0
fp32,97,0,0,1.5696304300760744e-07,2.3752613444439418e-07,1,0
fp32,98,0,0,7.3514666887319891e-07,1.3721027667965191e-06,1,0
fp32,99,1,0,7.6254884850968097e-07,1.376410520424669e-06,1,0
fp32,100,0,0,4.1231513447925749e-07,4.1572904257991539e-07,1,0
fp32,101,0,1,1.7893321403672502e-05,1.6785106097617644e-06,1,0
fp32,102,0,1,3.1900810371077171e-06,1.5030834534967065e-06,1,0
fp32,103,0,1,2.1923307302884609e-07,1.1330560054249629e-07,1,0
fp32,104,0,0,7.1591130179626816e-07,7.3033839392833144e-07,1,0
fp32,105,0,1,1.5759951708105291e-05,1.0615486181197769e-06,1,0
fp32,106,0,1,7.9412177411697371e-07,6.6951379651596744e-08,1,0
