method,timing_kind,repetition,value_ms
fp64,kernel,0,473.199554443
fp64,e2e,0,477.640777588
fp64,kernel,1,472.574310303
fp64,e2e,1,477.784576416
fp64,kernel,2,471.953857422
fp64,e2e,2,478.322723389
fp64,kernel,3,470.657714844
fp64,e2e,3,483.722167969
fp64,kernel,4,470.269287109
fp64,e2e,4,480.724487305
fp64,kernel,5,471.870025635
fp64,e2e,5,481.241912842
fp64,kernel,6,472.698913574
fp64,e2e,6,478.924835205
fp64,kernel,7,474.074737549
fp64,e2e,7,477.813293457
fp64,kernel,8,472.436889648
fp64,e2e,8,480.378723145
fp64,kernel,9,474.701019287
fp64,e2e,9,480.577484131
fp64,kernel,10,472.130950928
fp64,e2e,10,480.473693848
fp64,kernel,11,472.271209717
fp64,e2e,11,481.610900879
fp64,kernel,12,473.028991699
fp64,e2e,12,479.703918457
fp64,kernel,13,473.577819824
fp64,e2e,13,477.62197876
fp64,kernel,14,471.517181396
fp64,e2e,14,481.413604736
fp64,kernel,15,472.033081055
fp64,e2e,15,480.159820557
fp64,kernel,16,473.024108887
fp64,e2e,16,480.74786377
fp64,kernel,17,470.075836182
fp64,e2e,17,480.930114746
fp64,kernel,18,473.62979126
fp64,e2e,18,483.211456299
fp64,kernel,19,470.806396484
fp64,e2e,19,480.804626465
fp64,kernel,20,473.431549072
fp64,e2e,20,481.576843262
fp64,kernel,21,476.566802979
fp64,e2e,21,482.08996582
fp64,kernel,22,472.493652344
fp64,e2e,22,478.166778564
fp64,kernel,23,472.683258057
fp64,e2e,23,478.255004883
fp64,kernel,24,472.630340576
fp64,e2e,24,478.960388184
fp64,kernel,25,474.489196777
fp64,e2e,25,479.921295166
fp64,kernel,26,475.833282471
fp64,e2e,26,479.910888672
fp64,kernel,27,469.14956665
fp64,e2e,27,479.73638916
fp64,kernel,28,470.584869385
fp64,e2e,28,480.590789795
fp64,kernel,29,475.58972168
fp64,e2e,29,479.537811279
fp32,kernel,0,37.3464012146
fp32,e2e,0,43.9826545715
fp32,kernel,1,37.1415367126
fp32,e2e,1,44.0533447266
fp32,kernel,2,37.104927063
fp32,e2e,2,44.0247344971
fp32,kernel,3,37.5123825073
