index,h_relative,near_knot,fd,min_side_relative_error,branch_change,status
0,0.001,1,0.022390622060385591,1.7014233975126492e-07,0,1
1,0.001,0,0.012874550035190937,2.5660875187014185e-07,0,1
2,0.001,0,0.017882261707342726,1.6861357294894942e-07,0,1
3,0.001,0,0.019408417964128986,1.726766448930873e-07,0,1
4,0.001,0,0.042186718012691249,4.2273064762512725e-07,0,1
5,0.001,0,0.02953906909620458,0.019221645088475084,0,1
6,0.001,0,0.041058807552777597,2.7487120281658761e-07,0,1
7,0.001,0,0.018637948028794857,9.2356956395899795e-08,0,1
8,0.001,0,0.033912017544941754,6.4659284894510473e-07,0,1
9,0.001,1,0.041388955994083675,0.019559913926054284,0,1
10,0.001,1,0.026901745775106425,0.015408492160095304,0,1
11,0.001,0,0.019412809502926807,1.5508639886518386e-07,0,1
12,0.001,0,0.016310857824834667,0.014157553591203955,0,1
13,0.001,1,0.020223884737958952,0.0082562279028347233,0,1
14,0.001,0,0.016847559405247955,5.0334830897369542e-07,0,1
15,0.001,0,0.030892626733241165,1.3467124381275271e-07,0,1
16,0.001,0,0.010783611200087742,3.8728908792586471e-07,0,1
17,0.001,0,0.020351268512421136,6.5576151869731243e-08,0,1
18,0.001,0,0.037364256982857634,1.5752206233946633e-07,0,1
19,0.001,0,0.02853222696269446,1.4667930059327331e-08,0,1
20,0.001,1,0.021836357480452213,0.0099132175384517018,0,1
21,0.001,1,0.01817724875595483,0.0076157156322763384,0,1
22,0.001,1,0.019841953514699893,0.0096043742256905779,0,1
23,0.001,0,0.017248412405019117,3.2766612450498129e-07,0,1
24,0.001,1,0.018936445193755737,0.0091530696748924213,0,1
25,0.001,0,0.023019364561811778,1.6502232772168724e-07,0,1
26,0.001,0,0.025809659433914077,6.3688658495245576e-07,0,1
27,0.001,1,0.020607103594425105,0.0038978391696310789,0,1
28,0.001,1,0.024439486482527008,0.031626462964000297,0,1
29,0.001,0,0.018726470617391404,1.7451661849723559e-07,0,1
30,0.001,0,0.056267882021359357,5.7660908815440459e-06,0,1
31,0.001,0,0.046885113440244444,6.6363129819847021e-07,0,1
32,0.001,0,0.013381310424550694,5.9340676333945139e-07,0,1
33,0.001,1,0.011545409975889428,0.0013425452156362659,0,1
34,0.001,0,0.015454105764890454,3.3011971465189605e-07,0,1
35,0.001,1,0.025202820618041712,0.010885505512642151,0,1
36,0.001,1,0.020039285068554576,0.0038852793269923635,0,1
37,0.001,1,0.014884994113952289,0.034605192303885174,0,1
38,0.001,0,0.018163602923366124,3.4126153101840581e-08,0,1
39,0.001,0,0.039250615146663538,5.0413267549661067e-07,0,1
40,0.001,1,0.02221506935829419,0.003889529837290853,0,1
41,0.001,0,0.01617848233156317,1.0681698549113008e-08,0,1
42,0.001,1,0.018601410288415426,0.0039589819476223299,0,1
43,0.001,0,0.018750588129399674,1.0894072155138309e-07,0,1
44,0.001,0,0.014090630309241589,1.013452612035393e-06,0,1
45,0.001,0,0.043803188335569933,2.3619669556255337e-07,0,1
46,0.001,0,0.017142372113865597,6.5619148285798051e-07,0,1
47,0.001,0,0.012839492024949811,1.6621506638449145e-06,0,1
48,0.001,0,0.015983139079474303,2.4483205505954413e-07,0,1
49,0.001,1,0.016350963502362217,0.0052688672618278693,0,1
50,0.001,1,0.015432142347416189,0.0019597069424772775,0,1
51,0.001,1,0.01395383291628303,0.0052603205038202318,0,1
52,0.001,1,0.018598997571204891,0.0040602725218130201,0,1
53,0.001,1,0.012532632478231037,5.8407963216990831e-07,0,1
54,0.001,1,0.012183667619337197,0.004208936258164769,0,1
55,0.001,1,0.012040222741746518,0.0042530340180016108,0,1
56,0.001,0,0.016111505257550496,8.426661322205289e-07,0,1
57,0.001,0,0.071669889121843064,1.0789765360872695e-07,0,1
58,0.001,1,0.022271919291907749,0.0082611610630628721,0,1
59,0.001,1,0.014407227744224354,1.0447907892168634e-06,0,1
60,0.001,1,0.022945434320026915,0.012564226031484936,0,1
61,0.001,1,0.013806741477766579,9.6838162508075272e-08,0,1
