algorithm,threads,repetition,time_ms,failures,checksum
bisection,96,0,680.493003689,0,-4052938.3265023562
bisection,96,1,680.100544356,0,-4052938.3265023562
bisection,96,2,679.603404365,0,-4052938.3265023562
bisection,96,3,680.663554929,0,-4052938.3265023562
bisection,96,4,680.184023455,0,-4052938.3265023562
bisection,96,5,679.985824041,0,-4052938.3265023562
bisection,96,6,680.265613832,0,-4052938.3265023562
bisection,96,7,680.748963729,0,-4052938.3265023562
bisection,96,8,679.892093875,0,-4052938.3265023562
bisection,96,9,680.352724157,0,-4052938.3265023562
bisection,96,10,680.232154205,0,-4052938.3265023562
bisection,96,11,680.405364372,0,-4052938.3265023562
bisection,96,12,680.194513872,0,-4052938.3265023562
bisection,96,13,680.923734792,0,-4052938.3265023562
bisection,96,14,680.493704975,0,-4052938.3265023562
bisection,96,15,680.537824519,0,-4052938.3265023562
bisection,96,16,680.511413142,0,-4052938.3265023562
bisection,96,17,680.111935362,0,-4052938.3265023562
bisection,96,18,680.247884244,0,-4052938.3265023562
bisection,96,19,680.975864641,0,-4052938.3265023562
bisection,96,20,680.505123921,0,-4052938.3265023562
bisection,96,21,679.928554222,0,-4052938.3265023562
bisection,96,22,680.484384298,0,-4052938.3265023562
bisection,96,23,680.512303486,0,-4052938.3265023562
bisection,96,24,680.247165263,0,-4052938.3265023562
bisection,96,25,681.820504367,0,-4052938.3265023562
bisection,96,26,680.344414897,0,-4052938.3265023562
bisection,96,27,680.164974183,0,-4052938.3265023562
bisection,96,28,680.593954399,0,-4052938.3265023562
bisection,96,29,680.376085453,0,-4052938.3265023562
brent,96,0,636.86206378,0,-4052938.3266277295
brent,96,1,636.37863379,0,-4052938.3266277295
brent,96,2,637.583353557,0,-4052938.3266277295
brent,96,3,636.897734366,0,-4052938.3266277295
brent,96,4,636.339773424,0,-4052938.3266277295
brent,96,5,637.291084044,0,-4052938.3266277295
brent,96,6,636.72357332,0,-4052938.3266277295
brent,96,7,636.693703011,0,-4052938.3266277295
brent,96,8,637.925534509,0,-4052938.3266277295
brent,96,9,636.766484007,0,-4052938.3266277295
brent,96,10,636.628513224,0,-4052938.3266277295
brent,96,11,637.029062957,0,-4052938.3266277295
brent,96,12,636.839782819,0,-4052938.3266277295
brent,96,13,636.574293487,0,-4052938.3266277295
brent,96,14,636.83278393,0,-4052938.3266277295
brent,96,15,636.727584526,0,-4052938.3266277295
brent,96,16,636.733504012,0,-4052938.3266277295
brent,96,17,636.736253276,0,-4052938.3266277295
brent,96,18,636.963924393,0,-4052938.3266277295
brent,96,19,636.720493436,0,-4052938.3266277295
brent,96,20,636.345763691,0,-4052938.3266277295
brent,96,21,637.256973423,0,-4052938.3266277295
brent,96,22,636.852224357,0,-4052938.3266277295
brent,96,23,636.388283223,0,-4052938.3266277295
brent,96,24,637.53413409,0,-4052938.3266277295
brent,96,25,637.037113309,0,-4052938.3266277295
brent,96,26,636.125313118,0,-4052938.3266277295
brent,96,27,637.194213457,0,-4052938.3266277295
