algorithm,threads,repetition,time_ms,failures,checksum
bisection,1,0,11644.5243526,0,-4052938.3265023562
bisection,1,1,11642.9379415,0,-4052938.3265023562
bisection,1,2,11643.4140718,0,-4052938.3265023562
bisection,1,3,11644.729252,0,-4052938.3265023562
bisection,1,4,11642.0281706,0,-4052938.3265023562
bisection,1,5,11642.4821625,0,-4052938.3265023562
bisection,1,6,11642.3986321,0,-4052938.3265023562
bisection,1,7,11644.1740114,0,-4052938.3265023562
bisection,1,8,11642.4230719,0,-4052938.3265023562
bisection,1,9,11643.8888721,0,-4052938.3265023562
bisection,1,10,11644.8575417,0,-4052938.3265023562
bisection,1,11,11643.3713119,0,-4052938.3265023562
bisection,1,12,11643.5423922,0,-4052938.3265023562
bisection,1,13,11644.6687523,0,-4052938.3265023562
bisection,1,14,11646.2943833,0,-4052938.3265023562
bisection,1,15,11647.8721639,0,-4052938.3265023562
bisection,1,16,11648.6318344,0,-4052938.3265023562
bisection,1,17,11650.0352658,0,-4052938.3265023562
bisection,1,18,11648.2984843,0,-4052938.3265023562
bisection,1,19,11649.2468351,0,-4052938.3265023562
bisection,1,20,11654.0121976,0,-4052938.3265023562
bisection,1,21,11645.4193834,0,-4052938.3265023562
bisection,1,22,11647.9706531,0,-4052938.3265023562
bisection,1,23,11651.2783766,0,-4052938.3265023562
bisection,1,24,11654.715918,0,-4052938.3265023562
bisection,1,25,11659.6945105,0,-4052938.3265023562
bisection,1,26,11660.5880307,0,-4052938.3265023562
bisection,1,27,11654.5809377,0,-4052938.3265023562
bisection,1,28,11655.8301784,0,-4052938.3265023562
bisection,1,29,11656.8591781,0,-4052938.3265023562
brent,1,0,8389.84344061,0,-4052938.3266277295
brent,1,1,8389.41777963,0,-4052938.3266277295
brent,1,2,8388.67011946,0,-4052938.3266277295
brent,1,3,8390.62423166,0,-4052938.3266277295
brent,1,4,8389.25471064,0,-4052938.3266277295
brent,1,5,8387.40970846,0,-4052938.3266277295
brent,1,6,8386.96549926,0,-4052938.3266277295
brent,1,7,8389.3249305,0,-4052938.3266277295
brent,1,8,8389.74690158,0,-4052938.3266277295
brent,1,9,8387.47385889,0,-4052938.3266277295
brent,1,10,8387.61678897,0,-4052938.3266277295
brent,1,11,8388.33415974,0,-4052938.3266277295
brent,1,12,8387.69536,0,-4052938.3266277295
brent,1,13,8387.9039092,0,-4052938.3266277295
brent,1,14,8389.71624058,0,-4052938.3266277295
brent,1,15,8389.46062047,0,-4052938.3266277295
brent,1,16,8387.04598043,0,-4052938.3266277295
brent,1,17,8389.52742051,0,-4052938.3266277295
brent,1,18,8393.4533922,0,-4052938.3266277295
brent,1,19,8389.39189073,0,-4052938.3266277295
brent,1,20,8392.03937072,0,-4052938.3266277295
brent,1,21,8393.06548145,0,-4052938.3266277295
brent,1,22,8394.45635304,0,-4052938.3266277295
brent,1,23,8390.37686121,0,-4052938.3266277295
brent,1,24,8391.67479053,0,-4052938.3266277295
brent,1,25,8392.14600157,0,-4052938.3266277295
brent,1,26,8393.3856925,0,-4052938.3266277295
brent,1,27,8394.62969359,0,-4052938.3266277295
brent,1,28,8392.4460616,0,-4052938.3266277295
brent,1,29,8393.15142203,0,-4052938.3266277295
illinois,1,0,11990.021497,0,-4052938.3265023562
illinois,1,1,11987.8096757,0,-4052938.3265023562
illinois,1,2,11990.0446171,0,-4052938.3265023562
illinois,1,3,11992.2319679,0,-4052938.3265023562
illinois,1,4,11993.1696784,0,-4052938.3265023562
illinois,1,5,11989.4949067,0,-4052938.3265023562
illinois,1,6,11989.7264671,0,-4052938.3265023562
illinois,1,7,11991.9545986,0,-4052938.3265023562
illinois,1,8,11985.9104548,0,-4052938.3265023562
illinois,1,9,11989.264207,0,-4052938.3265023562
illinois,1,10,11987.8253471,0,-4052938.3265023562
illinois,1,11,11987.2225756,0,-4052938.3265023562
illinois,1,12,11987.5246258,0,-4052938.3265023562
illinois,1,13,11989.4812573,0,-4052938.3265023562
illinois,1,14,11991.9447191,0,-4052938.3265023562
illinois,1,15,11988.6551863,0,-4052938.3265023562
illinois,1,16,11989.1157169,0,-4052938.3265023562
illinois,1,17,11992.1766985,0,-4052938.3265023562
illinois,1,18,11995.9263699,0,-4052938.3265023562
illinois,1,19,11996.2243102,0,-4052938.3265023562
illinois,1,20,11996.4229194,0,-4052938.3265023562
illinois,1,21,11995.8854895,0,-4052938.3265023562
illinois,1,22,11993.2760997,0,-4052938.3265023562
illinois,1,23,11989.7240167,0,-4052938.3265023562
illinois,1,24,11988.7650972,0,-4052938.3265023562
illinois,1,25,11990.1908273,0,-4052938.3265023562
illinois,1,26,11993.5191991,0,-4052938.3265023562
illinois,1,27,11995.9471794,0,-4052938.3265023562
illinois,1,28,11998.6286517,0,-4052938.3265023562
illinois,1,29,12001.9391831,0,-4052938.3265023562
adaptive_compacted,1,0,8668.57529338,0,-4052938.3266277295
adaptive_compacted,1,1,8668.98546275,0,-4052938.3266277295
adaptive_compacted,1,2,8669.92686503,0,-4052938.3266277295
adaptive_compacted,1,3,8668.85850299,0,-4052938.3266277295
adaptive_compacted,1,4,8670.89864425,0,-4052938.3266277295
adaptive_compacted,1,5,8667.56714229,0,-4052938.3266277295
adaptive_compacted,1,6,8666.37940146,0,-4052938.3266277295
adaptive_compacted,1,7,8668.96568332,0,-4052938.3266277295
adaptive_compacted,1,8,8670.4539042,0,-4052938.3266277295
adaptive_compacted,1,9,8668.18573233,0,-4052938.3266277295
adaptive_compacted,1,10,8668.27311367,0,-4052938.3266277295
adaptive_compacted,1,11,8668.07005368,0,-4052938.3266277295
adaptive_compacted,1,12,8670.35819497,0,-4052938.3266277295
adaptive_compacted,1,13,8665.10918271,0,-4052938.3266277295
adaptive_compacted,1,14,8666.05001222,0,-4052938.3266277295
adaptive_compacted,1,15,8668.20524354,0,-4052938.3266277295
adaptive_compacted,1,16,8668.82578377,0,-4052938.3266277295
adaptive_compacted,1,17,8667.35308245,0,-4052938.3266277295
adaptive_compacted,1,18,8670.8737351,0,-4052938.3266277295
adaptive_compacted,1,19,8668.28830354,0,-4052938.3266277295
adaptive_compacted,1,20,8664.29002117,0,-4052938.3266277295
adaptive_compacted,1,21,8668.0052029,0,-4052938.3266277295
adaptive_compacted,1,22,8667.81158466,0,-4052938.3266277295
adaptive_compacted,1,23,8667.56500304,0,-4052938.3266277295
adaptive_compacted,1,24,8665.69746193,0,-4052938.3266277295
adaptive_compacted,1,25,8668.1280639,0,-4052938.3266277295
adaptive_compacted,1,26,8664.93140161,0,-4052938.3266277295
adaptive_compacted,1,27,8665.34122173,0,-4052938.3266277295
adaptive_compacted,1,28,8668.99916437,0,-4052938.3266277295
adaptive_compacted,1,29,8668.97393391,0,-4052938.3266277295
