channel,unit,finite,nonfinite,min,median,max
AB1N001Vx,m/s,48001,0,8.32541307820535,15.496778022690734,24.819107983992303
AB1N002Vx,m/s,48001,0,7.880431392360606,15.161123589950828,23.68219200780493
AB1N003Vx,m/s,48001,0,6.716191054554698,15.373097992470843,23.78300126196838
AB1N004Vx,m/s,48001,0,7.436055706166027,15.54876200611087,23.526692686330946
AB1N005Vx,m/s,48001,0,8.479400297580154,15.703142864990719,24.312286654526073
AB1N006Vx,m/s,48001,0,7.447918052939289,15.746517585211263,24.322541574833178
AB1N007Vx,m/s,48001,0,6.769041774696025,15.724630326749729,23.99686826707231
AB1N008Vx,m/s,48001,0,5.288275964710452,15.684243510293301,24.99003811731062
AB1N009Vx,m/s,48001,0,5.731808933527753,15.634996081484264,24.815019460016025
AB1N010Vx,m/s,48001,0,5.904491849549685,15.59814776849366,24.300654999085246
AB1N011Vx,m/s,48001,0,5.065241005258782,15.535006415722227,24.44002244081373
AB1N012Vx,m/s,48001,0,5.169737272604662,15.391388005184854,23.72877908190142
AB1N013Vx,m/s,48001,0,5.122817445689183,15.280488099349892,23.331235885847065
AB1N014Vx,m/s,48001,0,5.3141447863010605,15.092499350047584,24.74069324235799
AB1N015Vx,m/s,48001,0,5.236774812837298,14.916262234426195,22.479204332337176
AB1N016Vx,m/s,48001,0,5.146292010411903,14.799311687285096,22.05292171328635
AB1N017Vx,m/s,48001,0,3.4461664484061605,14.709847015363236,23.02115490441045
AB1N018Vx,m/s,48001,0,1.613944391608742,14.682514054642708,23.44102455609388
AB1N019Vx,m/s,48001,0,0.6888636895811104,14.67061047581655,23.273478634240227
AB2N001Vx,m/s,48001,0,8.739169218029092,15.467342325864024,24.069940576652503
AB2N002Vx,m/s,48001,0,8.84772785717622,15.130404006487508,23.69036049013366
AB2N003Vx,m/s,48001,0,8.127366882181116,15.315090060244971,23.451168887432544
AB2N004Vx,m/s,48001,0,8.114807105989824,15.502314382965093,23.018917960374715
AB2N005Vx,m/s,48001,0,7.228170407485278,15.660463627921967,23.03862625858025
AB2N006Vx,m/s,48001,0,7.192062860870937,15.714846948411422,23.32276992578922
AB2N007Vx,m/s,48001,0,6.981540885442386,15.691477804235005,23.806016288509532
AB2N008Vx,m/s,48001,0,5.007154240935637,15.60823388530758,24.442491967483466
AB2N009Vx,m/s,48001,0,5.867826027690974,15.623051216944186,24.46307203093392
AB2N010Vx,m/s,48001,0,6.087244858501786,15.561544498254163,24.034805012567855
