channel,unit,finite,nonfinite,min,median,max
AB1N001Vx,m/s,48001,0,4.609552452273383,7.556546909849112,11.887292111755093
AB1N002Vx,m/s,48001,0,4.379471255549988,7.44589190969082,11.740103746044985
AB1N003Vx,m/s,48001,0,4.159813259580926,7.627938875563279,12.175846987659122
AB1N004Vx,m/s,48001,0,3.818548467467895,7.752582910225318,12.011345403493111
AB1N005Vx,m/s,48001,0,3.5376187817319478,7.813500299851634,12.128994390202914
AB1N006Vx,m/s,48001,0,3.4751684754232675,7.821189444874517,12.36755237159875
AB1N007Vx,m/s,48001,0,3.5738101414420123,7.833443492511213,12.752824848217296
AB1N008Vx,m/s,48001,0,3.699033056890642,7.859709978181253,12.400036685602016
AB1N009Vx,m/s,48001,0,3.8161658624235884,7.838118444362341,12.13673782430327
AB1N010Vx,m/s,48001,0,2.9436589110161946,7.8095783945852055,12.804285389445317
AB1N011Vx,m/s,48001,0,3.1267925571204214,7.819312632810078,12.431303739383697
AB1N012Vx,m/s,48001,0,2.516114715639477,7.831017180071205,12.202424916936295
AB1N013Vx,m/s,48001,0,2.055898633723092,7.828756273717535,12.377505608654296
AB1N014Vx,m/s,48001,0,2.440992185518666,7.7751919564400485,11.537914692908926
AB1N015Vx,m/s,48001,0,1.490310256966021,7.736561409830063,11.579942017724864
AB1N016Vx,m/s,48001,0,1.571269960899977,7.6982177348242935,11.2173979860574
AB1N017Vx,m/s,48001,0,0.6502859616616647,7.681094636851884,12.133191479047833
AB1N018Vx,m/s,48001,0,-0.40641559041437203,7.669521268737136,11.765610066291176
AB1N019Vx,m/s,48001,0,-0.5562269604073071,7.6447333429164335,12.020541920199118
AB2N001Vx,m/s,48001,0,4.475232580428953,7.584553421811339,12.45704617201803
AB2N002Vx,m/s,48001,0,4.436782094983769,7.48173412647974,12.638162741197267
AB2N003Vx,m/s,48001,0,3.9851233379923916,7.630875787335,12.570541742601025
AB2N004Vx,m/s,48001,0,4.204691968482958,7.741115810145606,12.585498328413436
AB2N005Vx,m/s,48001,0,3.978379302272537,7.805577831454524,13.136168440461162
AB2N006Vx,m/s,48001,0,3.28866419941204,7.832620194658794,12.816853799890758
AB2N007Vx,m/s,48001,0,3.439087135976972,7.841681293066604,12.188248573435114
AB2N008Vx,m/s,48001,0,3.574259126381994,7.863057653868363,12.354631945980866
AB2N009Vx,m/s,48001,0,3.787848610917279,7.870318261832264,12.457583717471078
AB2N010Vx,m/s,48001,0,3.5749437704603224,7.84093357228687,12.275739978821065
AB2N011Vx,m/s,48001,0,3.3044109269966553,7.845020406536396,12.068291473180292
AB2N012Vx,m/s,48001,0,2.650075610811171,7.848421908941733,12.091972552137133
AB2N013Vx,m/s,48001,0,2.6071125708434035,7.818609672676294,12.140599708898753
AB2N014Vx,m/s,48001,0,1.7895702678073864,7.783352381062472,11.847865353020007
AB2N015Vx,m/s,48001,0,0.171688517528082,7.764418772837091,11.880830864648036
AB2N016Vx,m/s,48001,0,-0.8082021583773995,7.722348554393861,11.501940552862917
AB2N017Vx,m/s,48001,0,-2.02607938768569,7.708753885351772,11.419528178997986
AB2N018Vx,m/s,48001,0,-3.5544106252150067,7.6690300692591755,11.720077963735177
AB2N019Vx,m/s,48001,0,-4.296258562055671,7.649202935700676,11.60479373876799
AB3N001Vx,m/s,48001,0,4.364361823328315,7.57090875329635,11.740481192137443
AB3N002Vx,m/s,48001,0,4.2490063763689285,7.464488024056475,11.752553396013989
AB3N003Vx,m/s,48001,0,4.056593022978668,7.632775245683276,12.268231292937175
AB3N004Vx,m/s,48001,0,3.9022586334482523,7.727535643521144,12.320429873720478
AB3N005Vx,m/s,48001,0,4.000675170574953,7.798043291780039,12.578112670637706
AB3N006Vx,m/s,48001,0,3.5811760238626444,7.8427343842874055,12.364524561011184
AB3N007Vx,m/s,48001,0,3.9633237755282194,7.827614246841054,12.231373743903225
AB3N008Vx,m/s,48001,0,3.5377544226131024,7.836804852394875,12.26589658972262
AB3N009Vx,m/s,48001,0,3.713925894025044,7.8504707147260575,12.265934921950462
AB3N010Vx,m/s,48001,0,3.4639061465721817,7.835015037779345,12.17801212104377
AB3N011Vx,m/s,48001,0,3.3402398107917395,7.824350361926742,12.184785217764334
AB3N012Vx,m/s,48001,0,2.574665821049344,7.814782923540297,12.207865558723485
AB3N013Vx,m/s,48001,0,3.0826255319417504,7.804095828633412,12.685508115911807
AB3N014Vx,m/s,48001,0,3.0064360432960626,7.761213973910014,11.823593450213398
AB3N015Vx,m/s,48001,0,2.240270704624637,7.742548954254107,11.565469572045702
AB3N016Vx,m/s,48001,0,0.9065554470454682,7.718358390842326,11.610088320097633
AB3N017Vx,m/s,48001,0,-0.19963532828054298,7.691958335125279,11.374806100759258
AB3N018Vx,m/s,48001,0,-1.1389593758463707,7.670709204950144,11.533395454045358
AB3N019Vx,m/s,48001,0,-1.6468638292642828,7.660363856759227,11.674422639759777
AB1N001Vy,m/s,48001,0,-3.9686198879987717,1.894468068949734,7.713134535487312
AB1N002Vy,m/s,48001,0,-2.0145352237620737,3.642302102399138,9.354513230890406
AB1N003Vy,m/s,48001,0,1.0184449424570399,7.121971797246814,12.566016995792715
AB1N004Vy,m/s,48001,0,4.548574657047096,10.55581363793453,15.173258114168009
AB1N005Vy,m/s,48001,0,8.838206165043953,14.859412924259606,21.376197812970545
AB1N006Vy,m/s,48001,0,13.984960388547188,20.042619571181437,24.922826807123002
AB1N007Vy,m/s,48001,0,19.619771192913834,25.246983304611394,29.742682729169715
AB1N008Vy,m/s,48001,0,24.576452013961003,30.433584939925417,35.96418225494388
AB1N009Vy,m/s,48001,0,30.008366071945517,35.66328144505239,41.33534290904334
AB1N010Vy,m/s,48001,0,34.43352801826464,40.82807894303688,45.80163257733629
AB1N011Vy,m/s,48001,0,39.80973100263608,46.03736436548861,50.95635835186742
AB1N012Vy,m/s,48001,0,45.756659174905664,51.21423091701788,56.532525539866526
AB1N013Vy,m/s,48001,0,50.78394005002183,56.37757526217505,61.9480396849233
AB1N014Vy,m/s,48001,0,55.817660122827995,61.5653951795315,67.92789029438165
AB1N015Vy,m/s,48001,0,60.89676061983786,66.75326044248779,72.6731328275209
AB1N016Vy,m/s,48001,0,65.47168647432329,71.06086483810105,76.73618002085867
AB1N017Vy,m/s,48001,0,68.73606743780763,74.48171025243354,80.33568002551057
AB1N018Vy,m/s,48001,0,72.25396108332545,77.92785383581139,84.5261657809055
AB1N019Vy,m/s,48001,0,74.12777138315043,79.63429613548426,87.16295758258781
AB2N001Vy,m/s,48001,0,-4.3267881043116,1.8793504622531425,8.358688561860946
AB2N002Vy,m/s,48001,0,-2.594442635392234,3.6172110116749705,10.247224599143417
AB2N003Vy,m/s,48001,0,1.4297055552262425,7.1013415641252955,12.86545833775804
AB2N004Vy,m/s,48001,0,4.4383034920633655,10.49561442507891,16.103167917890588
AB2N005Vy,m/s,48001,0,8.749349683106924,14.824151444840485,20.869529238239085
AB2N006Vy,m/s,48001,0,14.367560337002216,20.01539821724647,24.854298462649943
AB2N007Vy,m/s,48001,0,19.372676283814844,25.24100938971005,29.745842879023336
AB2N008Vy,m/s,48001,0,24.205141439447413,30.429620381201943,35.77974544601651
AB2N009Vy,m/s,48001,0,29.60208972652057,35.64607682584593,40.36781773728238
AB2N010Vy,m/s,48001,0,34.72856172552234,40.825144005350516,45.628290482444726
AB2N011Vy,m/s,48001,0,40.1177591350234,46.02364871607186,50.89328905839314
AB2N012Vy,m/s,48001,0,45.32183233570491,51.19890230441355,56.34464385219489
AB2N013Vy,m/s,48001,0,50.78795486621291,56.36426990616639,61.9375949559823
AB2N014Vy,m/s,48001,0,55.09970484696895,61.56763989136003,67.53823323598003
AB2N015Vy,m/s,48001,0,61.33880887810836,66.7556608481881,72.53068846070786
AB2N016Vy,m/s,48001,0,65.65169192859383,71.05800181207677,76.28697034142492
AB2N017Vy,m/s,48001,0,68.46953700179608,74.48421926580065,80.35781230249228
AB2N018Vy,m/s,48001,0,72.81041159819739,77.91429112119337,83.31621840249576
AB2N019Vy,m/s,48001,0,74.27693768694016,79.63181423534871,85.70035851563628
AB3N001Vy,m/s,48001,0,-4.298884383611812,1.8975968153809746,7.31511258458427
AB3N002Vy,m/s,48001,0,-2.61200572485257,3.633855887486309,9.188805793466944
AB3N003Vy,m/s,48001,0,1.6786439865354368,7.071161709558052,12.716169370786767
AB3N004Vy,m/s,48001,0,5.662691729207354,10.497074959654658,15.077623265165052
AB3N005Vy,m/s,48001,0,9.422424973925143,14.837931363645755,20.58472190673382
AB3N006Vy,m/s,48001,0,14.678419577723764,20.043075043665073,24.936616056678513
AB3N007Vy,m/s,48001,0,19.67436398632499,25.256849798558793,29.97122063027262
AB3N008Vy,m/s,48001,0,24.548786964067073,30.450082797969156,35.37758556850178
AB3N009Vy,m/s,48001,0,30.089822260417293,35.64489252926614,40.861237624620685
AB3N010Vy,m/s,48001,0,34.640561862939435,40.833966497013876,45.60744868149833
AB3N011Vy,m/s,48001,0,40.0194946699266,46.03068594008352,50.86569053174556
AB3N012Vy,m/s,48001,0,45.23956582568162,51.216824314432984,56.08263578521238
AB3N013Vy,m/s,48001,0,51.16225649358708,56.37099365383431,62.257806609950634
AB3N014Vy,m/s,48001,0,54.38455058189823,61.55874886718613,67.8420038491149
AB3N015Vy,m/s,48001,0,60.47357842390971,66.74150163495925,72.59829012752508
AB3N016Vy,m/s,48001,0,64.82324469642033,71.05701086153698,75.92215909580744
AB3N017Vy,m/s,48001,0,69.02066479173939,74.49015083209851,80.5422353078859
AB3N018Vy,m/s,48001,0,72.33304972116962,77.92850955635703,83.16484854582903
AB3N019Vy,m/s,48001,0,73.74715683539705,79.64845408218036,85.32588781158326
AB1N001Phi,deg,48001,0,0.0,0.0,180.0
AB1N002Phi,deg,48001,0,34.008712874782596,63.87952063744267,102.27130014675214
AB1N003Phi,deg,48001,0,23.45320608770749,47.2036458876097,84.72447372316444
AB1N004Phi,deg,48001,0,19.23549134104118,36.3499986374295,67.15612808684122
AB1N005Phi,deg,48001,0,12.602679861635824,19.759192139139657,41.90548532900078
AB1N006Phi,deg,48001,0,9.908408218859458,15.689797838328424,32.259939534055235
AB1N007Phi,deg,48001,0,8.334605531523257,13.183041738067388,24.769023382918828
AB1N008Phi,deg,48001,0,6.71795066144654,11.001203718394965,18.66940140960001
AB1N009Phi,deg,48001,0,5.042872354247913,8.791862137820655,15.883230549602498
AB1N010Phi,deg,48001,0,3.4986189081044436,7.425733202078303,14.425964582809822
AB1N011Phi,deg,48001,0,2.0651001238408364,5.88521211125892,11.960387241349547
AB1N012Phi,deg,48001,0,1.0225808879274252,4.818699010648192,10.164537262846268
AB1N013Phi,deg,48001,0,0.3819409456104206,4.3710716650847115,9.798345945896155
AB1N014Phi,deg,48001,0,-1.4890077548812413,3.70386633227645,8.468335763032423
AB1N015Phi,deg,48001,0,-1.8743551135065282,3.138774181277361,7.412593996869472
AB1N016Phi,deg,48001,0,-2.03790194814123,2.7153374306628963,6.451643460088839
AB1N017Phi,deg,48001,0,-1.993424447155436,2.4339046227571246,6.394186652864994
