domain,n,method,timing_kind,repetition,value_ms
bem,1,safeguarded_halley,kernel,0,0.28340691328
bem,1,safeguarded_halley,e2e,0,0.285834878683
bem,1,safeguarded_halley,kernel,1,0.282961547375
bem,1,safeguarded_halley,e2e,1,0.284772783518
bem,1,safeguarded_halley,kernel,2,0.283186942339
bem,1,safeguarded_halley,e2e,2,0.288080960512
bem,1,safeguarded_halley,kernel,3,0.283296197653
bem,1,safeguarded_halley,e2e,3,0.285888314247
bem,1,safeguarded_halley,kernel,4,0.283250331879
bem,1,safeguarded_halley,e2e,4,0.28484416008
bem,1,safeguarded_halley,kernel,5,0.283114492893
bem,1,safeguarded_halley,e2e,5,0.284738570452
bem,1,safeguarded_halley,kernel,6,0.283232361078
bem,1,safeguarded_halley,e2e,6,0.288600325584
bem,1,safeguarded_halley,kernel,7,0.282821387053
bem,1,safeguarded_halley,e2e,7,0.284796476364
bem,1,safeguarded_halley,kernel,8,0.283277899027
bem,1,safeguarded_halley,e2e,8,0.286046087742
bem,1,safeguarded_halley,kernel,9,0.283212721348
bem,1,safeguarded_halley,e2e,9,0.288740813732
bem,1,safeguarded_halley,kernel,10,0.283056885004
bem,1,safeguarded_halley,e2e,10,0.284813433886
bem,1,safeguarded_halley,kernel,11,0.283173173666
bem,1,safeguarded_halley,e2e,11,0.284764796495
bem,1,safeguarded_halley,kernel,12,0.283226341009
bem,1,safeguarded_halley,e2e,12,0.284953296185
bem,1,safeguarded_halley,kernel,13,0.282957971096
bem,1,safeguarded_halley,e2e,13,0.28811648488
bem,1,safeguarded_halley,kernel,14,0.283156424761
bem,1,safeguarded_halley,e2e,14,0.284726709127
bem,1,safeguarded_halley,kernel,15,0.283163964748
bem,1,safeguarded_halley,e2e,15,0.28504511714
bem,1,safeguarded_halley,kernel,16,0.283233612776
bem,1,safeguarded_halley,e2e,16,0.287687689066
bem,1,safeguarded_halley,kernel,17,0.283038049936
bem,1,safeguarded_halley,e2e,17,0.284687370062
bem,1,safeguarded_halley,kernel,18,0.283144026995
bem,1,safeguarded_halley,e2e,18,0.284751355648
bem,1,safeguarded_halley,kernel,19,0.283144921064
bem,1,safeguarded_halley,e2e,19,0.285831362009
bem,1,safeguarded_halley,kernel,20,0.283158004284
bem,1,safeguarded_halley,e2e,20,0.288592636585
bem,1,safeguarded_halley,kernel,21,0.283023774624
bem,1,safeguarded_halley,e2e,21,0.285907834768
bem,1,safeguarded_halley,kernel,22,0.283134400845
bem,1,safeguarded_halley,e2e,22,0.285861104727
bem,1,safeguarded_halley,kernel,23,0.283295989037
bem,1,safeguarded_halley,e2e,23,0.288024961948
