domain,n,method,timing_kind,speedup_vs_brent,ci95_low,ci95_high,faster_than_brent
bem,1,bracketed_secant,e2e,1.0478485845865688,1.0252176183175477,1.071717482892885,True
bem,1,bracketed_secant,kernel,1.0735300929481146,1.0735170563152387,1.0741811207722227,True
bem,1,safeguarded_halley,e2e,0.4312043372486131,0.43088794727841573,0.4356273315954125,False
bem,1,safeguarded_halley,kernel,0.4277873364596652,0.4277252343159546,0.4280470966896665,False
bem,1,safeguarded_newton,e2e,0.8249195633697601,0.8234294701947147,0.8328171828282409,False
bem,1,safeguarded_newton,kernel,0.8244745174062398,0.8238227244933877,0.8250178755669955,False
bem,8,bracketed_secant,e2e,1.4002098992508314,1.3535117700409192,1.424473905940555,True
bem,8,bracketed_secant,kernel,1.4205840258767455,1.4194700531576885,1.4206120417594725,True
bem,8,safeguarded_halley,e2e,0.5743795971808551,0.5715241702370301,0.5756332563770188,False
bem,8,safeguarded_halley,kernel,0.5658969931685573,0.5654538610575611,0.5659687802653723,False
bem,8,safeguarded_newton,e2e,1.0970639917810663,1.092917265934413,1.0989611222897022,True
bem,8,safeguarded_newton,kernel,1.0902674213130172,1.0889421440932736,1.091241268374102,True
bem,32,bracketed_secant,e2e,1.4030324194393333,1.402707536974616,1.403282334211977,True
bem,32,bracketed_secant,kernel,1.4564206865606648,1.4552199831338668,1.456519946185592,True
bem,32,safeguarded_halley,e2e,0.5600721335711004,0.5599363981912019,0.5601355574815025,False
bem,32,safeguarded_halley,kernel,0.555695445285459,0.5552327139972548,0.5558358814396825,False
bem,32,safeguarded_newton,e2e,1.0790571126425832,1.0789053843873913,1.0792389531316031,True
bem,32,safeguarded_newton,kernel,1.1184064201514137,1.1172507792106194,1.1190899148186915,True
bem,128,bracketed_secant,e2e,1.368050654304139,1.3671084767579007,1.4736127670006285,True
bem,128,bracketed_secant,kernel,1.4579616805264468,1.45728169413517,1.4587088541248063,True
bem,128,safeguarded_halley,e2e,0.5556780115548318,0.5554920225939752,0.5557957268064767,False
bem,128,safeguarded_halley,kernel,0.5512167624842641,0.551032197621371,0.551406654568865,False
bem,128,safeguarded_newton,e2e,1.0974032810616121,1.0739434902057097,1.1163103102234833,True
bem,128,safeguarded_newton,kernel,1.130537953957491,1.1303563899917866,1.1317984378103325,True
bem,512,bracketed_secant,e2e,1.4215409780358579,1.4210686859852006,1.426693145994379,True
bem,512,bracketed_secant,kernel,1.440404891374991,1.4400361079655113,1.4411271984503184,True
bem,512,safeguarded_halley,e2e,0.5492056965679288,0.5487658333360443,0.5513798911584993,False
bem,512,safeguarded_halley,kernel,0.5430936172907275,0.5429988475805814,0.5432916803267427,False
bem,512,safeguarded_newton,e2e,1.12492618099042,1.1220093126014203,1.1289151906388666,True
bem,512,safeguarded_newton,kernel,1.1272266053173632,1.1269322855071515,1.1277555942802513,True
bem,2048,bracketed_secant,e2e,1.401922763916051,1.4004705255448542,1.404019705333654,True
bem,2048,bracketed_secant,kernel,1.445076370614002,1.4447221406455126,1.4453417706259264,True
bem,2048,safeguarded_halley,e2e,0.5564112447547359,0.5522345251576469,0.5571523089174729,False
bem,2048,safeguarded_halley,kernel,0.537155964455353,0.5369540444454165,0.5383764067510015,False
bem,2048,safeguarded_newton,e2e,1.1214006858328516,1.1196882208229892,1.1231513023223956,True
bem,2048,safeguarded_newton,kernel,1.1350429527867105,1.13462027341248,1.1352247057617404,True
bem,8192,bracketed_secant,e2e,1.3742466133551765,1.3713411798698056,1.376706759578719,True
bem,8192,bracketed_secant,kernel,1.4424330224215207,1.4420693047008064,1.4458224631008771,True
bem,8192,safeguarded_halley,e2e,0.5647031146645438,0.564225723429186,0.5656076030368399,False
bem,8192,safeguarded_halley,kernel,0.5356292603633597,0.5354854816737534,0.5378695136363989,False
bem,8192,safeguarded_newton,e2e,1.1162969590797716,1.1148753661190562,1.11818541937173,True
bem,8192,safeguarded_newton,kernel,1.1347271278675999,1.1345133997466839,1.1375490087134397,True
bem,32768,bracketed_secant,e2e,1.2865140701583353,1.281071193632751,1.292744833329423,True
bem,32768,bracketed_secant,kernel,1.433224254737455,1.4330861478246575,1.4340640588335205,True
bem,32768,safeguarded_halley,e2e,0.6070717277291813,0.6052745188981772,0.6109650212986631,False
bem,32768,safeguarded_halley,kernel,0.531528157496432,0.5313300638126652,0.5317818963655324,False
bem,32768,safeguarded_newton,e2e,1.0933588523640274,1.089391345760176,1.0989368834677058,True
bem,32768,safeguarded_newton,kernel,1.134720092456416,1.1345249540381088,1.1351450753468786,True
bem,131072,bracketed_secant,e2e,1.2918555844502013,1.2885557525022844,1.2966560729265175,True
bem,131072,bracketed_secant,kernel,1.4453306789548193,1.4442564833183658,1.4466827645316758,True
bem,131072,safeguarded_halley,e2e,0.6177158484043834,0.6166334165147155,0.6197270246226311,False
bem,131072,safeguarded_halley,kernel,0.5439994729003492,0.5427559239758304,0.5443555550982436,False
bem,131072,safeguarded_newton,e2e,1.0866687618323836,1.0832885215418462,1.0898478544598693,True
bem,131072,safeguarded_newton,kernel,1.1239954398579766,1.122985793765873,1.1247338780223215,True
bem,524288,bracketed_secant,e2e,1.2768688466336078,1.2710867117620013,1.2885849812296126,True
bem,524288,bracketed_secant,kernel,1.4521047661298967,1.4515487641709994,1.4527728583362136,True
bem,524288,safeguarded_halley,e2e,0.6328139582526893,0.6303558494013184,0.6348497840559387,False
bem,524288,safeguarded_halley,kernel,0.5462806426391785,0.5457355140113966,0.5465771890641032,False
bem,524288,safeguarded_newton,e2e,1.0842634948776733,1.0796058615369992,1.087895311567151,True
bem,524288,safeguarded_newton,kernel,1.126846036440442,1.1262320766988492,1.1271176583661502,True
bem,2097152,bracketed_secant,e2e,1.2701497910632196,1.26598357581154,1.2758755292192976,True
bem,2097152,bracketed_secant,kernel,1.4515638118564003,1.4513402257204038,1.4519240053819031,True
bem,2097152,safeguarded_halley,e2e,0.6367680274545268,0.6346651785412964,0.6379342211411972,False
bem,2097152,safeguarded_halley,kernel,0.5477277489288542,0.5475899653009707,0.5479286126157885,False
bem,2097152,safeguarded_newton,e2e,1.084460507525391,1.080572152099037,1.0864520310123122,True
bem,2097152,safeguarded_newton,kernel,1.1261003015815556,1.12593254897232,1.1263193985468691,True
bem,8388608,bracketed_secant,e2e,1.2759465318625909,1.2695864461150412,1.278174528918871,True
bem,8388608,bracketed_secant,kernel,1.458179563057844,1.4466818835714814,1.4585488337978065,True
bem,8388608,safeguarded_halley,e2e,0.6389352823420889,0.6364514482468722,0.639267699801921,False
bem,8388608,safeguarded_halley,kernel,0.5488899370637996,0.5462547438074513,0.5489558937495875,False
bem,8388608,safeguarded_newton,e2e,1.0835559902226746,1.0792775325507884,1.0876897466054374,True
bem,8388608,safeguarded_newton,kernel,1.1249230173470173,1.1195270488175304,1.1311332966736736,True
bem,16777216,bracketed_secant,e2e,1.2732968768398822,1.2718779348000646,1.2749402816314233,True
bem,16777216,bracketed_secant,kernel,1.4513575492369644,1.449869188322637,1.4524636715533923,True
bem,16777216,safeguarded_halley,e2e,0.6378594965638837,0.6371571974636897,0.6385497675638566,False
bem,16777216,safeguarded_halley,kernel,0.5480357956833903,0.5477336076923264,0.5484429363720889,False
bem,16777216,safeguarded_newton,e2e,1.0834164625901415,1.0825429536120048,1.08460654357623,True
bem,16777216,safeguarded_newton,kernel,1.1254292151439502,1.1252084488941767,1.1262644300400326,True
cstr,1,bracketed_secant,e2e,1.0795864511354083,1.0792448655407278,1.0827282967817498,True
cstr,1,bracketed_secant,kernel,1.0805874071435853,1.0802990982855496,1.0809565889855992,True
cstr,1,safeguarded_halley,e2e,1.0605722116551703,1.0541098572207477,1.073102199167248,True
cstr,1,safeguarded_halley,kernel,1.0618064909468898,1.0615573495903876,1.0621136459569105,True
cstr,1,safeguarded_newton,e2e,1.0796462859690548,1.0793169748204774,1.0827815227030975,True
cstr,1,safeguarded_newton,kernel,1.0778686423932684,1.07759519442484,1.078216839089473,True
cstr,8,bracketed_secant,e2e,1.1850065438229285,1.1791033080307838,1.1866851497148936,True
cstr,8,bracketed_secant,kernel,1.1818515973316608,1.181434193025455,1.1821230928161992,True
cstr,8,safeguarded_halley,e2e,1.1621051238671498,1.1554742955972614,1.1688002496270482,True
cstr,8,safeguarded_halley,kernel,1.159797363423361,1.1582565450439206,1.1603959921518172,True
cstr,8,safeguarded_newton,e2e,1.1849188349377664,1.1792266676043557,1.1866212145942479,True
cstr,8,safeguarded_newton,kernel,1.180337617994776,1.1798884448249207,1.1806134823909618,True
cstr,32,bracketed_secant,e2e,1.1926352432199712,1.1924405421236246,1.1934949739127831,True
cstr,32,bracketed_secant,kernel,1.209285740100185,1.2089469119390412,1.2096029680412994,True
cstr,32,safeguarded_halley,e2e,1.1922548631484609,1.1918099157768756,1.192928522689441,True
cstr,32,safeguarded_halley,kernel,1.1941160172994683,1.1937573721233843,1.1944339498883787,True
cstr,32,safeguarded_newton,e2e,1.1927559877293332,1.192557780783224,1.223725583320476,True
cstr,32,safeguarded_newton,kernel,1.212853959207068,1.212497820930315,1.2131572348990858,True
cstr,128,bracketed_secant,e2e,1.1886272101226791,1.1813686642234869,1.2061883097229695,True
cstr,128,bracketed_secant,kernel,1.2042928020093189,1.203801054468277,1.2047947408728716,True
cstr,128,safeguarded_halley,e2e,1.1880715000537467,1.1808297999412822,1.2056854447274972,True
