split,path,gate,index,accepted,truth_good,false_accept,false_reject,root_abs,rho,tightness,beta,h,branch_distance,gradient_bound,residual,bracket,status
cal,fp32,residual,0,0,0,0,0,9.9861680924462348e-07,9.9912451641286047e-07,1.0005084103967978,9.9861635938665784e-07,1.3098599363360101e-05,1.9695018924459218e-06,0,1.3680220828475889e-06,0,1
cal,fp32,residual,1,0,0,0,0,1.3876314008953727e-07,1.3926313387228835e-07,1.003603217557836,1.387631556601631e-07,1.6982339104486832e-06,0.00056204012448497342,0,1.3578444094681526e-07,0,1
cal,fp32,residual,2,0,0,0,0,8.4740805350591586e-07,8.479080535059159e-07,1.0005900345151681,8.474085731070061e-07,9.1297443005791759e-06,0.0024098212465986858,0,8.1871479436111818e-07,0,1
cal,fp32,residual,3,0,0,0,0,1.231510321275664e-06,1.2320103856685994e-06,1.0004060578172154,1.2315092326463406e-06,1.4498377120644179e-05,0.001020174493936853,0,1.4816070356399088e-06,0,1
cal,fp32,residual,4,0,0,0,0,1.2924387684520866e-06,1.2929732337715739e-06,1.0004135324106127,1.2924384159042786e-06,4.7432680286600924e-06,0.0027426443012679644,0,1.5245440072424552e-06,0,1
cal,fp32,residual,5,0,0,0,0,7.6068769327974906e-07,7.6118315424393522e-07,1.000651332956433,7.6068732772561253e-07,8.4723226967558638e-06,0.00025573944607193178,0,6.8533762580272956e-07,0,1
cal,fp32,residual,6,1,1,0,0,2.2554555556553169e-08,2.305455555655317e-08,1.0221684705223433,2.2554573713897386e-08,5.3559794183385558e-13,0.65814152958624561,2.7892849288887203e-08,3.5852504080287504e-08,1,1
cal,fp32,residual,7,0,0,0,0,1.8040173523914405e-06,1.8045285394427258e-06,1.0002833603848698,1.8040191158713339e-06,1.5267331190231504e-05,0.003265965994768371,0,1.7711525477799454e-06,0,1
cal,fp32,residual,8,0,0,0,0,4.0487564145763599e-07,4.0537564145763598e-07,1.0012349471017814,4.0487565838954392e-07,9.2663396596374079e-12,0.57340021530655427,0,7.4632664282402926e-07,0,1
cal,fp32,residual,9,0,0,0,0,1.2912750553262242e-06,1.2917750553262243e-06,1.0003872141709371,1.2912757813920076e-06,3.4820312934874092e-06,2.2829640179780463e-06,0,1.523253448667538e-06,0,1
cal,fp32,residual,10,0,0,0,0,1.4359939846109171e-06,1.4364939841668279e-06,1.0003481905643541,1.4359946245253092e-06,2.7711941334915934e-06,3.2190138627809907e-06,0,1.5510113865251749e-06,0,1
cal,fp32,residual,11,0,0,0,0,1.7069763789123726e-06,1.7074763749155698e-06,1.000292913252564,1.7069777189392663e-06,1.218253027460082e-05,0.0011507054712355793,0,1.674709469876037e-06,0,1
cal,fp32,residual,12,0,0,0,0,2.7270188374117765e-07,2.7326804770437478e-07,1.0020761278045827,2.7270185627842572e-07,3.4800322796203106e-06,0.00011452690930600606,0,2.6495097826668584e-07,0,1
cal,fp32,residual,13,0,0,0,0,4.2485739504272146e-07,4.2540187768251529e-07,1.0012815656409584,4.2485753523139046e-07,5.8070666608930256e-06,1.519200064317001e-06,0,3.958628462901856e-07,0,1
cal,fp32,residual,14,0,0,0,0,1.4983127067935698e-06,1.4988191016781916e-06,1.0003379767670166,1.4983153303255087e-06,2.7536381861495026e-05,0.0075074468436694478,0,1.3842414522896978e-06,0,1
cal,fp32,residual,15,0,0,0,0,7.698327504357394e-07,7.703328974292679e-07,1.0006496826658069,7.6983263908372671e-07,2.8170420536676439e-06,0.003234145849393349,0,1.0328904039820336e-06,0,1
cal,fp32,residual,16,0,0,0,0,6.614866592258295e-07,6.6202659305984688e-07,1.0008162429679976,6.6148743650024018e-07,1.803024480904011e-05,0.0045813802406805687,0,7.586335184999637e-07,0,1
cal,fp32,residual,17,0,0,0,0,1.0596044042188169e-07,1.0645887811604143e-07,1.0047039979465471,1.0596046643624087e-07,4.1969067164570435e-07,0.0037318270460427612,0,1.0685157741809374e-07,0,1
cal,fp32,residual,18,0,1,0,1,6.0669370860466643e-08,6.116937086046664e-08,1.008241390884866,6.0669390217182461e-08,1.4642386835800063e-12,0.60582581761114762,6.7574289758561504e-08,9.0702858560680783e-08,1,1
cal,fp32,residual,19,0,0,0,0,1.032103154052777e-07,1.0358910702860885e-07,1.003670094620327,1.032103451395601e-07,3.2796489984573817e-07,0.0043381150906747577,0,1.0852074311693023e-07,0,1
cal,fp32,residual,20,0,0,0,0,9.7923661623866565e-07,9.7973661579457647e-07,1.0005106013680651,9.7923707704902458e-07,3.4330464266616814e-06,3.8592627786335374e-06,0,9.9652982730068272e-07,0,1
cal,fp32,residual,21,0,0,0,0,2.9583155169987663e-07,2.9675224540197335e-07,1.0031122228065477,2.9583170904733054e-07,2.5748713705155358e-06,1.4770194843866199e-06,0,2.8638030359688314e-07,0,1
cal,fp32,residual,22,0,0,0,0,1.3177852542511914e-07,1.37742901355782e-07,1.0452606060920906,1.305620537845283e-07,0.098828959647701595,4.586242095659885e-09,0,1.3001792721740447e-07,0,1
cal,fp32,residual,23,0,0,0,0,1.5244613904563664e-06,1.5249613904563665e-06,1.0003279846922528,1.5244594607875777e-06,2.0701810975574804e-05,0.00066831765960322792,0,1.4325733772115845e-06,0,1
cal,fp32,residual,24,0,0,0,0,6.1697991471376668e-07,6.1776945999041053e-07,1.0012796936461217,6.1698000964120044e-07,4.8264886964635921e-06,2.3224057220037462e-06,0,6.0131234665621682e-07,0,1
cal,fp32,residual,25,0,0,0,0,1.1090041276418106e-06,1.1095043749995005e-06,1.0004510779944107,1.109004014418116e-06,2.0856591462225571e-06,0.0022331731628603703,0,1.2299400757211811e-06,0,1
cal,fp32,residual,26,0,0,0,0,4.7925814783411624e-07,4.7975814472549181e-07,1.001043272594603,4.7925824238140532e-07,2.1280505444605324e-06,0.00093153565015756878,0,4.8454603605822123e-07,0,1
cal,fp32,residual,27,0,0,0,0,3.1866475547204232e-07,3.1916710958894372e-07,1.0015764345076608,3.186649434126013e-07,1.038091513935106e-06,1.3369708473668263e-06,0,3.2361144037093537e-07,0,1
cal,fp32,residual,28,0,0,0,0,1.1982445657920948e-07,1.2032366432405912e-07,1.0041661590555151,1.198245449447676e-07,2.9430794040800877e-07,1.0521666635843798e-06,0,1.2789055454415725e-07,0,1
cal,fp32,residual,29,0,0,0,0,7.1849126603851232e-07,7.1871149694173418e-07,1.0003065185530176,7.1849145778778947e-07,3.6249208967827103e-06,0.0030860019999992281,0,7.8477808113528227e-07,0,1
cal,fp32,residual,30,0,0,0,0,5.2614306333964578e-07,5.2664306333964582e-07,1.0009503118730223,5.2614350349044179e-07,1.1981578152329194e-05,0.0019534579157582765,0,3.6671723205269197e-07,0,1
cal,fp32,residual,31,0,0,0,0,1.8332653972663593e-07,1.837593570227914e-07,1.0023609091013275,1.8332657114577582e-07,7.256195102993005e-07,0.0035300768922570652,0,2.324967735568183e-07,0,1
cal,fp32,residual,32,0,0,0,0,1.3863407533065697e-07,1.3863424585714386e-07,1.0000012300474215,1.3863408681282567e-07,2.2944422535276823e-06,0.0016547973918719595,0,1.3183000525675906e-07,0,1
cal,fp32,residual,33,0,0,0,0,1.7322593208746184e-06,1.732709605531665e-06,1.0002599406749442,1.7322539451602995e-06,5.3792797561623098e-05,3.4007952231080097e-06,0,1.9549960972839471e-06,0,1
cal,fp32,residual,34,0,0,0,0,6.3720275944589844e-07,6.3770275944589847e-07,1.0007846795899547,6.372033160529029e-07,1.3033772213540944e-05,0.005326736092059167,0,5.8221216657460025e-07,0,1
cal,fp32,residual,35,0,0,0,0,8.1644757132792734e-07,8.2064600729503624e-07,1.0051423215826096,8.2064312821272141e-07,7.0165995777451285e-06,6.2402867890814778e-07,0,1.0581681625650415e-06,0,1
cal,fp32,residual,36,0,0,0,0,7.1955293590164615e-07,7.2005293590164619e-07,1.0006948759084326,7.1955357599491305e-07,9.0971804639703862e-06,2.4308099168123119e-06,0,9.1063312528831096e-07,0,1
cal,fp32,residual,37,0,0,0,0,1.9553591825705041e-06,1.9558606440680936e-06,1.0002564549275956,1.9031915090029645e-06,5.1349313375584589e-05,1.2029345414054141e-06,0,1.8010423875381837e-06,0,1
cal,fp32,residual,38,0,0,0,0,2.4763225026092073e-07,2.4813225026092071e-07,1.0020191231128948,2.4763218463855583e-07,6.4649773535019503e-06,0.0016023351224478193,0,2.1302538711326926e-07,0,1
cal,fp32,residual,39,0,0,0,0,1.9836675013706895e-07,1.9886675058115817e-07,1.0025205859537636,1.9836676872551193e-07,4.6563209371251057e-12,0.66742638352148687,0,3.1899514874400744e-07,0,1
