index,path,root_abs,rho,accepted,status
0,1,4.4408920985006262e-16,5.0770761232615772e-10,1,1
1,1,4.4408920985006262e-16,5.0000666133814778e-10,1,1
2,1,0,5.0000000000000003e-10,1,1
3,1,0,5.0006439293542829e-10,1,1
4,1,8.8817841970012523e-16,5.3446620766567324e-10,1,1
5,1,8.8817841970012523e-16,5.0453992399229722e-10,1,1
6,0,2.2554555556553169e-08,2.305455555655317e-08,1,1
7,1,8.8817841970012523e-16,5.1118571901770341e-10,1,1
8,1,8.8817841970012523e-16,5.0000088817841973e-10,1,1
9,1,1.3633538742396922e-13,5.00136335387424e-10,1,1
10,1,5.1514348342607263e-14,5.0005107025913279e-10,1,1
11,1,1.7763568394002505e-15,5.0000222044604928e-10,1,1
12,1,4.4408920985006262e-16,5.6616440728635101e-10,1,1
13,1,8.8817841970012523e-16,5.444835279722611e-10,1,1
14,1,4.4408920985006262e-16,5.0639532871105078e-10,1,1
15,1,1.7763568394002505e-15,5.00145217171621e-10,1,1
16,1,1.3322676295501878e-15,5.3993516628497676e-10,1,1
17,1,0,5.015618617510427e-10,1,1
18,0,6.0669370860466643e-08,6.116937086046664e-08,1,1
19,1,4.4408920985006262e-16,6.2120793257963672e-10,1,1
20,1,4.4408920985006262e-15,5.0000399680288868e-10,1,1
21,1,4.4408920985006262e-16,9.206941461859515e-10,1,1
22,1,1.7763568394002505e-15,5.5355005328055998e-10,1,1
23,1,4.4408920985006262e-16,5.0000044408920988e-10,1,1
24,1,1.3322676295501878e-15,7.8954660891145071e-10,1,1
25,1,0,5.0024735768988652e-10,1,1
26,1,0,5.0000310862446898e-10,1,1
27,1,0,5.0235411690141521e-10,1,1
28,1,1.1146639167236572e-13,5.0068034466949033e-10,1,1
29,1,8.8817841970012523e-16,7.7976998495660158e-10,1,1
30,1,1.7763568394002505e-15,5.0000177635683943e-10,1,1
31,1,4.4408920985006262e-16,5.6718314793374705e-10,1,1
32,1,1.3322676295501878e-15,1.0148557136180897e-09,1,1
33,1,4.4408920985006262e-16,5.4971489886429484e-10,1,1
34,1,4.4408920985006262e-16,5.0000000000000003e-10,1,1
35,1,5.773159728050814e-15,5.0000577315972808e-10,1,1
36,1,8.8817841970012523e-16,5.0000088817841973e-10,1,1
37,1,6.0529359302563535e-13,5.0085620399659095e-10,1,1
38,1,8.8817841970012523e-16,5.0000088817841973e-10,1,1
39,1,5.773159728050814e-15,5.0000532907051823e-10,1,1
40,1,8.8817841970012523e-16,5.0073852035598069e-10,1,1
41,1,4.4408920985006262e-16,8.1537039646423185e-10,1,1
42,1,4.4408920985006262e-16,5.0009636735853749e-10,1,1
43,0,7.4145408035519722e-08,7.4645405370984461e-08,1,1
44,1,4.4408920985006262e-16,7.3341728550008159e-10,1,1
45,0,7.1648307731209115e-08,7.2148307731209113e-08,1,1
46,1,4.4408920985006262e-16,1.01775739251525e-09,1,1
47,1,8.8817841970012523e-16,7.0096146968739962e-10,1,1
48,0,4.1561318386840185e-08,4.2023777749574717e-08,1,1
49,1,0,5.0000044408920988e-10,1,1
50,1,4.4408920985006262e-16,1.0365490274300554e-09,1,1
51,1,8.8817841970012523e-16,5.1268274374410797e-10,1,1
52,1,4.4408920985006262e-16,5.0456967796935718e-10,1,1
53,1,0,5.1337863153594302e-10,1,1
54,1,0,5.9072076423422007e-10,1,1
55,1,4.4408920985006262e-16,6.416227135564441e-10,1,1
56,0,6.0768088339102633e-08,6.1268088339102631e-08,1,1
57,1,4.4408920985006262e-16,5.4389288932316052e-10,1,1
58,1,1.7763568394002505e-15,5.6099565297290613e-10,1,1
59,1,4.4408920985006262e-16,7.4200907944305075e-10,1,1
